player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,venue_history_rounds,venue_history_sg,versus_expected,ch_adjustment,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,sg_rounds_12m,wins_12m,win_rate_12m,dd_delta,da_delta,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,data_depth_class,baseline_confidence_band,debut_flag,debut_class,injury_flag
51,"Dou, Zecheng",DOU_ZECHENG,confirmed,TBD,TBD,6,-3.042,-2.293,-0.028,0.05,-0.34,0.41,0.25,-0.05,0.32,82,0.0,0.0,6.8,-6.2,-0.08,0.0,0.0,-0.01,-0.06,6.9,11.7,2.0,1.3,2.0,6.2,5.7,3.3,deep,high,False,,False
43,"Rodgers, Patrick",RODGERS_PATRICK,confirmed,TBD,TBD,38,0.445,0.327,0.025,0.1,0.06,-0.04,0.01,0.07,0.03,116,0.0,0.0,7.0,-4.4,-0.09,-0.02,0.0,-0.01,-0.06,6.9,11.7,2.1,1.4,2.0,6.2,5.8,3.4,deep,high,False,,False
40,"Keefer, Johnny",KEEFER_JOHNNY,confirmed,TBD,TBD,0,,,,0.12,0.51,0.37,-0.38,-0.5,0.5,100,1.0,0.03,11.9,-0.8,0.01,0.05,0.0,-0.03,-0.01,7.0,12.1,1.9,1.2,2.0,6.2,5.6,3.3,deep,high,True,B,False
36,"Blanchet, Chandler",BLANCHET_CHANDLER,confirmed,TBD,TBD,0,,,,0.16,0.14,0.1,-0.52,-0.37,-0.28,91,2.0,0.07,-7.4,8.8,0.14,0.04,0.0,0.01,0.09,7.0,12.0,2.0,1.3,1.7,6.0,6.1,3.6,deep,high,True,B,False
73,"Ewart, A.J.",EWART_A.J.,confirmed,TBD,TBD,0,,,,-0.17,-0.22,-0.1,0.14,0.54,-0.18,84,0.0,0.0,-0.5,-1.2,-0.06,-0.04,0.0,0.0,-0.03,6.9,11.7,2.1,1.4,1.9,6.1,5.9,3.4,deep,high,True,A,False
59,"Smotherman, Austin",SMOTHERMAN_AUSTIN,confirmed,TBD,TBD,10,-0.592,-0.065,-0.001,0.01,0.35,0.69,-0.48,-0.29,0.57,78,1.0,0.04,-1.0,5.8,0.11,0.05,0.0,0.0,0.07,7.0,12.0,1.9,1.2,1.8,6.1,6.0,3.5,deep,high,False,,False
81,"Young, Carson",YOUNG_CARSON,confirmed,TBD,TBD,10,1.289,1.475,0.03,-0.36,-0.13,-0.15,-0.27,-0.21,-0.54,99,0.0,0.0,-6.5,3.9,0.08,0.01,0.0,0.01,0.05,7.0,11.9,2.1,1.3,1.7,6.1,6.1,3.6,deep,high,False,,False
74,"Hubbard, Mark",HUBBARD_MARK,confirmed,TBD,TBD,28,0.687,0.649,0.037,-0.23,-0.23,0.19,0.03,-0.26,-0.01,97,0.0,0.0,-5.5,-0.3,0.04,0.03,0.0,0.01,0.0,6.9,11.8,2.0,1.3,1.8,6.1,6.0,3.5,deep,high,False,,False
61,"Blair, Zac",BLAIR_ZAC,confirmed,TBD,TBD,20,-0.398,-0.04,-0.002,-0.01,-0.38,0.62,-0.1,-0.21,0.14,106,0.0,0.0,-18.5,5.3,0.12,0.01,0.0,0.04,0.08,6.9,11.8,1.9,1.3,1.6,6.0,6.3,3.7,deep,high,False,,False
57,"Power, Seamus",POWER_SEAMUS,confirmed,TBD,TBD,28,1.008,1.061,0.06,0.02,-0.02,-0.26,0.1,0.11,-0.19,92,0.0,0.0,-4.6,2.4,0.02,-0.02,0.0,0.01,0.03,6.9,11.7,2.1,1.4,1.8,6.1,6.0,3.5,deep,high,False,,False
