rank,player_name,tier,vts_final,nsi,vfs,vhn,form,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,sg_app_12m,sg_ott_12m,sg_arg_12m,sg_putt_12m,brie_score,tvl_score,vfr_score,hew_score,app_150_200,ch_rounds,ch_vs_exp,ap_flags,form_class,badges,best_bet
79,Sami Valimaki,3,49.0,49.03,48.55,50.16,48.68,0.34,2.11,4.74,10.59,40.1,0.409,-0.164,-0.291,0.421,0.409,-0.164,-0.291,-0.046,0.004,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
80,Victor Perez,3,48.97,48.39,43.82,49.96,59.84,0.34,2.1,4.74,10.58,40.1,0.043,0.229,-0.055,0.139,0.043,0.229,-0.055,0.212,-0.005,0,0,1,WARM,Debut Watch; Cut Sweat,Miss Cut
81,Ryo Hisatsune,3,48.88,46.45,51.45,49.94,49.16,0.34,2.09,4.72,10.54,39.8,0.302,0.429,-0.028,-0.183,0.302,0.429,-0.028,0.703,-0.001,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
82,Michael Brennan,4,47.87,52.9,38.91,49.42,50.84,0.32,1.97,4.49,10.16,37.4,0.126,0.881,-0.373,-0.278,0.126,0.881,-0.373,0.635,-0.018,0,0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
83,Eugenio Chacarra,4,47.44,43.23,42.8,49.76,65.6,0.31,1.93,4.4,10.0,36.4,-0.053,0.141,-0.004,-0.014,-0.053,0.141,-0.004,0.084,0,0,0,1,WARM,Form Spike; Debut Watch; Cut Sweat,Miss Cut
84,Ryan Fox,4,47.16,55.48,31.77,46.8,56.12,0.3,1.9,4.35,9.89,35.8,0.222,0.191,0.066,0.024,0.222,0.191,0.066,0.478,-0.031,2,-0.661,2,NEUTRAL,Cut Sweat; Anti-Pattern,Miss Cut
85,Hennie Du Plessis,4,46.78,47.1,46.09,49.76,44.36,0.29,1.86,4.27,9.76,34.9,0.184,0.343,0.009,-0.585,0.184,0.343,0.009,0.536,0,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
86,Andrew Novak,4,46.67,45.16,47.0,49.94,46.76,0.29,1.84,4.24,9.72,34.7,0.175,0.107,0.131,-0.242,0.175,0.107,0.131,0.412,0.018,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
87,Brooks Koepka,4,46.4,43.87,39.37,57.25,56.36,0.28,1.82,4.19,9.62,34.1,0.235,0.167,-0.01,-0.278,0.235,0.167,-0.01,0.391,0.004,4,1.4,1,NEUTRAL,Course Horse; Cut Sweat; Volatile Putter,Miss Cut
88,Francesco Molinari,4,46.17,31.61,63.33,43.72,53.12,0.28,1.79,4.14,9.54,33.6,0.267,0.055,0.016,-0.823,0.267,0.055,0.016,0.337,0.043,2,-1.733,1,NEUTRAL,Cut Sweat,Miss Cut
89,Lucas Herbert,4,45.83,38.71,50.74,49.84,50.96,0.27,1.76,4.08,9.42,32.8,0.152,0.16,0.014,-0.167,0.152,0.16,0.014,0.32,0.041,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
90,Scott Vincent,4,45.64,41.94,39.35,50.04,63.68,0.27,1.74,4.04,9.35,32.4,-0.174,-0.115,-0.017,1.172,-0.174,-0.115,-0.017,-0.316,0,0,0,1,WARM,Form Spike; Debut Watch; Cut Sweat,Miss Cut
91,Haotong Li,4,45.49,38.06,48.26,66.27,38.96,0.27,1.72,4.01,9.3,32.1,0.224,0.374,-0.301,-0.116,0.224,0.374,-0.301,0.297,0.005,4,2.974,1,COOL,Course Horse; Form Cold; Cut Sweat,Miss Cut
92,Marco Penge,4,45.02,56.77,30.84,49.4,37.64,0.26,1.68,3.92,9.14,31.0,0.032,0.85,-0.208,-0.065,0.032,0.85,-0.208,0.673,-0.057,0,0,3,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
93,Keita Nakajima,4,44.31,41.29,37.14,49.96,61.04,0.24,1.61,3.79,8.9,29.5,0.127,0.058,-0.239,0.374,0.127,0.058,-0.239,-0.054,-0.022,0,0,3,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
94,Ren Yonezawa,4,43.92,22.58,65.21,50.28,51.92,0.24,1.58,3.72,8.77,28.7,0.809,0.144,0.717,-0.828,0.809,0.144,0.717,1.67,0,0,0,1,NEUTRAL,Iron Edge; Debut Watch; Cut Sweat,Miss Cut
95,Stewart Cink,4,43.5,36.13,52.32,36.14,52.88,0.23,1.54,3.65,8.64,27.9,-1.515,0.105,0.223,0.464,-1.515,0.105,0.223,-1.187,0,4,-2.292,1,NEUTRAL,Cut Sweat; Volatile Putter,Miss Cut
96,Henrik Stenson,4,43.26,18.71,68.97,65.78,34.76,0.23,1.52,3.61,8.56,27.4,0.369,0.145,-0.285,-0.74,0.369,0.145,-0.285,0.229,0.06,8,1.348,2,COOL,Course Horse; Form Cold; Cut Sweat; Anti-Pattern,Miss Cut
97,Dan Bradbury,4,42.57,30.97,54.36,50.06,42.44,0.22,1.46,3.49,8.35,26.1,0.652,0.181,-0.424,-0.339,0.652,0.181,-0.424,0.409,0,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
98,Casey Jarvis,4,42.43,39.35,39.71,50.1,48.44,0.21,1.45,3.47,8.3,25.8,0.08,-0.041,-0.414,0.071,0.08,-0.041,-0.414,-0.375,-0.002,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
