Player,SG-Off the Tee,SG-Approach to Green,SG- Around the Green,SG-Putting,SG-Total
Corey Conners,-0.12749999999999995,0.2750000000000001,-0.23500000000000001,0.06000000000000001,-0.027500000000000052
Andrew Putnam,-0.6725,0.9249999999999999,-0.47750000000000004,0.19750000000000004,-0.02749999999999997
Nicolai Von Dellingshausen,0.14249999999999996,0.5925,-0.05499999999999999,-0.71,-0.02749999999999997
Jesper Svensson,0.665,0.07499999999999996,-0.325,-0.4475,-0.02749999999999997
Sudarshan Yellamaraju,-0.32999999999999996,0.20999999999999996,-0.2025,0.2975000000000001,-0.02750000000000008
Jacques Kruyswijk,-0.5075000000000001,-0.2825000000000001,0.255,0.2525000000000001,-0.2775
Guido Migliozzi,-0.07250000000000001,-0.575,-0.3449999999999999,0.7125000000000001,-0.2775000000000001
Hennie Du Plessis,0.3025,-0.71,0.855,-0.9824999999999999,-0.5274999999999999
Yuto Katsuragawa,-0.225,-0.995,0.42500000000000004,0.26749999999999996,-0.5274999999999999
Andrew Novak,0.575,0.30000000000000004,0.2625,-1.6675,-0.5275
Adrien Saddier,0.19999999999999996,0.15250000000000002,-0.0075000000000000205,-0.88,-0.5274999999999999
Chris Kirk,-0.625,1.155,-0.3675,-0.695,-0.5275
Adam Scott,-0.37,-0.85,0.2375,0.20500000000000002,-0.7775
Sahith Theegala,0.28250000000000003,-0.0025000000000001132,-1.3050000000000002,0.2449999999999999,-0.7774999999999999
Ignacio Elvira Mijares,-0.2525,-0.11249999999999995,-0.2775,-0.385,-1.0274999999999999
Davis Riley,-0.9025,-0.2875,-0.6825,0.5925,-1.2775
Eric Cole,-0.47750000000000004,-1.7675,0.27749999999999997,0.1875,-1.7775000000000003
Scott Jamieson,-0.6000000000000001,-1.8075,0.35,-0.22250000000000003,-2.2775
David Puig,-0.39,-0.37,1.4300000000000002,-0.3699999999999999,0.29499999999999993
Dan Bradbury,-1.2599999999999998,1.145,0.9,-0.5,0.29500000000000004
Harris English,-0.08499999999999996,1.195,0.6599999999999999,-1.48,0.29500000000000004
Sepp Straka,0.78,0.1499999999999999,-0.31,-0.32499999999999996,0.295
Jayden Schaper,-0.045,0.9,-0.71,0.15000000000000002,0.29500000000000004
Antoine Rozner,1.165,0.72,-0.6300000000000001,-0.9549999999999998,0.295
Ludvig Aberg,0.505,0.34,-0.015000000000000013,-0.53,0.29500000000000004
Zach Bauchou,-0.73,0.7799999999999999,-0.004999999999999949,0.2400000000000002,0.29500000000000015
Marco Penge,0.7,-2.165,0.96,0.8,0.295
Matt McCarty,-0.39999999999999997,-1.535,1.095,1.13,0.29500000000000015
Ewen Ferguson,0.5399999999999999,0.09000000000000002,0.6499999999999999,-0.99,0.295
Patrick Cantlay,-0.505,-0.72,1.09,0.43000000000000005,0.29499999999999993
Dylan Frittelli,-0.07,-0.26,-0.26,0.885,0.295
Doug Ghim,0.655,-0.31500000000000006,-0.08499999999999999,-0.45999999999999996,-0.20499999999999996
Niklas Norgaard,0.3,-1.06,-0.81,1.355,-0.20499999999999996
Joe Highsmith,0.28500000000000003,0.09500000000000003,-0.0049999999999999906,-0.58,-0.20499999999999996
Dan Brown,-0.45500000000000007,2.955,0.205,-2.915,-0.20499999999999985
Jordan Gumberg,0.265,0.015000000000000013,-1.21,0.73,-0.20499999999999996
Scottie Scheffler,0.2,-0.78,0.165,0.20500000000000002,-0.20499999999999985
Erik Van Rooyen,0.485,-0.27,-0.93,0.51,-0.20499999999999996
Joakim Lagergren,-0.5249999999999999,0.44999999999999996,0.53,-0.6699999999999999,-0.20500000000000002
Max McGreevy,-0.91,0.37,0.05500000000000002,0.275,-0.20500000000000002
Alex Smalley,0.9,-1.245,-0.07,0.20500000000000007,-0.20499999999999996
Michael Kim,0.39,0.18,0.20500000000000002,-0.9850000000000001,-0.20499999999999985
Grant Forrest,-0.665,0.235,0.05499999999999999,0.17,-0.20500000000000002
Brooks Koepka,-0.61,0.865,0.555,-1.0150000000000001,-0.20499999999999985
Shane Lowry,-0.32999999999999996,1.195,-0.33,-0.75,-0.20499999999999996
Aldrich Potgieter,-0.025000000000000022,1.24,-0.77,-0.66,-0.20500000000000002
Thorbjorn Olesen,-0.9,0.695,-0.76,0.755,-0.20500000000000002
