time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,green hit rate,"Meronk, Adrian",55,0.813,177,0.803,233,0.685,120,0.402,113,0.484,97,0.329
l12_months,green hit rate,"Varner III, Harold",53,0.74,169,0.802,210,0.698,129,0.464,109,0.602,79,0.391
l12_months,green hit rate,"Schwartzel, Charl",57,0.776,206,0.801,245,0.674,137,0.449,92,0.515,86,0.346
l12_months,green hit rate,"Wise, Aaron",19,0.922,106,0.801,125,0.655,83,0.448,48,0.542,46,0.401
l12_months,green hit rate,"Fleetwood, Tommy",75,0.965,281,0.801,422,0.678,232,0.522,79,0.531,127,0.343
l12_months,green hit rate,"Onishi, Kaito",18,0.737,48,0.8,67,0.71,null,null,26,0.51,null,null
l12_months,green hit rate,"Griffin, Ben",100,0.87,319,0.8,503,0.679,240,0.478,161,0.575,178,0.36
l12_months,green hit rate,"Homa, Max",86,0.842,279,0.8,398,0.672,207,0.504,153,0.546,144,0.377
l12_months,green hit rate,"MacIntyre, Robert",85,0.821,324,0.8,453,0.668,220,0.485,156,0.581,151,0.34
l12_months,green hit rate,"Van Rooyen, Erik",64,0.792,194,0.8,297,0.6,126,0.441,110,0.594,115,0.34
l12_months,green hit rate,"Day, Jason",69,0.866,216,0.799,337,0.676,171,0.405,106,0.617,113,0.457
l12_months,green hit rate,"Parry, John",75,0.905,239,0.798,334,0.711,150,0.464,100,0.622,100,0.347
l12_months,green hit rate,"Hall, Harry",101,0.891,274,0.798,404,0.655,214,0.434,135,0.569,150,0.329
l12_months,green hit rate,"Grace, Branden",50,0.895,194,0.797,226,0.706,109,0.386,91,0.59,81,0.497
l12_months,green hit rate,"Novak, Andrew",129,0.844,258,0.797,480,0.686,243,0.455,151,0.528,186,0.378
l12_months,green hit rate,"Svensson, Jesper",79,0.829,176,0.796,229,0.63,123,0.394,97,0.527,80,0.322
l12_months,green hit rate,"Nyholm, Pontus",58,0.817,152,0.796,213,0.639,109,0.417,125,0.464,92,0.385
l12_months,green hit rate,"Albertson, Anders",null,null,42,0.796,57,0.61,null,null,29,0.38,null,null
l12_months,green hit rate,"Hossler, Beau",76,0.846,236,0.795,330,0.657,156,0.42,118,0.581,96,0.329
l12_months,green hit rate,"Cone, Trevor",24,0.8,62,0.795,74,0.688,39,0.528,31,0.525,25,0.198
l12_months,green hit rate,"Paul, Jeremy",46,0.896,132,0.794,155,0.594,79,0.461,59,0.654,69,0.266
l12_months,green hit rate,"Kitayama, Kurt",104,0.808,347,0.794,479,0.723,222,0.521,132,0.569,178,0.395
l12_months,green hit rate,"Kuchar, Matt",80,0.871,190,0.794,283,0.621,112,0.446,86,0.571,78,0.359
l12_months,green hit rate,"Garnett, Brice",73,0.794,237,0.793,303,0.69,127,0.552,69,0.571,102,0.35
l12_months,green hit rate,"List, Luke",40,0.727,111,0.793,148,0.677,86,0.473,60,0.565,47,0.424
l12_months,green hit rate,"Smith, Jordan",65,0.871,214,0.793,343,0.714,148,0.556,72,0.619,121,0.326
l12_months,green hit rate,"Riedel, Matthew",17,0.772,64,0.793,73,0.674,31,0.499,25,0.618,null,null
l12_months,green hit rate,"Lebioda, Hank",45,0.915,180,0.793,255,0.773,119,0.463,84,0.569,101,0.345
l12_months,green hit rate,"Oosthuizen, Louis",50,0.864,192,0.792,196,0.636,110,0.409,65,0.576,62,0.281
l12_months,green hit rate,"Kizzire, Patton",61,0.833,197,0.792,270,0.67,123,0.465,105,0.605,113,0.309
l12_months,green hit rate,"Simpson, Webb",36,0.9,120,0.792,156,0.585,66,0.508,65,0.454,65,0.323
l12_months,green hit rate,"James, Ben",26,0.809,91,0.791,136,0.707,66,0.604,28,0.396,21,0.135
l12_months,green hit rate,"Bezuidenhout, Christiaan",80,0.831,286,0.791,404,0.683,197,0.446,113,0.524,125,0.392
l12_months,green hit rate,"Puig, David",73,0.86,211,0.791,243,0.684,145,0.435,140,0.604,94,0.342
l12_months,green hit rate,"Lower, Justin",52,0.777,208,0.791,294,0.627,129,0.399,71,0.534,78,0.376
l12_months,green hit rate,"Reitan, Kristoffer",64,0.868,251,0.79,309,0.719,168,0.445,112,0.6,109,0.339
l12_months,green hit rate,"Phillips, Chandler",79,0.79,258,0.79,342,0.608,159,0.41,129,0.514,112,0.295
l12_months,green hit rate,"Steele, Brendan",47,0.849,215,0.79,225,0.692,128,0.51,82,0.48,67,0.281
l12_months,green hit rate,"Potgieter, Aldrich",72,0.774,179,0.79,277,0.696,154,0.468,143,0.512,125,0.37
l12_months,green hit rate,"Woodland, Gary",103,0.839,245,0.789,371,0.705,187,0.479,134,0.547,122,0.382
l12_months,green hit rate,"Mullinax, Trey",26,0.964,79,0.788,106,0.674,50,0.384,55,0.538,33,0.439
l12_months,green hit rate,"Vincent, Scott",33,0.833,171,0.788,219,0.74,108,0.485,89,0.572,62,0.418
l12_months,green hit rate,"Goodwin, Noah",20,0.871,104,0.788,97,0.658,43,0.251,20,0.433,34,0.293
l12_months,green hit rate,"Lahiri, Anirban",49,0.811,207,0.788,210,0.652,126,0.427,102,0.507,52,0.281
l12_months,green hit rate,"Silverman, Ben",45,0.907,196,0.788,203,0.687,107,0.482,53,0.68,68,0.342
l12_months,green hit rate,"Mouw, William",54,0.785,242,0.788,352,0.678,170,0.56,109,0.555,111,0.353
l12_months,green hit rate,"Surratt, Caleb",64,0.781,221,0.787,235,0.612,140,0.474,116,0.536,85,0.344
l12_months,green hit rate,"Gooch, Talor",42,0.738,189,0.787,250,0.631,128,0.54,74,0.592,83,0.344
l12_months,green hit rate,"Cole, Eric",67,0.897,262,0.787,383,0.671,185,0.415,187,0.541,178,0.379
