"Last Name","First Name","SHORT GAME","APPROACH","Driving-Distance","Driving-Accuracy","Total SG Adjustment","putting-2-5ft","putting-5-30ft","putting-30+","aroundgreen-Fairway","aroundgreen-Rought","approach-50-100","main-text 8","approach-150-200","approach-200+"
"SCHENK","ADAM","+0.03","+0.01","+0.00","+0.01","+0.05","7.1","11.8","3.6","3.0","2.7","2.9","5.7","5.2","4.2"
"TODD","BRENDON","-0.02","+0.05","+0.02","-0.00","+0.05","7.0","11.4","3.7","3.3","3.2","2.2","6.0","6.3","3.7"
"KANG","JEFFREY","+0.02","+0.01","+0.00","+0.01","+0.04","7.1","11.7","3.5","3.0","2.7","2.8","5.7","5.3","4.1"
"KIZZIRE","PATTON","+0.00","+0.02","+0.01","+0.01","+0.04","7.0","11.5","3.5","3.0","2.7","2.7","5.8","5.5","4.0"
"SHIPLEY","NEAL","+0.05","+0.00","-0.00","-0.01","+0.04","7.2","12.0","3.5","3.0","2.7","3.1","5.5","4.9","4.4"
"LOWER","JUSTIN","+0.02","+0.01","+0.01","-0.01","+0.03","7.1","11.8","3.5","3.0","2.8","2.6","5.8","5.7","4.0"
"SARGENT","GORDON","-0.00","+0.03","-0.02","+0.02","+0.03","7.1","11.6","3.5","3.2","3.1","3.5","5.4","4.3","4.6"
"DAVIS","CAM","+0.01","+0.01","-0.00","+0.01","+0.03","7.1","11.7","3.5","3.0","2.7","3.0","5.6","5.0","4.2"
"HIRATA","KENSEI","+0.02","+0.01","+0.01","-0.01","+0.03","7.1","11.7","3.5","3.1","2.8","2.6","5.7","5.6","4.1"
"BLANCHET","CHANDLER","+0.04","-0.00","+0.01","-0.02","+0.03","7.2","12.0","3.5","3.0","2.6","2.7","5.7","5.4","4.2"
"LI","HAOTONG","+0.03","-0.00","-0.01","+0.01","+0.03","7.2","12.1","3.5","3.0","2.6","3.1","5.5","4.8","4.4"
"LEBIODA","HANK","+0.02","-0.00","+0.00","+0.01","+0.03","7.1","11.7","3.5","2.9","2.6","2.8","5.7","5.3","4.1"
"STREELMAN","KEVIN","+0.02","+0.00","+0.01","-0.01","+0.03","7.1","11.8","3.5","3.0","2.7","2.7","5.7","5.5","4.1"
"CLANTON","LUKE","+0.03","-0.00","-0.00","+0.01","+0.03","7.1","11.9","3.5","2.9","2.6","3.0","5.6","5.0","4.3"
"HIGHSMITH","JOE","+0.02","+0.00","+0.00","+0.01","+0.03","7.1","11.7","3.5","3.0","2.7","2.9","5.6","5.1","4.2"
"RILEY","DAVIS","-0.01","+0.02","-0.00","+0.02","+0.03","7.1","11.7","3.6","3.1","2.8","3.0","5.7","5.0","4.2"
"MAZZOLI","STEFANO","+0.00","+0.02","-0.00","+0.01","+0.03","7.1","11.8","3.5","3.1","2.9","3.0","5.6","5.0","4.3"
"NYHOLM","PONTUS","+0.00","+0.01","-0.01","+0.02","+0.02","7.1","11.8","3.5","3.0","2.8","3.3","5.5","4.5","4.4"
"SVENSSON","ADAM","+0.02","+0.00","+0.01","-0.00","+0.02","7.0","11.7","3.5","2.9","2.6","2.6","5.8","5.6","4.0"
"VANDERLAAN","JOHN","+0.01","+0.01","-0.00","+0.00","+0.02","7.1","11.7","3.5","3.1","2.8","3.0","5.6","5.0","4.3"
"CROWE","TRACE","+0.01","+0.01","-0.01","+0.01","+0.02","7.1","11.8","3.5","3.0","2.7","3.1","5.6","4.8","4.3"
"DAHMEN","JOEL","+0.05","-0.01","+0.01","-0.02","+0.02","7.1","11.9","3.4","2.9","2.5","2.6","5.7","5.6","4.1"
"JENNINGS","WILLIAM","+0.01","+0.01","-0.00","-0.00","+0.02","7.1","11.7","3.5","3.0","2.7","3.0","5.6","5.0","4.3"
"WU","DYLAN","+0.01","+0.00","+0.00","+0.00","+0.02","7.1","11.7","3.5","3.0","2.6","2.8","5.7","5.3","4.1"
"GRIFFIN","LANTO","+0.01","+0.00","+0.01","+0.00","+0.02","7.1","11.7","3.5","3.0","2.6","2.8","5.7","5.4","4.1"
"GARNETT","BRICE","+0.01","+0.01","+0.01","-0.02","+0.02","7.1","11.8","3.5","3.0","2.7","2.5","5.8","5.7","4.0"
"WISE","AARON","-0.00","+0.01","+0.00","+0.01","+0.02","7.0","11.6","3.5","3.0","2.8","2.9","5.7","5.1","4.2"
"PAVON","MATTHIEU","+0.02","+0.01","-0.00","-0.00","+0.02","7.1","11.8","3.5","3.0","2.7","2.9","5.6","5.1","4.3"
"SMOTHERMAN","AUSTIN","+0.05","-0.02","+0.00","-0.01","+0.02","7.2","12.0","3.5","2.9","2.4","2.8","5.6","5.3","4.3"
"SPRINGER","HAYDEN","-0.00","+0.01","-0.01","+0.01","+0.02","7.1","11.8","3.5","3.0","2.8","3.1","5.6","4.8","4.3"
"HUBBARD","MARK","+0.02","-0.00","+0.00","-0.00","+0.02","7.1","11.7","3.4","2.9","2.6","2.8","5.7","5.4","4.2"
"GLOVER","LUCAS","+0.04","-0.01","+0.01","-0.02","+0.02","7.1","11.8","3.4","2.9","2.4","2.5","5.7","5.7","4.1"
"HOGE","TOM","+0.02","-0.01","+0.01","-0.00","+0.02","7.1","11.8","3.4","2.9","2.4","2.7","5.7","5.5","4.1"
"MALNATI","PETER","-0.04","+0.02","+0.01","+0.02","+0.02","7.0","11.4","3.5","3.1","2.8","2.8","5.8","5.4","4.0"
"CAMPBELL","BRIAN","-0.00","+0.01","+0.02","-0.02","+0.01","7.1","11.6","3.5","3.0","2.7","2.3","5.9","6.2","3.8"
"POTGIETER","ALDRICH","+0.02","-0.00","-0.02","+0.02","+0.01","7.2","12.0","3.5","3.0","2.7","3.7","5.3","3.9","4.7"
"HOEY","RICO","+0.03","-0.00","-0.01","-0.00","+0.01","7.1","11.8","3.4","2.9","2.6","3.1","5.5","4.8","4.4"
"SADDIER","ADRIEN","+0.01","+0.01","+0.00","-0.00","+0.01","7.1","11.7","3.4","3.0","2.7","2.8","5.6","5.2","4.2"
"FISHBURN","PATRICK","+0.01","+0.00","-0.00","+0.00","+0.01","7.1","11.8","3.5","3.0","2.7","3.0","5.6","4.9","4.3"
"SIMPSON","WEBB","-0.01","+0.01","+0.00","+0.01","+0.01","7.0","11.6","3.4","3.0","2.7","2.9","5.7","5.2","4.2"
"SVENSSON","JESPER","+0.01","+0.00","-0.01","+0.01","+0.01","7.1","11.8","3.4","3.0","2.8","3.4","5.4","4.4","4.6"
"SILVERMAN","BEN","-0.00","+0.01","+0.01","-0.01","+0.01","7.1","11.7","3.5","3.0","2.7","2.6","5.8","5.6","4.0"
"VILIPS","KARL","-0.01","+0.00","-0.00","+0.01","+0.01","7.1","11.7","3.5","3.0","2.6","3.0","5.6","5.0","4.2"
"OLESEN","THORBJORN","+0.01","-0.00","-0.00","+0.00","+0.01","7.1","11.8","3.4","2.9","2.6","3.0","5.6","5.0","4.3"
"HIGGO","GARRICK","-0.01","+0.01","-0.01","+0.01","+0.01","7.1","11.8","3.5","3.1","2.8","3.1","5.6","4.8","4.3"
"PENGE","MARCO","+0.01","-0.00","-0.02","+0.02","+0.01","7.1","11.9","3.4","3.0","2.7","3.6","5.3","4.1","4.7"
"KIRK","CHRIS","+0.02","-0.01","+0.00","-0.00","+0.01","7.0","11.7","3.4","2.9","2.4","2.9","5.6","5.2","4.2"
"ECKROAT","AUSTIN","+0.01","-0.00","+0.00","+0.00","+0.01","7.2","11.9","3.5","2.9","2.5","2.9","5.7","5.2","4.2"
"DUNLAP","NICK","-0.02","+0.00","+0.00","+0.02","+0.01","7.0","11.6","3.5","2.9","2.6","2.9","5.8","5.3","4.1"
"PENDRITH","TAYLOR","+0.01","-0.00","-0.01","+0.01","+0.01","7.1","11.7","3.4","3.0","2.6","3.2","5.5","4.7","4.4"
"VENTURA","KRISTOFFER","+0.00","+0.00","-0.01","+0.00","+0.00","7.1","11.9","3.5","3.0","2.7","3.1","5.5","4.8","4.4"
"HORSCHEL","BILLY","+0.01","-0.01","+0.00","+0.00","+0.00","7.1","11.8","3.4","2.9","2.5","2.8","5.7","5.3","4.2"
"LIPSKY","DAVID","-0.01","+0.00","+0.01","-0.01","+0.00","7.0","11.6","3.4","3.0","2.6","2.6","5.8","5.6","4.0"
"BRENNAN","MICHAEL","+0.03","-0.01","-0.02","+0.00","+0.00","7.2","12.0","3.4","2.9","2.6","3.5","5.3","4.2","4.7"
"KEEFER","JOHNNY","+0.02","-0.01","-0.01","+0.00","+0.00","7.1","11.9","3.4","2.9","2.5","3.3","5.4","4.6","4.5"
"MOUW","WILLIAM","+0.02","-0.01","-0.00","-0.00","+0.00","7.1","11.9","3.4","2.9","2.5","3.1","5.5","4.9","4.4"
"RAMEY","CHAD","-0.01","+0.01","+0.00","+0.00","+0.00","7.1","11.7","3.5","3.0","2.8","2.9","5.7","5.2","4.2"
"HOJGAARD","RASMUS","-0.01","+0.00","-0.02","+0.02","+0.00","7.1","11.8","3.5","3.0","2.7","3.4","5.4","4.3","4.6"
