player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Suber, Jackson",150,0.336,0.000,26,0.026,0.027,0.059,0.038,0.032,-0.003,0.003,-0.013,-0.012,0.506,2.671,"Rocket Classic","Detroit Golf Club"
"Bezuidenhout, Christiaan",150,0.551,0.000,32,0.002,-0.008,0.058,-0.056,-0.029,0.010,-0.009,-0.047,-0.045,0.473,2.494,"Rocket Classic","Detroit Golf Club"
"McCarthy, Denny",150,0.617,0.000,33,-0.003,-0.028,0.079,-0.153,0.005,0.008,0.001,-0.053,-0.045,0.471,2.497,"Rocket Classic","Detroit Golf Club"
"Stevens, Sam",150,0.171,0.000,30,0.011,0.027,0.073,0.193,0.004,-0.006,0.001,-0.005,-0.009,0.470,2.602,"Rocket Classic","Detroit Golf Club"
"Novak, Andrew",150,0.257,0.000,31,0.006,0.034,-0.098,0.292,-0.022,-0.002,-0.001,0.000,-0.003,0.465,2.661,"Rocket Classic","Detroit Golf Club"
"Taylor, Nick",150,0.793,0.000,38,-0.025,-0.042,-0.067,-0.189,0.021,0.007,-0.008,-0.040,-0.041,0.451,2.530,"Rocket Classic","Detroit Golf Club"
"Finau, Tony",150,0.117,0.000,36,-0.019,-0.008,0.104,0.218,0.026,-0.009,0.012,-0.015,-0.013,0.426,2.672,"Rocket Classic","Detroit Golf Club"
"Yu, Kevin",150,0.269,0.000,27,0.020,0.028,0.066,0.057,-0.018,-0.007,0.002,-0.006,-0.011,0.411,2.600,"Rocket Classic","Detroit Golf Club"
"Dou, Zecheng",150,0.125,0.000,29,0.014,0.065,0.047,0.152,0.013,-0.006,0.009,-0.015,-0.013,0.403,2.626,"Rocket Classic","Detroit Golf Club"
"Spieth, Jordan",150,0.366,0.000,33,-0.002,-0.030,-0.149,0.274,-0.044,-0.006,0.004,-0.015,-0.017,0.400,2.621,"Rocket Classic","Detroit Golf Club"
"Grillo, Emiliano",150,0.382,0.000,33,-0.005,-0.046,0.164,-0.085,-0.008,0.005,-0.019,-0.006,-0.019,0.382,2.566,"Rocket Classic","Detroit Golf Club"
"Keefer, Johnny",150,0.360,0.000,25,0.031,0.028,0.006,-0.021,-0.044,-0.010,0.003,0.009,0.002,0.363,2.662,"Rocket Classic","Detroit Golf Club"
"Mouw, William",150,0.209,0.000,25,0.030,-0.009,0.002,0.110,0.003,-0.005,-0.002,0.008,0.002,0.346,2.638,"Rocket Classic","Detroit Golf Club"
"Penge, Marco",150,0.265,-0.020,28,0.019,0.034,-0.067,0.151,-0.044,-0.019,0.015,0.010,0.006,0.345,2.719,"Rocket Classic","Detroit Golf Club"
"Coody, Pierceson",150,0.359,0.000,26,0.027,0.061,-0.007,-0.073,-0.015,-0.012,0.008,-0.008,-0.012,0.339,2.654,"Rocket Classic","Detroit Golf Club"
"Hossler, Beau",150,0.025,0.000,31,0.006,-0.035,0.066,0.243,0.054,0.001,0.001,-0.028,-0.025,0.333,2.619,"Rocket Classic","Detroit Golf Club"
"Castillo, Ricky",150,0.267,0.000,25,0.031,0.025,0.032,0.040,-0.046,-0.003,0.001,-0.019,-0.021,0.328,2.582,"Rocket Classic","Detroit Golf Club"
"Hodges, Lee",150,0.216,0.000,31,0.007,-0.066,0.105,0.052,0.020,0.005,-0.016,-0.002,-0.014,0.320,2.570,"Rocket Classic","Detroit Golf Club"
"Hughes, Mackenzie",150,0.208,0.000,35,-0.013,0.001,0.082,0.044,0.029,-0.002,0.013,-0.045,-0.034,0.316,2.602,"Rocket Classic","Detroit Golf Club"
"Kirk, Chris",150,0.133,0.000,41,-0.038,-0.064,0.001,0.074,0.203,0.002,-0.001,0.006,0.006,0.316,2.586,"Rocket Classic","Detroit Golf Club"
"Moore, Taylor",150,-0.071,0.000,33,-0.002,0.041,0.012,0.202,0.138,-0.007,0.010,-0.008,-0.005,0.315,2.648,"Rocket Classic","Detroit Golf Club"
"McGreevy, Max",150,0.338,0.000,31,0.006,-0.023,0.003,0.023,-0.021,0.006,-0.014,-0.007,-0.015,0.312,2.553,"Rocket Classic","Detroit Golf Club"
"Fisk, Steven",150,0.170,0.000,29,0.015,0.052,0.008,0.107,-0.039,-0.007,-0.001,-0.009,-0.016,0.296,2.608,"Rocket Classic","Detroit Golf Club"
"Potgieter, Aldrich",150,0.079,0.000,21,0.047,0.062,0.010,0.046,0.026,-0.023,0.019,0.018,0.014,0.283,2.740,"Rocket Classic","Detroit Golf Club"
"Yellamaraju, Sudarshan",150,0.257,0.000,25,0.033,0.066,-0.052,0.024,-0.044,-0.007,-0.001,-0.006,-0.014,0.271,2.640,"Rocket Classic","Detroit Golf Club"
"Hall, Harry",150,0.472,0.000,28,0.016,-0.002,-0.158,-0.067,0.033,0.002,0.011,-0.053,-0.041,0.253,2.550,"Rocket Classic","Detroit Golf Club"
"Parry, John",150,0.267,0.000,39,-0.031,-0.012,0.063,0.012,-0.044,0.007,-0.010,-0.008,-0.011,0.245,2.528,"Rocket Classic","Detroit Golf Club"
"Bauchou, Zach",150,0.304,0.000,30,0.009,0.041,0.030,-0.071,-0.065,0.003,0.000,-0.016,-0.013,0.235,2.572,"Rocket Classic","Detroit Golf Club"
"Roy, Kevin",150,-0.050,0.000,36,-0.016,-0.008,0.057,0.210,0.029,-0.002,-0.002,-0.007,-0.011,0.211,2.629,"Rocket Classic","Detroit Golf Club"
"McCarty, Matt",150,0.444,0.000,28,0.018,0.040,-0.124,-0.161,0.009,0.005,-0.004,-0.022,-0.021,0.204,2.603,"Rocket Classic","Detroit Golf Club"
"Echavarria, Nico",150,0.302,0.000,31,0.003,0.018,-0.074,-0.097,0.051,0.005,-0.005,-0.013,-0.013,0.191,2.646,"Rocket Classic","Detroit Golf Club"
"Pendrith, Taylor",150,0.104,0.000,35,-0.011,0.020,-0.012,0.004,0.069,-0.009,0.010,0.004,0.005,0.179,2.621,"Rocket Classic","Detroit Golf Club"
"Schmid, Matti",150,0.139,0.000,28,0.017,-0.020,0.052,-0.006,-0.003,-0.007,0.012,-0.011,-0.005,0.173,2.666,"Rocket Classic","Detroit Golf Club"
"Nakajima, Keita",150,0.220,0.000,26,0.029,0.026,0.114,-0.160,-0.044,-0.001,-0.001,-0.010,-0.013,0.172,2.610,"Rocket Classic","Detroit Golf Club"
"Hoey, Rico",150,-0.077,0.000,30,0.008,0.032,0.026,0.145,0.011,-0.006,-0.004,0.023,0.014,0.158,2.649,"Rocket Classic","Detroit Golf Club"
"Blair, Zac",150,0.447,0.000,35,-0.015,-0.057,0.062,-0.238,-0.033,0.019,-0.018,-0.025,-0.024,0.142,2.474,"Rocket Classic","Detroit Golf Club"
