event_name,course_name,player_name,dg_id,player_num,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
3M Open,TPC Twin Cities,"Sihota, Jeevan",29702,62811,8:35 AM,early,1,1:50 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Silverman, Ben",17381,39327,12:11 PM,late,1,6:56 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Skinns, David",10873,27139,2:01 PM,late,10,8:46 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Smith, Jordan",18586,46464,6:56 AM,early,1,12:11 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Smotherman, Austin",22985,50095,1:06 PM,late,10,7:51 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Snedeker, Brandt",8820,27649,7:51 AM,early,1,1:06 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Springer, Hayden",21995,50484,8:46 AM,early,1,2:01 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Stanger, Jimmy",23048,51600,1:28 PM,late,10,8:13 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Stevens, Sam",25569,55893,12:00 PM,late,10,6:45 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Stout, Preston",32089,66416,1:39 PM,late,1,8:24 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Streelman, Kevin",8480,27214,12:55 PM,late,10,7:40 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Suber, Jackson",29279,60019,1:39 PM,late,1,8:24 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Svensson, Adam",13997,40115,12:11 PM,late,10,6:56 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Svensson, Jesper",26850,57586,1:50 PM,late,1,8:35 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Thompson, Davis",27364,58168,12:33 PM,late,10,7:18 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Tosti, Alejandro",17032,38991,8:35 AM,early,1,1:50 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Van Rooyen, Erik",17550,40006,7:07 AM,early,1,12:22 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"VanDerLaan, John",25319,55573,8:35 AM,early,10,1:50 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Ventura, Kristoffer",15651,35658,1:50 PM,late,1,8:35 AM,early,10,null,null,null,null,null,null,2
