player,player_display,final_pos_str,final_pos_int,final_score,rank_model,tier,vts_final,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_history_delta,venue_history_rounds,venue_history_sg,anti_pattern_flags,anti_pattern_penalty_total,primary_trait_driver
Mac Meissner,"Meissner, Mac",T44,44,-9.0,35,4,43.70337084953763,0.74,41.30434782608695,47.301905384713635,5.997557558626681,0.0,0.0,nan,,0.0,ARG_Bunker
Ryan Gerard,"Gerard, Ryan",T44,44,-9.0,44,4,40.70398140040391,0.86,44.20289855072465,56.487086368507896,12.284187817783248,-0.14,4.0,-0.494,poor_birdie_conv;rough_approach_liab,-4.3234740519680885,APP_Wedge
Cameron Young,"Young, Cameron",T47,47,-8.0,5,3,64.27450057174089,2.02,72.22222222222223,67.93683894283997,-4.285383279382259,0.015200000000000005,12.0,0.702,,0.0,OTT_Distance
Jacob Bridgeman,"Bridgeman, Jacob",T47,47,-8.0,31,4,44.47030783649894,0.97,46.85990338164252,57.21212215601447,10.352218774371956,-0.092,4.0,-0.244,wedge_liability,-3.235043304463691,PUTT_BirdieConv
Alex Smalley,"Smalley, Alex",T47,47,-8.0,37,4,42.652924908131126,0.66,39.371980676328505,50.66684799109665,11.294867314768148,1.5088,6.0,1.09,rough_approach_liab,-1.8742808798646362,OTT_Distance
Brian Campbell,"Campbell, Brian",T47,47,-8.0,71,5,0.0,-0.97,0.0,30.77071170882795,30.77071170882795,-0.05280000000000001,2.0,-1.793,wedge_liability;rough_approach_liab,-6.88050053489439,PUTT_BirdieConv
Xander Schauffele,"Schauffele, Xander",T51,51,-7.0,10,3,55.81427878504538,1.86,68.35748792270532,64.37335428684368,-3.984133635861639,0.7192000000000001,26.0,1.684,bomb_and_spray,-3.028241335044929,OTT_Distance
Harry Hall,"Hall, Harry",T51,51,-7.0,30,4,44.88441728256969,1.08,49.51690821256038,54.00247967063261,4.485571458072229,2.044,8.0,1.12,wedge_liability,-3.1753497668221184,ARG_Bunker
Sahith Theegala,"Theegala, Sahith",T51,51,-7.0,61,5,28.601925143033817,0.65,39.1304347826087,42.89477318322887,3.7643384006201686,1.0952000000000002,14.0,0.821,bomb_and_spray;wedge_liability;poor_birdie_conv,-7.623620362489163,ARG_Bunker
Jhonattan Vegas,"Vegas, Jhonattan",T51,51,-7.0,70,5,11.489279683575848,-0.42,13.285024154589376,31.706343335800327,18.42131918121095,0.14640000000000003,28.0,0.04,bomb_and_spray;wedge_liability;poor_birdie_conv;rough_approach_liab,-9.0,OTT_Distance
Ludvig Åberg,"Aberg, Ludvig",T55,55,-6.0,6,3,62.92109339601672,1.84,67.8743961352657,69.19218313970148,1.317787004435786,0.0456,12.0,1.119,,0.0,OTT_Distance
Alex Noren,"Noren, Alex",T55,55,-6.0,9,3,57.654461232263586,1.27,54.10628019323672,66.02091753041493,11.914637337178213,-0.039999999999999994,4.0,1.006,,0.0,PUTT_BirdieConv
Maverick McNealy,"Mcnealy, Maverick",T55,55,-6.0,34,4,43.79147994811052,1.5,59.66183574879227,54.16739787567636,-5.494437873115913,0.37920000000000004,10.0,0.718,bomb_and_spray;wedge_liability,-5.718616857054647,PUTT_BirdieConv
