RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
36,0,46442,Maverick McNealy,0.221,6.409,29
37,0,55182,Tom Kim,0.220,6.808,31
37,0,32757,Patton Kizzire,0.220,4.629,21
39,0,35506,Mackenzie Hughes,0.215,5.580,26
40,0,49947,Taylor Moore,0.210,5.253,25
41,0,59006,Davis Chatfield,0.200,3.405,17
42,0,34098,Russell Henley,0.199,4.370,22
43,0,34021,Bud Cauley,0.196,6.091,31
44,0,48887,Matt Wallace,0.190,3.428,18
45,0,40115,Adam Svensson,0.186,2.972,16
46,0,40250,Taylor Pendrith,0.183,4.749,26
47,0,51287,Ryo Hisatsune,0.181,6.339,35
48,0,29936,Ryan Fox,0.172,3.095,18
49,0,56630,Akshay Bhatia,0.168,3.706,22
50,0,36699,Patrick Rodgers,0.163,6.020,37
51,0,29535,Brice Garnett,0.157,2.826,18
52,0,51766,Wyndham Clark,0.153,3.834,25
53,0,47917,Takumi Kanaya,0.149,4.463,30
54,0,37455,Si Woo Kim,0.142,4.670,33
55,0,51997,Andrew Novak,0.139,3.891,28
