"Last Name","First Name","SHORT GAME","APPROACH","Driving-Distance","Driving-Accuracy","Total SG Adjustment"
"FITZPATRICK","ALEX","-0.00","-0.00","-0.00","-0.00","-0.01"
"FOWLER","RICKIE","-0.00","-0.00","-0.00","-0.00","-0.01"
"CAULEY","BUD","-0.00","-0.00","-0.01","-0.00","-0.01"
"FITZPATRICK","MATT","-0.01","-0.00","+0.00","-0.00","-0.01"
"BHATIA","AKSHAY","-0.01","-0.00","-0.01","+0.00","-0.01"
"NAKAJIMA","KEITA","-0.00","-0.00","-0.01","-0.00","-0.02"
"BERGER","DANIEL","+0.00","-0.00","-0.02","-0.00","-0.02"
"ROZNER","ANTOINE","+0.00","-0.00","-0.02","+0.00","-0.02"
"SLOMAN","TOM","+0.02","+0.00","-0.04","+0.00","-0.02"
"BRIDGEMAN","JACOB","-0.01","-0.00","-0.01","-0.00","-0.02"
"PEREZ","VICTOR","-0.00","-0.00","-0.02","-0.00","-0.02"
"DEAN","JOE","-0.00","+0.00","-0.02","+0.00","-0.02"
"PULCINI","MATEO","+0.02","+0.00","-0.05","+0.00","-0.02"
"NOVAK","ANDREW","+0.00","-0.00","-0.03","-0.00","-0.03"
"GRINBERG","LEV","+0.00","+0.00","-0.03","+0.00","-0.03"
"ENGLISH","HARRIS","-0.01","-0.00","-0.02","-0.00","-0.03"
"GERARD","RYAN","-0.00","-0.00","-0.03","-0.00","-0.03"
"HISATSUNE","RYO","+0.00","-0.00","-0.03","-0.00","-0.03"
"GRIFFIN","BEN","-0.01","-0.00","-0.02","-0.00","-0.03"
"SMALLEY","ALEX","-0.00","-0.00","-0.04","-0.00","-0.04"
"SUBER","JACKSON","+0.00","-0.00","-0.05","+0.00","-0.04"
"HOVLAND","VIKTOR","-0.01","-0.00","-0.04","-0.00","-0.05"
"ROSE","JUSTIN","-0.00","-0.00","-0.04","-0.00","-0.05"
"MACINTYRE","ROBERT","-0.01","-0.00","-0.04","-0.00","-0.05"
"BAIRSTOW","SAM","+0.00","+0.00","-0.05","+0.00","-0.05"
"NEERGAARD-PETERSEN","RASMUS","+0.00","-0.00","-0.06","-0.00","-0.06"
"HOMA","MAX","-0.01","-0.00","-0.05","+0.00","-0.06"
"LAGERGREN","JOAKIM","+0.00","+0.00","-0.07","+0.00","-0.06"
"CANTLAY","PATRICK","-0.01","-0.00","-0.06","-0.00","-0.07"
"SMITH","JORDAN","+0.00","-0.00","-0.07","-0.00","-0.07"
"HATTON","TYRRELL","-0.01","-0.00","-0.06","+0.00","-0.07"
"HERBERT","LUCAS","-0.00","-0.00","-0.08","+0.00","-0.08"
"THOMAS","JUSTIN","-0.01","-0.00","-0.06","-0.00","-0.08"
"JOHN","CAMERON","+0.01","+0.00","-0.09","+0.00","-0.08"
"THEEGALA","SAHITH","-0.00","-0.00","-0.08","+0.00","-0.08"
"MCKIBBIN","TOM","+0.00","-0.00","-0.08","-0.00","-0.08"
"UIHLEIN","PETER","-0.01","+0.00","-0.08","+0.01","-0.08"
"LAOPAKDEE","FIFA","+0.01","+0.00","-0.10","+0.00","-0.08"
"DETRY","THOMAS","-0.00","-0.00","-0.08","+0.00","-0.09"
"LI","HAOTONG","+0.01","-0.00","-0.10","+0.00","-0.09"
"SPIETH","JORDAN","-0.00","-0.00","-0.09","+0.00","-0.09"
"CHRISTENSEN","TIGER","+0.01","+0.00","-0.11","+0.00","-0.10"
"BRADLEY","KEEGAN","-0.01","-0.00","-0.10","+0.00","-0.10"
"KOEPKA","BROOKS","+0.00","-0.00","-0.10","+0.00","-0.10"
