event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
The Open Championship,Royal Birkdale Golf Club,"Laporta, Francesco",14987,34607,211,222,null,3:48 PM,late,1,10:42 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Lee, Min Woo",16841,37378,27,24,15,9:25 AM,early,1,2:31 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Li, Haotong",15310,35296,174,106,123,1:09 PM,late,1,8:03 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Lowry, Shane",13900,33204,32,46,55,2:53 PM,late,1,9:47 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"MacIntyre, Robert",23323,52215,17,15,27,7:19 AM,early,1,12:25 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Matsuyama, Hideki",13562,32839,35,31,36,9:25 AM,early,1,2:31 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"McCarty, Matt",28635,59141,77,63,44,1:09 PM,late,1,8:03 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"McDonald, Jack",16372,36872,null,null,null,11:04 AM,early,1,4:10 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"McIlroy, Rory",10091,28237,2,2,12,3:15 PM,late,1,10:09 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"McKibbin, Tom",22322,50823,112,135,null,8:03 AM,early,1,1:09 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"McNealy, Maverick",18634,46442,20,39,47,10:31 AM,early,1,3:37 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Mitchell, Keith",17365,39546,37,68,45,12:14 PM,late,1,7:08 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Molinari, Francesco",7655,25198,205,243,185,8:03 AM,early,1,1:09 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Morikawa, Collin",22085,50525,8,7,6,2:42 PM,late,1,9:36 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Nagano, Ryutaro",10523,28521,385,491,null,11:15 AM,early,1,4:21 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Nakajima, Keita",21074,49228,105,90,108,1:42 PM,late,1,8:36 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Neergaard-Petersen, Rasmus",23841,52689,119,91,126,3:26 PM,late,1,10:20 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Nicholas, James",27598,58188,351,292,null,6:35 AM,early,1,11:41 AM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Niemann, Joaquin",18079,45486,31,48,null,12:25 PM,late,1,7:19 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Noren, Alex",10419,27349,45,25,51,9:47 AM,early,1,2:53 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Norris, Shaun",7677,26328,242,94,null,12:36 PM,late,1,7:30 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Novak, Andrew",23475,51997,106,69,83,6:57 AM,early,1,12:03 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Parry, John",13764,28723,154,95,87,11:41 AM,late,1,6:35 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Penge, Marco",22465,51003,136,50,106,1:20 PM,late,1,8:14 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Perez, Victor",20730,47679,64,163,null,8:25 AM,early,1,1:31 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Plunkett, Marcus",29716,59613,null,null,null,4:10 PM,late,1,11:04 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Poston, J.T.",21554,49771,53,34,24,2:20 PM,late,1,9:14 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Potgieter, Aldrich",27900,63343,137,83,60,1:53 PM,late,1,8:47 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Puig, David",28984,61193,58,66,null,10:31 AM,early,1,3:37 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Pulcini, Mateo",35013,70145,null,null,null,8:25 AM,early,1,1:31 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Rahm, Jon",19195,46970,5,11,null,10:09 AM,early,1,3:15 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Rai, Aaron",18554,46414,34,17,28,2:53 PM,late,1,9:47 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Reed, Patrick",14838,34360,38,26,null,2:20 PM,late,1,9:14 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Reitan, Kristoffer",21407,49855,42,27,17,2:20 PM,late,1,9:14 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Rose, Justin",6093,22405,22,10,21,9:36 AM,early,1,2:42 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Rozner, Antoine",18770,46646,173,216,null,10:53 AM,early,1,3:59 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Ruiter, Nevill",33707,68670,null,null,null,4:21 PM,late,1,11:15 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Saddier, Adrien",14792,34371,232,128,177,12:47 PM,late,1,7:41 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Schaper, Jayden",26991,57737,116,85,null,2:09 PM,late,1,9:03 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Schauffele, Xander",19895,48081,15,14,16,3:15 PM,late,1,10:09 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Scheffler, Scottie",18417,46046,1,1,1,9:58 AM,early,1,3:04 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Scott, Adam",6430,24502,47,57,35,2:31 PM,late,1,9:25 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Skogen, Baard",22489,70940,null,null,null,4:10 PM,late,1,11:04 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Sloman, Tom",24055,53125,null,null,null,10:42 AM,early,1,3:48 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Smalley, Alex",18474,46340,49,44,23,9:03 AM,early,1,2:09 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Smith, Cameron",15856,35891,92,140,null,12:14 PM,late,1,7:08 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Smith, Jordan",18586,46464,82,78,73,7:52 AM,early,1,12:58 PM,late,1,null,null,null,null,null,null,1
