player_id,dg_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P036,27774,GOTTERUP,CHRIS,DP World Tour,FULL,False,0.27654999999999996,0.738,0.101,0.099,0.0,1.169,1.79,0.26,NEUTRAL,THIN,6.0,1.0,0.12,0.028,0.09
P009,15466,CANTLAY,PATRICK,DP World Tour,FULL,False,0.4646,0.425,0.738,0.394,0.0,1.241,1.6,0.02,NEUTRAL,THIN,6.0,4.0,-0.11,0.029,-0.03
P065,14609,KIM,SI WOO,DP World Tour,FULL,False,0.46849999999999997,0.624,0.65,0.269,0.0,1.464,1.58,0.01,NEUTRAL,MODERATE,12.0,26.0,-0.29,0.079,-0.19
P014,23604,CLARK,WYNDHAM,DP World Tour,FULL,False,0.15889999999999999,0.06,0.122,0.491,0.0,0.655,3.55,2.23,HOT,STRONG,16.0,10.0,-0.02,0.029,0.07
P054,18841,HOVLAND,VIKTOR,DP World Tour,FULL,False,0.42384999999999995,0.206,0.879,0.272,0.0,0.927,1.53,0.12,NEUTRAL,MODERATE,14.0,11.0,-0.2,0.051,-0.11
P128,6430,SCOTT,ADAM,DP World Tour,FULL,False,0.30055,0.314,0.565,0.043,0.0,1.309,0.76,-0.19,NEUTRAL,MODERATE,10.0,2.0,0.04,0.039,0.02
P066,24766,KIM,TOM,DP World Tour,FULL,False,0.13595,-0.195,0.423,0.232,0.0,0.471,0.96,0.6,WARM,STRONG,16.0,3.0,-0.16,0.022,-0.06
P144,14139,THOMAS,JUSTIN,DP World Tour,FULL,False,0.36935,0.189,0.547,0.606,0.0,0.544,2.22,1.09,HOT,MODERATE,22.0,8.0,-0.07,-0.02,0.01
P035,24550,GHIM,DOUG,DP World Tour,FULL,False,0.3528,0.507,0.426,0.258,0.0,0.605,1.27,0.84,HOT,MODERATE,8.0,16.0,-0.12,-0.021,-0.1
P081,13900,LOWRY,SHANE,DP World Tour,FULL,False,0.36244999999999994,0.168,0.891,0.001,0.0,1.23,1.49,0.33,WARM,THIN,4.0,12.0,-0.16,0.029,-0.09
