playerName,dg_id,tier,vtsFinal,prePenaltyVTS,penaltyTotal,neutralSkillSG,neutralSkillIndex,venueFitScore,venueFitDelta,venueHistoryRounds,venueHistorySG,venueHistoryDelta,blendClass,winPct,top5Pct,top10Pct,top20Pct,makeCutPct,missCutPct,sgOTT_L12,sgAPP_L12,sgARG_L12,sgPUTT_L12,sgTotal_L12,dgFinalPrediction,dgCourseFitAdj,country,owgr,formTrend,volatilityIndex,datadepthClass,hardGateTriggered,isDebut,bettingUseCase,fragility
Tim Wiedemeyer,29973,T5,-1.067,-0.857,-0.21,-0.8372,33.2,0.0,-0.05,0,,0.0,0-2,0.06,0.4,1.1,2.8,26.6,73.4,0.0,0.0,0.0,0.0,0.0,-1.165,0.006,GER,,warm,standard,DEEP,False,True,Avoid,High
Cameron John,19390,T5,-1.127,-1.047,-0.08,-1.0675,29.6,0.0,0.05,0,,0.0,0-2,0.06,0.4,1.1,2.6,25.3,74.7,0.0,0.0,0.0,0.0,0.0,-1.973,-0.079,AUS,256,neutral,standard,DEEP,False,True,Avoid,High
Jeong Woo Ham,17872,T5,-1.184,-0.784,-0.4,-0.7637,34.3,0.0,-0.05,0,,0.0,0-2,0.06,0.4,1.0,2.5,24.1,75.9,0.0,0.0,0.0,0.0,0.0,-1.155,0.166,KOR,410,cool,standard,DEEP,False,True,Avoid,High
Darren Clarke,3523,T5,-1.244,-1.214,-0.03,-1.2425,26.9,0.0,0.07,2,-0.975,0.0,0-2,0.05,0.4,1.0,2.4,22.8,77.2,0.0,0.0,0.0,0.0,0.0,-1.289,0.159,NIR,,warm,standard,DEEP,False,False,Avoid,High
Stuart Grehan,22633,T5,-1.267,-1.187,-0.08,-1.2152,27.3,0.0,0.07,0,,0.0,0-2,0.05,0.4,0.9,2.3,22.4,77.6,0.0,0.0,0.0,0.0,0.0,-1.778,0.1,IRL,,neutral,standard,DEEP,False,True,Avoid,High
Lev Grinberg,29461,T5,-1.275,-1.065,-0.21,-1.0451,29.9,0.0,-0.05,0,,0.0,0-2,0.05,0.4,0.9,2.3,22.2,77.8,0.0,0.0,0.0,0.0,0.0,-1.639,-0.029,ISR,,warm,standard,DEEP,False,True,Avoid,High
Peter Uihlein,11357,T5,-1.28,-0.749,-0.53,-0.6396,36.3,-0.4173,-0.407,4,0.806,0.217,3-4,0.05,0.4,0.9,2.3,22.1,77.9,-1.106,-0.385,0.163,0.379,-0.949,-1.276,-0.081,USA,189,cold,high,DEEP,True,False,Avoid,High
Naoyuki Kataoka,18994,T5,-1.283,-1.033,-0.25,-1.0129,30.4,0.0,-0.05,0,,0.0,0-2,0.05,0.4,0.9,2.3,22.1,77.9,0.0,0.0,0.0,0.0,0.0,-1.646,0.116,JPN,387,cool,standard,DEEP,False,True,Avoid,High
Marcus Plunkett,29716,T5,-1.328,-1.248,-0.08,-1.2761,26.3,0.0,0.07,0,,0.0,0-2,0.05,0.3,0.9,2.2,21.2,78.8,0.0,0.0,0.0,0.0,0.0,-2.281,-0.125,IRL,,neutral,standard,DEEP,False,True,Avoid,High
Tiger Christensen,31123,T5,-1.402,-1.322,-0.08,-1.3419,25.3,0.0,0.05,0,,0.0,0-2,0.04,0.3,0.8,2.0,19.8,80.2,0.0,0.0,0.0,0.0,0.0,-2.02,-0.101,DEN,,neutral,standard,DEEP,False,True,Avoid,High
Jack Buchanan,31844,T5,-1.479,-1.399,-0.08,-1.4266,24.0,0.0,0.07,0,,0.0,0-2,0.04,0.3,0.8,1.9,18.5,81.5,0.0,0.0,0.0,0.0,0.0,-1.997,0.103,SCO,,neutral,standard,DEEP,False,True,Avoid,High
Alejandro De Castro Piera,29810,T5,-1.503,-1.293,-0.21,-1.2726,26.4,0.0,-0.05,0,,0.0,0-2,0.04,0.3,0.7,1.9,18.1,81.9,0.0,0.0,0.0,0.0,0.0,-1.904,0.096,ESP,,warm,standard,DEEP,False,True,Avoid,High
Matthew Southgate,15191,T5,-1.511,-1.521,0.01,-1.4535,23.6,-0.4204,-0.39,4,2.556,0.601,3-4,0.04,0.3,0.7,1.9,17.9,82.1,-0.037,-0.529,-0.319,-0.482,-1.366,-1.122,0.107,ENG,453,warm,standard,DEEP,False,False,Avoid,High
Mason Howell,33759,T5,-1.632,-1.382,-0.25,-1.3622,25.0,0.0,-0.05,0,,0.0,0-2,0.03,0.2,0.6,1.7,16.0,84.0,0.0,0.0,0.0,0.0,0.0,-2.275,-0.109,USA,,cool,standard,STANDARD,False,True,Avoid,High
Matthew Baldwin,13344,T5,-1.685,-1.605,-0.08,-1.4261,24.0,-0.4261,-0.396,0,,0.0,0-2,0.03,0.2,0.6,1.6,15.2,84.8,-0.166,-0.475,-0.3,-0.483,-1.424,-1.16,0.156,ENG,,neutral,standard,DEEP,False,True,Avoid,High
Jiho Yang,14419,T5,-1.758,-1.568,-0.19,-1.5477,22.1,0.0,-0.05,0,,0.0,0-2,0.03,0.2,0.6,1.5,14.2,85.8,0.0,0.0,0.0,0.0,0.0,-2.229,0.114,KOR,,hot,standard,DEEP,False,True,Avoid,High
Nevill Ruiter,33707,T5,-1.774,-1.584,-0.19,-1.5645,21.8,0.0,-0.05,0,,0.0,0-2,0.03,0.2,0.6,1.5,14.0,86.0,0.0,0.0,0.0,0.0,0.0,-2.365,-0.156,RSA,,hot,standard,DEEP,False,True,Avoid,High
Fifa Laopakdee,27019,T5,-1.901,-1.451,-0.45,-1.4308,23.9,0.0,-0.05,0,,0.0,0-2,0.02,0.2,0.5,1.3,12.3,87.7,0.0,0.0,0.0,0.0,0.0,-2.662,-0.082,THA,,cold,standard,DEEP,False,True,Avoid,High
David Duval,4761,T5,-1.944,-1.954,0.01,-2.1231,13.1,0.0,0.0,6,-0.249,0.562,5+,0.02,0.2,0.5,1.3,11.8,88.2,0.0,0.0,0.0,0.0,0.0,-3.025,0.192,USA,,warm,standard,DEEP,False,False,Avoid,High
Tom Sloman,24055,T5,-1.983,-1.873,-0.11,-1.9012,16.6,0.0,0.07,0,,0.0,0-2,0.02,0.2,0.5,1.2,11.4,88.6,0.0,0.0,0.0,0.0,0.0,-3.0,-0.017,ENG,,cool,standard,DEEP,False,True,Avoid,High
Mateo Pulcini,35013,T5,-2.036,-1.826,-0.21,-1.806,18.0,0.0,-0.05,0,,0.0,0-2,0.02,0.2,0.4,1.2,10.8,89.2,0.0,0.0,0.0,0.0,0.0,-2.654,-0.025,ARG,,warm,standard,DEEP,False,True,Avoid,High
David Howard,33657,T5,-3.163,-2.942,-0.22,-2.9225,0.6,0.0,-0.05,0,,0.0,0-2,0.0,0.0,0.1,0.4,5,95,0.0,0.0,0.0,0.0,0.0,-4.002,0.205,USA,,neutral,standard,STANDARD,False,True,Avoid,High
