player_name,player_id,model_rank,tier,vts_final,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_history_delta,pre_penalty_vts,debut_penalty_applied,anti_pattern_penalty_total,recent_form_gate_applied,health_gate_status,volatility_index,venue_variance_class,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,anti_pattern_flags,primary_trait_driver,primary_risk_trait,trait_summary_label,tee_time_rd1,tour,world_rank
"ROSE, JUSTIN",31,11,2,78.54,1.44,78.22,80.34,2.12,0.0,78.96,0.0,0.0,False,ok,25.0,high,2.07,36.54,46.22,57.87,69.85,83.15,16.85,,OTT_Distance,APP_FlightCtrl,OTT_Distance + OTT_Accuracy; weak APP_FlightCtrl,,PGA Tour,7.0
"SPAUN, J.J.",13,12,2,78.07,1.64,80.69,84.53,3.84,0.0,82.04,0.0,-1.32,False,ok,25.0,high,2.01,35.42,45.15,56.99,69.25,82.88,17.12,poor_lag_putting,OTT_Accuracy,PUTT_LagCtrl,OTT_Accuracy + OTT_Distance; weak PUTT_LagCtrl,8:14 AM,PGA Tour,9.0
"NOREN, ALEX",28,13,2,77.64,1.32,76.73,79.32,2.59,0.0,77.64,0.0,0.0,False,ok,25.0,high,1.95,34.41,44.19,56.18,68.7,82.63,17.37,,PUTT_LagCtrl,APP_150-200,PUTT_LagCtrl + ARG_TightRunoff; weak APP_150-200,,PGA Tour,20.0
"GRIFFIN, BEN",24,14,2,77.58,1.45,78.34,76.16,-2.18,0.0,77.58,0.0,0.0,False,ok,25.0,high,1.94,34.26,44.05,56.06,68.62,82.59,17.41,,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,,PGA Tour,15.0
"ENGLISH, HARRIS",17,15,2,76.74,1.43,78.09,74.22,-3.87,0.0,76.74,0.0,0.0,False,ok,25.0,high,1.84,32.33,42.17,54.45,67.51,82.04,17.96,,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + ARG_TightRunoff; weak MajorGrind,,PGA Tour,22.0
"KIM, SI WOO",10,16,2,75.9,1.5,78.96,83.17,4.21,0.0,80.43,0.0,-1.51,False,ok,25.0,high,1.74,30.45,40.3,52.82,66.36,81.46,18.54,poor_lag_putting,OTT_Accuracy,MajorGrind,OTT_Accuracy + WindTolerance; weak MajorGrind,,PGA Tour,18.0
"MORIKAWA, COLLIN",15,17,2,74.98,1.33,76.86,82.73,5.87,0.0,78.91,0.0,-1.31,False,ok,25.0,high,1.64,28.44,38.26,51.0,65.05,80.74,19.26,poor_lag_putting,OTT_Accuracy,MajorGrind,OTT_Accuracy + WindTolerance; weak MajorGrind,,PGA Tour,10.0
"REED, PATRICK",32,18,2,74.95,0.97,72.4,79.67,7.27,0.0,74.95,0.0,0.0,False,ok,25.0,high,1.64,28.37,38.18,50.93,65.0,80.72,19.28,,OTT_Distance,APP_FlightCtrl,OTT_Distance + OTT_Accuracy; weak APP_FlightCtrl,,DP World Tour,27.0
"MACINTYRE, ROBERT",29,19,2,74.7,1.51,79.08,72.95,-6.13,0.0,76.94,0.0,0.0,True,ok,75.0,high,1.93,34.03,46.0,61.65,79.01,93.93,6.07,,ARG_TightRunoff,APP_FlightCtrl,ARG_TightRunoff + PUTT_LagCtrl; weak APP_FlightCtrl,,PGA Tour,17.0
"FOWLER, RICKIE",50,20,2,74.5,1.22,75.5,73.94,-1.56,0.0,74.95,0.0,0.0,False,ok,25.0,high,1.59,27.42,37.21,50.04,64.35,80.35,19.65,,OTT_Accuracy,MajorGrind,OTT_Accuracy + OTT_Distance; weak MajorGrind,,PGA Tour,41.0
"BHATIA, AKSHAY",44,21,2,74.16,1.07,73.64,76.25,2.61,0.0,74.55,0.0,0.0,False,ok,25.0,high,1.55,26.72,36.47,49.37,63.86,80.06,19.94,,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,,PGA Tour,29.0
