Last Name,First Name,main-tour,L5-1 Place,L5 Tournament-1,L5 Tournament-Tour1,L5-2 Place,L5 Tournament-2,L5 Tournament-Tour2,L5-3 Place,L5 Tournament-3,L5 Tournament-Tour3,L5-4 Place,L5 Tournament-4,L5 Tournament-Tour4,L5-5 Place,L5 Tournament-5,L5 Tournament-Tour5,Last 20 Rds True-SG,Last 20 VERSUS BASELINE
FINAU,TONY,PGA Tour,T31,Truist Championship,PGA Tour,T6,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T29,the Memorial Tournament presented by Workday,PGA Tour,T40,RBC Canadian Open,PGA Tour,0.84,0.85
GOUVEIA,RICARDO,DP World Tour,T7,Turkish Airlines Open,DP World Tour,T13,Estrella Damm Catalunya Championship,DP World Tour,T24,Soudal Open,DP World Tour,T2,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T38,KLM Open,DP World Tour,0.84,1.64
MEISSNER,MAC,PGA Tour,T9,ONEflight Myrtle Beach Classic,PGA Tour,T31,THE CJ CUP Byron Nelson,PGA Tour,T3,Charles Schwab Challenge,PGA Tour,T46,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,0.83,0.08
BEZUIDENHOUT,CHRISTIAAN,PGA Tour,T6,ONEflight Myrtle Beach Classic,PGA Tour,T35,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T32,Charles Schwab Challenge,PGA Tour,T54,RBC Canadian Open,PGA Tour,0.82,0.05
HALL,HARRY,PGA Tour,T8,Truist Championship,PGA Tour,CUT,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T29,the Memorial Tournament presented by Workday,PGA Tour,T40,RBC Canadian Open,PGA Tour,0.82,-0.36
LINDBERG,MIKAEL,DP World Tour,,Turkish Airlines Open,DP World Tour,T55,PGA Championship,Major,T17,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T60,KLM Open,DP World Tour,0.8,0.62
THOMPSON,DAVIS,PGA Tour,T6,Zurich Classic of New Orleans,PGA Tour,T13,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T35,Charles Schwab Challenge,PGA Tour,T45,RBC Canadian Open,PGA Tour,0.78,0.25
FOWLER,RICKIE,PGA Tour,T9,Cadillac Championship,PGA Tour,T2,Truist Championship,PGA Tour,T60,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.77,-0.45
HARMAN,BRIAN,PGA Tour,T38,Cadillac Championship,PGA Tour,T31,Truist Championship,PGA Tour,T60,PGA Championship,Major,T22,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.75,0.1
KIM,MICHAEL,PGA Tour,T18,Cadillac Championship,PGA Tour,T48,Truist Championship,PGA Tour,T44,PGA Championship,Major,T17,Charles Schwab Challenge,PGA Tour,T49,the Memorial Tournament presented by Workday,PGA Tour,0.74,0.2
