Last Name,First Name,main-tour,L5-1 Place,L5 Tournament-1,L5 Tournament-Tour1,L5-2 Place,L5 Tournament-2,L5 Tournament-Tour2,L5-3 Place,L5 Tournament-3,L5 Tournament-Tour3,L5-4 Place,L5 Tournament-4,L5 Tournament-Tour4,L5-5 Place,L5 Tournament-5,L5 Tournament-Tour5,Last 20 Rds True-SG,Last 20 VERSUS BASELINE
JORDAN,MATTHEW,DP World Tour,T29,Hero Indian Open,DP World Tour,T43,Turkish Airlines Open,DP World Tour,CUT,Soudal Open,DP World Tour,T40,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,-0.43,0.07
HODGES,LEE,PGA Tour,T24,Zurich Classic of New Orleans,PGA Tour,T67,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T35,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.44,-0.41
HOGE,TOM,PGA Tour,T26,PGA Championship,Major,T6,THE CJ CUP Byron Nelson,PGA Tour,T71,Charles Schwab Challenge,PGA Tour,51,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.44,0.13
DE CASTRO PIERA,ALEJANDRO,Amateur,,Arizona Thunderbirds Intercollegiate,Amateur,T6,The Goodwin,Amateur,T2,The Thunderbird Collegiate,Amateur,4,2026 Big West Men's Golf Championship,Amateur,T34,NCAA Columbus Regional,Amateur,-0.45,1.4
BLAIR,ZAC,PGA Tour,T60,ONEflight Myrtle Beach Classic,PGA Tour,2,Colonial Life Charity Classic,Korn Ferry Tour,69,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T40,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,-0.45,-0.39
ELVIRA,MANUEL,DP World Tour,CUT,Volvo China Open,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T30,Soudal Open,DP World Tour,T7,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,-0.46,0.15
NYHOLM,PONTUS,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T31,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.47,0.24
VEGAS,JHONATTAN,PGA Tour,T52,Truist Championship,PGA Tour,T44,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.47,-0.13
KODAIRA,SATOSHI,Japan Golf Tour,T42,MAEZAWA CUP,Japan Golf Tour,T3,The Crowns,Japan Golf Tour,T27,Kansai Open Golf Championship,Japan Golf Tour,T17,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T4,Gate Way To The Open Mizuno Open,Japan Golf Tour,-0.47,0.99
OLIVA PINTO,SEGUNDO,Korn Ferry Tour,T4,Astara Chile Classic presented by Scotiabank,Korn Ferry Tour,CUT,Club Car Championship at The Landings Golf & Athletic Club,Korn Ferry Tour,T36,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T2,Terron Amateur 2026,Amateur,T6,St Andrews Links Trophy,Amateur,-0.47,1.22
ORTIZ,CARLOS,LIV Golf,T17,Masters Tournament,Major,CUT,Mexico City,LIV Golf,T52,Virginia,LIV Golf,T30,Korea,LIV Golf,T21,Andalucia,LIV Golf,-0.48,-0.65
FUJIMOTO,YOSHINORI,Japan Golf Tour,T11,JAPAN PLAYERS CHAMPIONSHIP CHALLENGE in FUKUI,Abema TV Tour,,Kansai Open Golf Championship,Japan Golf Tour,T7,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T34,Gate Way To The Open Mizuno Open,Japan Golf Tour,T42,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,-0.48,0.95
RAMEY,CHAD,PGA Tour,T32,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T59,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.48,-0.57
IDERIHA,TAICHIRO,Japan Golf Tour,T30,The Crowns,Japan Golf Tour,T36,Kansai Open Golf Championship,Japan Golf Tour,T10,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T11,Gate Way To The Open Mizuno Open,Japan Golf Tour,T6,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,-0.49,1.2
CHANG,PAUL,Amateur,,Calusa Cup,Amateur,T1,Lewis Chitengwa Memorial,Amateur,T20,2026 ACC Men's Golf Championship - Stroke Play,Amateur,T5,NCAA Winston-Salem Regional,Amateur,T61,NCAA DI Men's National Championship- Stroke Play,Amateur,-0.49,0.8
FIORONI,CADEN,PGA Tour Americas,CUT,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T51,Colonial Life Charity Classic,Korn Ferry Tour,T5,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T18,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T15,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.49,0.74
LEVY,ALEXANDER,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T31,Estrella Damm Catalunya Championship,DP World Tour,T24,Soudal Open,DP World Tour,T17,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T48,KLM Open,DP World Tour,-0.5,0.34
SUH,JUSTIN,Korn Ferry Tour,T36,Colonial Life Charity Classic,Korn Ferry Tour,T23,Visit Knoxville Open,Korn Ferry Tour,T38,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T14,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.5,0.51
LAWRENCE,THRISTON,DP World Tour,CUT,Volvo China Open,DP World Tour,T53,Turkish Airlines Open,DP World Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,-0.51,-0.4
BLANCHET,CHANDLER,PGA Tour,T52,Truist Championship,PGA Tour,T44,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T42,Charles Schwab Challenge,PGA Tour,T67,RBC Canadian Open,PGA Tour,-0.51,-0.64
VAN DER MERWE,GRAHAM,Sunshine Tour,T7,Mediclinic Invitational,Sunshine Tour,T16,FBC ZIM Open,Sunshine Tour,2,Kit Kat Cash & Carry Pro-Am,Sunshine Tour,T18,SunBet Challenge hosted by Sun Boardwalk,Sunshine Tour,T7,The Mopani Zambia Open,Sunshine Tour,-0.51,1.11
SPRINGER,HAYDEN,PGA Tour,T2,Zurich Classic of New Orleans,PGA Tour,T24,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.51,-0.22
LEE,SOOMIN,KPGA Korean Tour,T44,The 45th GS Caltex Maekyung Open,ASA,T6,KPGA Founders Cup,KPGA Korean Tour,T23,KPGA Gyeongbuk Open,KPGA Korean Tour,7,Kolon The 68th KOREA Open,ASA,T16,The 69th KPGA Championship with A-ONE CC,KPGA Korean Tour,-0.52,1.12
HOJGAARD,RASMUS,PGA Tour,53,Masters Tournament,Major,T24,ONEflight Myrtle Beach Classic,PGA Tour,T65,PGA Championship,Major,T62,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,-0.52,-1.15
HITT,AUSTIN,Korn Ferry Tour,T16,Colonial Life Charity Classic,Korn Ferry Tour,T23,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T21,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.52,0.2
MOLDOVAN,MAXWELL,Korn Ferry Tour,T27,Colonial Life Charity Classic,Korn Ferry Tour,T52,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T17,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T53,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.52,0.72
VANARRAGON,CALEB,Korn Ferry Tour,T13,Colonial Life Charity Classic,Korn Ferry Tour,T23,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T26,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T47,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.52,-0.28
CELIA,RICARDO,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,CUT,Visit Knoxville Open,Korn Ferry Tour,T55,UNC Health Championship,Korn Ferry Tour,T26,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T55,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.53,0.98
POTTER,LUKE,Amateur,5,Ford Collegiate,Amateur,T41,2026 SEC Men's Golf Championship Stroke Play,Amateur,,NCAA Bryan Regional,Amateur,T23,NCAA DI Men's National Championship- Stroke Play,Amateur,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.53,0.7
BIWER,JUSTIN,PGA Tour Americas,T31,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T39,Diners Club Peru Open,PGA Tour Americas,T9,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T18,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T5,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.54,0.16
DOYLE,DREW,PGA Tour Americas,T6,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T48,Diners Club Peru Open,PGA Tour Americas,T29,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T49,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.54,1.5
HIRAMOTO,SEJUNG,Japan Golf Tour,T3,The Crowns,Japan Golf Tour,T21,Kansai Open Golf Championship,Japan Golf Tour,T10,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T48,Gate Way To The Open Mizuno Open,Japan Golf Tour,T12,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,-0.54,1.31
SHEILS DONEGAN,NIALL,Amateur,T10,Valspar Collegiate Invitational,Amateur,T3,Augusta Haskins Award Invitational,Amateur,,Tar Heel Intercollegiate,Amateur,T10,2026 ACC Men's Golf Championship - Stroke Play,Amateur,T42,NCAA DI Men's National Championship- Stroke Play,Amateur,-0.55,0.72
NICHOLAS,JAMES,Korn Ferry Tour,T60,Colonial Life Charity Classic,Korn Ferry Tour,T15,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T28,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.55,0.17
ATKINS,MATT,Korn Ferry Tour,T60,Colonial Life Charity Classic,Korn Ferry Tour,T15,Visit Knoxville Open,Korn Ferry Tour,T7,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T62,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.56,0.35
SHIN,SANGHUN,KPGA Korean Tour,T19,The 45th GS Caltex Maekyung Open,ASA,3,KPGA Founders Cup,KPGA Korean Tour,T41,KPGA Gyeongbuk Open,KPGA Korean Tour,T26,Kolon The 68th KOREA Open,ASA,T7,The 69th KPGA Championship with A-ONE CC,KPGA Korean Tour,-0.57,0.08
BROWN,DAN,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T75,PGA Championship,Major,T47,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.57,-0.79
LAHIRI,ANIRBAN,LIV Golf,T46,Mexico City,LIV Golf,T44,Virginia,LIV Golf,T41,Korea,LIV Golf,10,Andalucia,LIV Golf,CUT,International Series Morocco presented by Visit Morocco,Asian Tour,-0.57,0.04
GOOSEN,RETIEF,PGA Tour Champions,T17,Senior PGA Championship,PGA Tour Champions,,Mitsubishi Electric Classic,PGA Tour Champions,19,Regions Tradition,PGA Tour Champions,T8,Insperity Invitational,PGA Tour Champions,T2,Principal Charity Classic,PGA Tour Champions,-0.58,0.75
BRAMLETT,JOSEPH,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T39,Visit Knoxville Open,Korn Ferry Tour,T48,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T40,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.58,0.05
VINCENT,KIERAN,ASA,T31,The 45th GS Caltex Maekyung Open,ASA,T9,FBC ZIM Open,Sunshine Tour,T51,Kolon The 68th KOREA Open,ASA,T10,Challenge de España,Challenge Tour,T5,International Series Morocco presented by Visit Morocco,Asian Tour,-0.59,0.35
SHIPLEY,NEAL,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T38,ONEflight Myrtle Beach Classic,PGA Tour,T40,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T51,RBC Canadian Open,PGA Tour,-0.59,-0.35
WALKER,EUAN,DP World Tour,T53,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T30,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,-0.59,0.72
VAN DER MERWE,ALTIN,Sunshine Tour,CUT,Mediclinic Invitational,Sunshine Tour,,FBC ZIM Open,Sunshine Tour,T7,Kit Kat Cash & Carry Pro-Am,Sunshine Tour,T31,SunBet Challenge hosted by Sun Boardwalk,Sunshine Tour,T31,The Mopani Zambia Open,Sunshine Tour,-0.6,1.41
TRUSLOW,AUSTEN,Asian Tour,4,International Series Japan,Asian Tour,T43,Singapore Open presented by The Business Times,Asian Tour,T49,The 45th GS Caltex Maekyung Open,ASA,T13,Kolon The 68th KOREA Open,ASA,T27,am green IGPL Bharath Classic,Asian Tour,-0.6,0.09
HALVORSEN,ANDREAS,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T31,Estrella Damm Catalunya Championship,DP World Tour,T41,Soudal Open,DP World Tour,T59,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T32,KLM Open,DP World Tour,-0.6,0
SOUTHGATE,MATTHEW,Challenge Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T21,Challenge de Catalunya,Challenge Tour,CUT,Danish Golf Challenge,Challenge Tour,,Swiss Challenge,Challenge Tour,CUT,Interwetten Open,Challenge Tour,-0.6,1.26
BARRON,HAYDN,Challenge Tour,T16,The National Tournament,PGA Tour of Australasia,T8,Danish Golf Challenge,Challenge Tour,T21,Challenge de España,Challenge Tour,T9,Swiss Challenge,Challenge Tour,WD,Interwetten Open,Challenge Tour,-0.62,0.16
ROBINSON THOMPSON,BRANDON,DP World Tour,T43,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T40,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T21,KLM Open,DP World Tour,-0.62,-0.16
SADDIER,ADRIEN,PGA Tour,T39,Texas Children's Houston Open,PGA Tour,CUT,Valero Texas Open,PGA Tour,CUT,PGA Championship,Major,T40,THE CJ CUP Byron Nelson,PGA Tour,T42,Charles Schwab Challenge,PGA Tour,-0.62,-0.55
LUNDIN,JACK,PGA Tour Americas,T51,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T33,Diners Club Peru Open,PGA Tour Americas,2,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T15,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T20,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.64,0.62
KINOSHITA,RYOSUKE,Japan Golf Tour,T20,The Crowns,Japan Golf Tour,WD,Kansai Open Golf Championship,Japan Golf Tour,T2,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T4,Gate Way To The Open Mizuno Open,Japan Golf Tour,CUT,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,-0.64,0.01
LEBIODA,HANK,PGA Tour,T6,Zurich Classic of New Orleans,PGA Tour,74,ONEflight Myrtle Beach Classic,PGA Tour,T62,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.64,-0.2
KIM,ANTHONY,LIV Golf,56,South Africa,LIV Golf,T43,Mexico City,LIV Golf,T6,Virginia,LIV Golf,T20,Korea,LIV Golf,T21,Andalucia,LIV Golf,-0.65,0.16
DING,WENYI,DP World Tour,T13,Turkish Airlines Open,DP World Tour,T59,Estrella Damm Catalunya Championship,DP World Tour,T17,Soudal Open,DP World Tour,T57,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,-0.65,-0.38
YUAN,CARL,Korn Ferry Tour,CUT,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T15,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T12,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,-0.66,0.36
VENTURA,KRIS,PGA Tour,T2,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.67,-0.76
GANDON,JEREMY,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T12,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.67,-0.05
HUMPHREY,THEO,Korn Ferry Tour,T36,Colonial Life Charity Classic,Korn Ferry Tour,T6,Visit Knoxville Open,Korn Ferry Tour,T55,UNC Health Championship,Korn Ferry Tour,T54,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T65,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.68,0.72
ELVIRA MIJARES,IGNACIO,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T25,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T11,KLM Open,DP World Tour,-0.68,0.01
TOSTI,ALEJANDRO,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T40,RBC Canadian Open,PGA Tour,-0.69,0.86
ANDERSEN,MASON,Korn Ferry Tour,CUT,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,T47,Colonial Life Charity Classic,Korn Ferry Tour,CUT,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,-0.7,0.14
BLAUM,RYAN,Korn Ferry Tour,T27,Colonial Life Charity Classic,Korn Ferry Tour,CUT,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T40,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T14,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.7,0.74
ANH MINH,NGUYEN,Amateur,,Bandon Dunes Championship,Amateur,T11,Augusta Haskins Award Invitational,Amateur,T13,The Thunderbird Collegiate,Amateur,2,West Coast Conference Men's Golf Championship,Amateur,T18,NCAA Corvallis Regional,Amateur,-0.7,0.92
NEWCOMB,PATRICK,PGA Tour Americas,T10,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T33,Diners Club Peru Open,PGA Tour Americas,CUT,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T49,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T2,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.71,0.13
KOZUMA,JINICHIRO,Japan Golf Tour,T27,Kansai Open Golf Championship,Japan Golf Tour,T15,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T14,Gate Way To The Open Mizuno Open,Japan Golf Tour,WD,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,T14,International Series Morocco presented by Visit Morocco,Asian Tour,-0.72,0.41
POULTER,LUKE,Amateur,T12,Pauma Valley Invitational presented by Heads Up,Amateur,T11,Calusa Cup,Amateur,T13,2026 SEC Men's Golf Championship Stroke Play,Amateur,,NCAA Columbus Regional,Amateur,T39,NCAA DI Men's National Championship- Stroke Play,Amateur,-0.72,0.41
PHILLIPS,CHANDLER,PGA Tour,35,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T15,RBC Canadian Open,PGA Tour,-0.72,-0.35
JAEGER,STEPHAN,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T18,PGA Championship,Major,T9,THE CJ CUP Byron Nelson,PGA Tour,WD,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.73,-0.66
TRINGALE,CAMERON,LIV Golf,T10,Mexico City,LIV Golf,T46,Virginia,LIV Golf,T34,Korea,LIV Golf,T45,Andalucia,LIV Golf,30,International Series Morocco presented by Visit Morocco,Asian Tour,-0.73,-0.33
GUILLAMOUNDEGUY,OIHAN,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T3,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T35,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,-0.73,-0.21
MALNATI,PETER,PGA Tour,T63,Valero Texas Open,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T53,ONEflight Myrtle Beach Classic,PGA Tour,T19,THE CJ CUP Byron Nelson,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.74,-0.12
ROY,KEVIN,PGA Tour,T32,Zurich Classic of New Orleans,PGA Tour,T3,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T74,Charles Schwab Challenge,PGA Tour,T71,RBC Canadian Open,PGA Tour,-0.75,-0.81
WU,ASHUN,DP World Tour,65,Hainan Classic presented by MAEXTRO,DP World Tour,T8,Volvo China Open,DP World Tour,T29,Turkish Airlines Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T48,KLM Open,DP World Tour,-0.75,0.12
FISCHER,TOM,Amateur,2,Mason Rudolph Championship,Amateur,T1,Mossy Oak Collegiate,Amateur,T17,2026 SEC Men's Golf Championship Stroke Play,Amateur,T5,NCAA Winston-Salem Regional,Amateur,T119,NCAA DI Men's National Championship- Stroke Play,Amateur,-0.75,0.41
BROWN,HAMISH,Challenge Tour,T16,Italian Challenge Open,Challenge Tour,2,Challenge de Catalunya,Challenge Tour,T66,Danish Golf Challenge,Challenge Tour,T2,Swiss Challenge,Challenge Tour,T13,Interwetten Open,Challenge Tour,-0.75,0.4
ZHOU,YANHAN,DP World Tour,75,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T41,Soudal Open,DP World Tour,T12,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,9,KLM Open,DP World Tour,-0.75,-0.37
HOSHINO,RIKUYA,DP World Tour,T73,Turkish Airlines Open,DP World Tour,T43,Estrella Damm Catalunya Championship,DP World Tour,T53,Soudal Open,DP World Tour,T26,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T58,KLM Open,DP World Tour,-0.76,0.22
GOODMAN,DREW,PGA Tour Americas,9,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,CUT,Diners Club Peru Open,PGA Tour Americas,T9,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T32,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T20,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.76,0.61
SODERBERG,SEBASTIAN,DP World Tour,CUT,Volvo China Open,DP World Tour,60,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T3,KLM Open,DP World Tour,-0.76,0.23
HIDALGO PORTILLO,ANGEL,DP World Tour,52,Turkish Airlines Open,DP World Tour,T64,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T21,KLM Open,DP World Tour,-0.77,0.61
SURRATT,CALEB,LIV Golf,T9,Singapore Open presented by The Business Times,Asian Tour,T12,Virginia,LIV Golf,T70,Soudal Open,DP World Tour,T45,Korea,LIV Golf,49,Andalucia,LIV Golf,-0.77,-0.52
CANNON,WILL,Korn Ferry Tour,T40,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,T29,Visit Knoxville Open,Korn Ferry Tour,T66,UNC Health Championship,Korn Ferry Tour,T33,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.78,0.15
CHOI,SAM,Korn Ferry Tour,T36,Colonial Life Charity Classic,Korn Ferry Tour,CUT,Visit Knoxville Open,Korn Ferry Tour,T19,UNC Health Championship,Korn Ferry Tour,T60,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T47,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.79,0.72
SMYLIE,ELVIS,LIV Golf,T46,Virginia,LIV Golf,T75,PGA Championship,Major,T45,Korea,LIV Golf,41,Andalucia,LIV Golf,T5,International Series Morocco presented by Visit Morocco,Asian Tour,-0.8,-0.71
YOUPRAYONG,RUNCHANAPONG,Asian Tour,T22,Taiwan Glass Taifong Open,ASA,T3,Singha Laguna Phuket Open,undefined,3,am green IGPL Morocco Rising Stars,undefined,T6,am green IGPL Bharath Classic,Asian Tour,CUT,International Series Morocco presented by Visit Morocco,Asian Tour,-0.8,0.77
SLOAN,ROGER,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T58,Visit Knoxville Open,Korn Ferry Tour,T25,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,RBC Canadian Open,PGA Tour,-0.8,-0.04
WU,DYLAN,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T45,RBC Canadian Open,PGA Tour,-0.8,-0.41
