Last Name,First Name,Events,Rounds,Wins,WIN%,SG-PUTT,SG-ARG,SG-APP,SG-OTT,SG-OTT,SG-TOTAL,Driving-Distance,Driving-Accuracy
COLEMAN,HAMILTON,9,24,0,0%,,,,,,-3.44,-16.8,-3.90%
WU,BRANDON,27,79,0,0%,-0.27,-0.13,-0.61,-1.13,-1.88,-1.7,-11.7,-5.90%
PEACOCK,JAKE,20,58,0,0%,,,,,,-1.75,-5,-1.30%
HERRINGTON,JACKSON,18,53,0,0%,-0.24,-1.81,0.93,-0.68,-1.56,-2.49,12.9,-16.50%
OIWA,RYUICHI,25,79,1,4%,,,,,,-1.9,,
ONISHI,KAITO,29,78,0,0%,0.41,-0.35,-0.58,-1.36,-2.29,-2.07,-2.9,-5.60%
FANG,ETHAN,21,61,0,0%,-1.11,0.59,-1.45,-0.12,-0.97,-1.65,-7.2,2.50%
PULCINI,MATEO,18,57,0,0%,-2.15,-1.53,-0.59,-1.03,-3.15,-2.52,-4.4,-20.10%
HOWELL,MASON,13,32,0,0%,-0.65,-0.92,-1.17,0.55,-1.53,-1.64,10.5,0.30%
STOUT,PRESTON,19,59,0,0%,-1.04,-1.32,-0.86,0.81,-1.38,0.11,10.7,4.10%
HIGGINS,ROBBIE,18,50,0,0%,,,,,,-2.47,7.3,-11.10%
HOLMES,J.B.,1,2,0,0%,-1.61,0.16,-1.2,-0.27,-1.31,-2.92,10,-4.90%
SHAH,MANAV,17,56,0,0%,,,,,,-3.21,,
LEE,BRYAN,16,47,0,0%,1,-0.67,-1.08,-2.64,-4.39,-2.6,-40.3,-8.50%
TIBBITS,SPENCER,1,4,0,0%,,,,,,-4.88,,
HOLTZ,BRANDON,4,9,0,0%,-1.65,-1.88,-1.15,-0.63,-3.66,-4.29,-10.7,1.40%
ORMOND,JACKSON,12,35,0,0%,,,,,,-3.52,6.7,-8.40%
COWAN,RYDER,18,55,-,,,,,,,-1.24,,
LEE,ERIC,17,52,-,,,,,,,-1.48,,
ARNI SVEINSSON,GUNNLAUGUR,13,37,-,,,,,,,-1.85,,
REILLY,LOGAN,18,53,-,,,,,,,-2.18,,
PUEBLA,GIUSEPPE,9,29,-,,,,,,,-2.66,,
KYES,CHASE,18,52,-,,,,,,,-2.89,,
ROBLES,MATT,16,49,-,,,,,,,-3.12,,
FLEMING,MAREK,15,45,-,,,,,,,-3.4,,
HARBER,VAUGHN,13,40,-,,,,,,,-3.53,,
SCHOENBERGER,JACK,16,47,-,,,,,,,-3.7,,
KIM,T.K.,0,0,-,,,,,,,—,,
