player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Campos, Rafael",150,-1.390,0.000,38,-0.025,0.012,0.036,0.036,0.001,-0.010,-0.114,0.015,-0.108,-1.438,2.774,"Wyndham Championship","Sedgefield Country Club"
"Walker, Danny",150,-1.273,0.000,30,0.008,0.046,-0.086,0.109,-0.033,-0.043,-0.182,-0.000,-0.225,-1.453,2.866,"Wyndham Championship","Sedgefield Country Club"
"Tosti, Alejandro",150,-1.364,0.000,30,0.011,0.037,-0.091,0.222,-0.040,-0.092,-0.149,0.002,-0.240,-1.465,2.898,"Wyndham Championship","Sedgefield Country Club"
"Kizzire, Patton",150,-1.361,0.000,40,-0.034,-0.013,-0.180,0.014,0.183,0.082,-0.141,-0.018,-0.076,-1.466,2.758,"Wyndham Championship","Sedgefield Country Club"
"McGirt, William",150,-1.972,0.000,47,-0.063,0.037,-0.381,-0.037,0.106,0.239,0.126,-0.009,0.356,-1.955,2.752,"Wyndham Championship","Sedgefield Country Club"
"Lamprecht, Christo",150,-1.535,0.000,25,0.031,0.003,-0.178,0.010,-0.044,-0.154,-0.277,-0.037,-0.468,-2.181,2.914,"Wyndham Championship","Sedgefield Country Club"
"Huskey, Keenan",150,-2.137,0.000,30,0.011,-0.030,-0.145,-0.036,-0.044,-0.049,-0.212,0.014,-0.248,-2.629,2.983,"Wyndham Championship","Sedgefield Country Club"
"Collet, Tyler",62,-2.439,0.000,30,0.014,0.023,-0.073,-0.224,-0.044,0.156,-0.109,-0.022,0.026,-2.718,2.868,"Wyndham Championship","Sedgefield Country Club"
"Rodriguez, Lorenzo",53,-3.520,0.000,-1,0.000,0.000,-0.142,-0.011,-0.044,0.105,-0.087,-0.020,-0.001,-3.718,3.189,"Wyndham Championship","Sedgefield Country Club"
"Hrabak, Cooper",89,-4.824,0.000,24,0.047,0.054,0.402,-0.000,-0.044,0.057,-0.169,-0.021,-0.132,-4.498,3.290,"Wyndham Championship","Sedgefield Country Club"
