player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Riley, Davis",19872,pga,pga,pga-john deere classic-T65_pga-genesis scottish open-69_pga-corales puntacana championship-T42_pga-3m open-CUT_pga-rocket classic-3,-0.25,0.81
"Lipsky, David",15980,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T21_pga-isco championship-T49_pga-3m open-CUT_pga-rocket classic-T31,-0.3,-0.19
"Saddier, Adrien",14792,pga,pga,major-u.s. open-CUT_euro-ds automobiles 83° open d’italia-CUT_pga-genesis scottish open-T61_major-the open championship-CUT_pga-rocket classic-T45,-0.32,-0.04
"Dumont De Chassart, Adrien",22002,pga,pga,major-u.s. open-T53_pga-john deere classic-T51_pga-isco championship-T39_pga-3m open-CUT_pga-rocket classic-CUT,-0.35,-0.48
"Coody, Pierceson",28309,pga,pga,pga-john deere classic-T39_pga-genesis scottish open-CUT_major-the open championship-T28_pga-3m open-CUT_pga-rocket classic-CUT,-0.36,-0.67
"Wise, Aaron",22051,pga,pga,pga-john deere classic-T39_pga-isco championship-T3_pga-corales puntacana championship-T15_pga-3m open-CUT_pga-rocket classic-CUT,-0.37,0.48
"Day, Jason",9771,pga,pga,pga-truist championship-68_major-pga championship-T65_pga-the memorial tournament presented by workday-CUT_pga-travelers championship-T55_major-the open championship-CUT,-0.37,-0.96
"Finau, Tony",11676,pga,pga,pga-rbc canadian open-T40_pga-travelers championship-T55_pga-john deere classic-T58_pga-3m open-CUT_pga-rocket classic-T71,-0.41,-0.37
"Putnam, Andrew",14704,pga,pga,major-u.s. open-T65_pga-john deere classic-T51_pga-genesis scottish open-T52_pga-3m open-CUT_pga-rocket classic-CUT,-0.41,-0.51
"List, Luke",7960,pga,pga,kft-unc health championship-T38_pga-john deere classic-CUT_pga-isco championship-T49_pga-corales puntacana championship-T15_pga-3m open-CUT,-0.41,1.01
"Stevens, Sam",25569,pga,pga,pga-travelers championship-T62_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-3m open-T60_pga-rocket classic-CUT,-0.42,-0.65
"Jaeger, Stephan",16394,pga,pga,pga-john deere classic-T15_pga-isco championship-T15_pga-corales puntacana championship-CUT_pga-3m open-CUT_pga-rocket classic-T26,-0.42,-0.56
"Pendrith, Taylor",17780,pga,pga,pga-john deere classic-CUT_pga-isco championship-2_pga-corales puntacana championship-CUT_pga-3m open-CUT_pga-rocket classic-CUT,-0.42,-0.55
"Highsmith, Joe",28469,pga,pga,pga-john deere classic-CUT_pga-genesis scottish open-CUT_pga-corales puntacana championship-T6_pga-3m open-CUT_pga-rocket classic-T42,-0.44,0.84
"Snedeker, Brandt",8820,pga,pga,pga-travelers championship-T38_pga-genesis scottish open-CUT_pga-corales puntacana championship-T48_pga-3m open-CUT_pga-rocket classic-T31,-0.45,-0.37
"Schmid, Matti",20722,pga,pga,major-u.s. open-CUT_euro-bmw international open-T23_pga-genesis scottish open-T21_pga-3m open-T44_pga-rocket classic-CUT,-0.48,-0.52
"Hoey, Rico",23504,pga,pga,pga-john deere classic-CUT_pga-isco championship-T49_pga-corales puntacana championship-T67_pga-3m open-T62_pga-rocket classic-T15,-0.49,-0.69
"Spieth, Jordan",14636,pga,pga,major-u.s. open-T56_pga-travelers championship-T66_pga-john deere classic-T58_major-the open championship-CUT_pga-rocket classic-T31,-0.54,-1.14
"Akina, Kihei",32652,am,pga,am-ncaa athens regional-T14_am-ncaa di men's national championship stroke play-T8_am-the amateur championship-T5_am-northeast amateur invitational-T19_kft-the blue championship-CUT,-0.54,0.31
"Streelman, Kevin",8480,pga,pga,pga-charles schwab challenge-T42_pga-john deere classic-CUT_pga-isco championship-T39_pga-3m open-T24_pga-rocket classic-CUT,-0.57,0.17
"Pavon, Matthieu",19960,pga,pga,pga-rbc canadian open-T20_pga-john deere classic-CUT_pga-genesis scottish open-CUT_pga-3m open-CUT_pga-rocket classic-CUT,-0.59,-0.17
"Garnett, Brice",11451,pga,pga,pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-CUT_pga-rocket classic-CUT,-0.59,0.18
"Eckroat, Austin",26653,pga,pga,pga-john deere classic-T58_pga-genesis scottish open-T30_pga-corales puntacana championship-CUT_pga-3m open-T57_pga-rocket classic-T38,-0.6,-0.54
"Skinns, David",10873,pga,pga,pga-rbc canadian open-T20_pga-john deere classic-T33_pga-isco championship-CUT_pga-corales puntacana championship-T30_pga-3m open-CUT,-0.68,-0.06
"Simpson, Webb",11049,pga,pga,pga-valero texas open-WD_pga-truist championship-T48_pga-charles schwab challenge-CUT_pga-john deere classic-CUT_pga-rocket classic-CUT,-0.71,-0.39
"Hubbard, Mark",16333,pga,pga,pga-travelers championship-70_pga-john deere classic-T46_pga-genesis scottish open-CUT_pga-3m open-T34_pga-rocket classic-T61,-0.71,-0.4
"Novak, Andrew",23475,pga,pga,pga-travelers championship-T30_pga-john deere classic-CUT_pga-genesis scottish open-T61_major-the open championship-CUT_pga-rocket classic-CUT,-0.72,-0.78
"Straka, Sepp",17511,pga,pga,pga-the memorial tournament presented by workday-T40_major-u.s. open-CUT_pga-travelers championship-72_pga-genesis scottish open-CUT_major-the open championship-T67,-0.72,-1.11
"Stanger, Jimmy",23048,pga,pga,pga-john deere classic-CUT_pga-isco championship-WD_pga-corales puntacana championship-CUT_pga-3m open-T51_pga-rocket classic-CUT,-0.74,-0.04
"Vilips, Karl",24304,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T39_pga-genesis scottish open-T30_pga-3m open-CUT_pga-rocket classic-T65,-0.75,-0.55
"Lebioda, Hank",21943,pga,pga,pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-T69_pga-3m open-T24_pga-rocket classic-T42,-0.78,-0.24
"Blanchet, Chandler",24956,pga,pga,pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-T24_pga-rocket classic-T20,-0.79,-0.62
"Lower, Justin",17723,pga,pga,pga-john deere classic-CUT_pga-isco championship-T59_pga-corales puntacana championship-T42_pga-3m open-CUT_pga-rocket classic-T38,-0.86,-0.01
