POS,First Name,Last Name,Score,SG-APP,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T62,Sam,Stevens,-4,-2,0.52,283.4,73.20%,-1.37,70.80%,"28' 4""","53' 5""",-0.17,-0.45,41.90%,3,3.25,-1.48,-1.3,-0.85
T62,Ben,James,-4,3,-0.01,279.8,78.60%,-1.29,66.70%,"26' 9""","97' 0""",0.17,-0.35,57.60%,2.25,6,-1.48,-1.65,-1.3
65,Adam,Scott,-3,1,-0.39,285.6,64.30%,0.53,80.60%,"27' 1""","48' 11""",-1.25,-0.62,60.00%,3,4.75,-1.73,-0.48,0.14
T66,Ryan,Fox,E,-3,-1.58,286.6,58.90%,-0.31,63.90%,"26' 8""","42' 6""",0.26,-0.85,54.30%,3,5,-2.48,-2.74,-1.89
T66,Jordan,Spieth,E,-3,-1.17,284.7,55.40%,-0.35,68.10%,"25' 11""","48' 7""",-0.93,-0.03,62.10%,2,3,-2.48,-1.55,-1.52
T66,Lucas,Glover,E,-2,0.34,283.4,82.10%,-0.41,75.00%,"29' 5""","38' 3""",-1.48,-0.94,50.00%,2.75,4,-2.48,-1,-0.07
69,J.T.,Poston,1,6,-0.22,282,64.30%,-0.58,70.80%,"27' 2""","63' 6""",-0.4,-1.53,53.10%,2.75,4,-2.73,-2.33,-0.8
70,Mark,Hubbard,2,E,-0.51,281.7,58.90%,-0.3,72.20%,"29' 8""","53' 7""",-2.57,0.4,40.00%,3,3.5,-2.98,-0.41,-0.81
71,Gary,Woodland,5,2,-0.25,291.3,67.90%,-0.44,69.40%,"26' 4""","62' 11""",-2.31,-0.73,51.70%,1,4.75,-3.73,-1.43,-0.69
72,Sepp,Straka,10,2,-0.42,278,64.30%,-2.05,62.50%,"31' 2""","67' 8""",-1.41,-1.1,45.70%,2,5,-4.98,-3.57,-2.47
