Last Name,First Name,Fairway 50-100 (shots),Fairway 50-100 (value),Fairway 100-150 (shots),Fairway 100-150 (value),Fairway 150-200 (shots),Fairway 150-200 (value),Fairway over 200 (shots),Fairway over 200 (value),Rough-Under 150 (shots),Rough-Under 150 (value),Rough-Over 150 (shots),Rough-Over 150 (value)
GAINEY,TOMMY,14,0.064,—,—,—,—,—,—,19,-0.188,—,—
FRITTELLI,DYLAN,—,—,—,—,—,—,—,—,12,0.146,—,—
MANASSERO,MATTEO,—,—,—,—,61,-0.027,—,—,17,0.083,21,-0.115
BREHM,RYAN,22,-0.183,—,—,—,—,—,—,27,0.077,20,-0.027
WATNEY,NICK,—,—,—,—,—,—,—,—,15,-0.11,—,—
VERMEER,RYAN,—,—,—,—,—,—,—,—,13,0.037,—,—
WALKER,JIMMY,—,—,—,—,—,—,—,—,12,-0.037,—,—
MCNEILL,GEORGE,—,—,—,—,—,—,—,—,15,-0.004,—,—
BADDELEY,AARON,15,-0.06,—,—,53,-0.092,30,-0.088,22,-0.009,25,-0.087
DONALD,LUKE,14,-0.039,—,—,—,—,—,—,13,0.224,19,-0.095
SODERBERG,SEBASTIAN,—,—,—,—,54,0.033,—,—,—,—,—,—
CATLIN,JOHN,—,—,—,—,—,—,—,—,19,0.058,—,—
SCHNIEDERJANS,OLLIE,—,—,—,—,—,—,—,—,25,-0.107,—,—
HOSHINO,RIKUYA,12,-0.101,—,—,—,—,28,0.011,14,0.039,—,—
ANDERSON,MATTHEW,—,—,—,—,—,—,—,—,15,0.048,—,—
ELVIRA,MANUEL,—,—,—,—,—,—,—,—,11,-0.045,—,—
PURCELL,CONOR,11,-0.084,—,—,—,—,—,—,—,—,—,—
OLESEN,JACOB SKOV,—,—,—,—,—,—,—,—,14,0.073,—,—
JORDAN,MATTHEW,—,—,—,—,—,—,—,—,17,0.093,—,—
STALLINGS JR.,STEPHEN,11,0.068,—,—,—,—,—,—,14,-0.02,—,—
RADCLIFF,JOSH,—,—,—,—,—,—,—,—,14,0.049,—,—
XIONG,NORMAN,—,—,—,—,—,—,—,—,19,0.051,—,—
HIDALGO PORTILLO,ANGEL,—,—,—,—,—,—,28,-0.061,12,-0.001,—,—
MATTHEWS,BRANDON,—,—,—,—,—,—,—,—,17,-0.091,—,—
WHITE,BRETT,—,—,—,—,—,—,—,—,11,0.157,—,—
DEL REY,ALEJANDRO,—,—,—,—,—,—,—,—,12,0.085,—,—
BROWN,HAMISH,13,0.059,—,—,—,—,—,—,12,0.095,—,—
HILLIER,DANIEL,—,—,—,—,—,—,—,—,17,0.142,—,—
COUSSAUD,UGO,—,—,—,—,—,—,—,—,11,0.152,19,0.147
TARREN,CALLUM,—,—,—,—,—,—,—,—,16,0.189,—,—
LINDBERG,MIKAEL,—,—,—,—,—,—,—,—,19,-0.077,—,—
ROTTLUFF,MAX,—,—,—,—,—,—,—,—,27,0.057,—,—
CANTERO GUTIERREZ,IVAN,—,—,—,—,—,—,—,—,20,-0.034,—,—
NAIDOO,DYLAN,—,—,—,—,—,—,—,—,12,-0.142,—,—
ZALATORIS,WILL,—,—,—,—,52,0.006,—,—,15,0.107,20,0.085
HERRINGTON,JACKSON,—,—,—,—,—,—,—,—,16,-0.01,—,—
