time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,green hit rate,"Berger, Daniel",80,0.923,233,0.845,391,0.702,207,0.51,96,0.613,135,0.439
l12_months,green hit rate,"Rai, Aaron",59,0.716,262,0.844,389,0.749,197,0.498,58,0.657,73,0.313
l12_months,green hit rate,"Burmester, Dean",69,0.892,172,0.843,202,0.657,104,0.424,106,0.558,76,0.372
l12_months,green hit rate,"Bridgeman, Jacob",106,0.874,370,0.843,523,0.718,278,0.402,140,0.528,172,0.353
l12_months,green hit rate,"NeSmith, Matt",null,null,41,0.842,50,0.653,null,null,20,0.476,null,null
l12_months,green hit rate,"Casey, Paul",46,0.874,152,0.842,189,0.756,100,0.518,66,0.48,58,0.428
l12_months,green hit rate,"Skinns, David",44,0.83,195,0.842,250,0.716,110,0.425,76,0.524,61,0.381
l12_months,green hit rate,"Pak, John",23,0.791,75,0.842,76,0.664,36,0.537,26,0.457,null,null
l12_months,green hit rate,"Dou, Zecheng",53,0.855,154,0.842,226,0.734,109,0.55,106,0.502,102,0.369
l12_months,green hit rate,"Bramlett, Joseph",15,0.776,53,0.841,73,0.734,null,null,29,0.575,null,null
l12_months,green hit rate,"Waring, Paul",23,0.79,58,0.839,85,0.601,39,0.355,28,0.659,37,0.403
l12_months,green hit rate,"Bauchou, Zach",64,0.845,176,0.839,291,0.692,138,0.457,112,0.537,109,0.39
l12_months,green hit rate,"Ghim, Doug",90,0.87,252,0.839,347,0.673,142,0.476,111,0.518,79,0.22
l12_months,green hit rate,"Kozuma, Jinichiro",21,0.831,40,0.838,null,null,null,null,15,0.512,null,null
l12_months,green hit rate,"Cauley, Bud",100,0.866,296,0.837,452,0.738,218,0.466,117,0.507,166,0.318
l12_months,green hit rate,"Redman, Doc",13,0.886,47,0.836,63,0.758,null,null,19,0.622,null,null
l12_months,green hit rate,"Mickelson, Phil",15,0.819,51,0.836,56,0.583,32,0.545,25,0.36,24,0.259
l12_months,green hit rate,"Bradley, Keegan",89,0.809,302,0.835,447,0.673,237,0.524,153,0.574,126,0.35
l12_months,green hit rate,"Aberg, Ludvig",77,0.907,287,0.834,392,0.685,192,0.495,127,0.62,114,0.368
l12_months,green hit rate,"Fitzpatrick, Alex",44,0.849,111,0.833,190,0.695,101,0.474,50,0.617,50,0.394
l12_months,green hit rate,"Smalley, Alex",96,0.864,329,0.833,445,0.691,195,0.503,131,0.644,147,0.384
l12_months,green hit rate,"Gerard, Ryan",75,0.791,337,0.833,485,0.673,217,0.472,117,0.569,152,0.367
l12_months,green hit rate,"Henley, Russell",86,0.874,291,0.832,452,0.726,214,0.463,88,0.621,93,0.271
l12_months,green hit rate,"Scott, Adam",69,0.903,245,0.832,356,0.736,181,0.506,96,0.548,136,0.339
l12_months,green hit rate,"Uihlein, Peter",65,0.826,175,0.832,215,0.602,111,0.422,163,0.525,128,0.438
l12_months,green hit rate,"Yu, Kevin",93,0.85,241,0.832,333,0.726,152,0.483,119,0.51,91,0.316
l12_months,green hit rate,"Watson, Bubba",56,0.844,191,0.832,242,0.641,122,0.436,95,0.541,59,0.308
