Last Name,First Name,SHORT GAME,APPROACH,Driving-Distance,Driving-Accuracy,Total SG Adjustment,putting-2-5ft,putting-5-30ft,putting-30+,aroundgreen-Fairway,aroundgreen-Rought,aroundgreen-Bunker,approach-50-100,approach-100-150,approach-150-200,approach-200+
SPRINGER,HAYDEN,0.00,-0.01,-0.05,-0.07,-0.13,7.2,11.4,4.1,2.9,2.3,1.2,1.8,5.2,7,3.8
COODY,PIERCESON,0.00,0.01,-0.12,-0.02,-0.13,7.2,11.6,4,2.6,2.2,1,1.9,5.2,6.9,3.7
RILEY,DAVIS,0.00,-0.01,-0.01,-0.11,-0.13,7.2,11.3,4.1,2.9,2.2,1.2,1.7,5.2,7.1,3.8
SCHMID,MATTI,0.00,0,-0.07,-0.06,-0.14,7.2,11.5,4,2.7,2.2,1.1,1.8,5.2,7,3.7
FINAU,TONY,0.00,0,-0.09,-0.06,-0.14,7,11.3,3.9,2.7,2.2,1.1,1.9,5.2,6.9,3.7
JAEGER,STEPHAN,0.00,0,-0.05,-0.09,-0.15,6.9,11.2,3.9,2.7,2.1,1.1,1.8,5.2,7,3.7
GREYSERMAN,MAX,0.00,0,-0.09,-0.06,-0.15,7.1,11.4,3.9,2.7,2.2,1.1,1.9,5.2,6.9,3.7
DUMONT DE CHASSART,ADRIEN,0.00,0,-0.05,-0.09,-0.15,7,11.2,4,2.8,2.2,1.1,1.8,5.2,7,3.7
WALKER,DANNY,0.00,-0.01,-0.05,-0.09,-0.15,7.1,11.4,4.1,2.9,2.3,1.2,1.8,5.2,7,3.7
KNAPP,JAKE,0.00,0.01,-0.12,-0.04,-0.16,7.2,11.5,3.9,2.6,2.1,1,1.9,5.2,6.9,3.7
BREHM,RYAN,0.00,-0.02,-0.05,-0.09,-0.16,7.2,11.6,4.3,3,2.4,1.2,1.8,5.2,7,3.7
TOSTI,ALEJANDRO,0.00,-0.01,-0.09,-0.06,-0.16,7,11.4,4,2.8,2.3,1.2,1.9,5.2,6.9,3.7
BRENNAN,MICHAEL,0.00,0.01,-0.17,-0.01,-0.17,7.1,11.7,3.9,2.6,2.2,1,2,5.2,6.8,3.7
SVENSSON,JESPER,0.00,-0.01,-0.14,-0.03,-0.18,7.1,11.5,4,2.7,2.3,1.1,1.9,5.2,6.8,3.7
CHAMP,CAMERON,0.00,-0.02,-0.15,-0.05,-0.22,7.3,11.6,4.2,2.9,2.5,1.2,2,5.2,6.8,3.7
NYHOLM,PONTUS,0.00,-0.01,-0.11,-0.11,-0.23,7.1,11.4,4,2.8,2.3,1.2,1.9,5.2,6.9,3.7
HOJGAARD,RASMUS,0.00,0,-0.15,-0.09,-0.24,7.2,11.5,4,2.7,2.2,1.1,2,5.2,6.8,3.7
SARGENT,GORDON,0.00,-0.03,-0.16,-0.1,-0.28,7.1,11.3,4.1,3,2.5,1.2,2,5.2,6.8,3.7
WOOD,GRIFFIN,0.00,-0.03,-0.08,-0.19,-0.3,7.1,11.3,4.3,3.1,2.4,1.3,1.9,5.2,6.9,3.7
LAMPRECHT,CHRISTO,0.00,-0.03,-0.15,-0.13,-0.31,7.1,11.3,4.1,3.1,2.5,1.3,2,5.2,6.8,3.6
POTGIETER,ALDRICH,0.00,0,-0.22,-0.09,-0.31,7.2,11.6,4,2.7,2.2,1.1,2.2,5.2,6.7,3.6
