player_name,2021 (3M Open),2022 (3M Open),2023 (3M Open),2024 (3M Open),2025 (3M Open),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Villegas, Camilo",T51,T58,null,null,T53,12,-0.262,0.37,0.016,0.03
"Homa, Max",null,null,null,null,T39,11,0.786,0.545,0.022,0.024
"Yu, Kevin",null,null,T37,T73,CUT,10,-0.661,-0.889,-0.033,0.018
"Martin, Ben",CUT,CUT,CUT,null,CUT,10,-1.674,-1.369,-0.051,0.018
"Griffin, Lanto",CUT,null,CUT,T44,CUT,10,-0.911,-0.73,-0.027,0.018
"Smotherman, Austin",null,T24,CUT,T53,null,10,-0.87,-0.475,-0.018,0.018
"Lipsky, David",null,null,T43,CUT,T3,10,0.799,0.993,0.037,0.018
"Hubbard, Mark",T16,null,CUT,null,T61,10,0.167,-0.184,-0.007,0.018
"Jaeger, Stephan",null,CUT,T30,null,null,10,-0.554,-0.814,-0.03,0.018
"Kohles, Ben",null,CUT,null,T24,T20,10,0.726,0.827,0.031,0.018
"Glover, Lucas",null,CUT,CUT,null,null,10,-0.515,-1.011,-0.037,0.018
"Silverman, Ben",null,null,null,T53,T61,10,-1.215,-1.191,-0.044,0.018
"Gordon, Will",CUT,null,CUT,CUT,CUT,10,-3.447,-2.913,-0.108,0.018
