Last Name,First Name,main-tour-inner,main-tour-hover,L5 Tournament-Type 1,L5 Tournament-Type 1,L5 Place-Type 1,L5 Tournament-Type 2,L5 Tournament-Type 2,L5 Place-Type 2,L5 Tournament-Type 3,L5 Tournament-Type 3,L5 Place-Type 3,L5 Tournament-Type 4,L5 Tournament-Type 4,L5 Place-Type 4,L5 Tournament-Type 5,L5 Tournament-Type 5,L5 Place-Type 5,SG-PUTT,SG-ARG
LINDELL,OLIVER,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,2,Soudal Open,DP World Tour,T10,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T30,KLM Open,DP World Tour,T6,DS Automobiles 83° Open d’Italia,DP World Tour,T47,0.93,0.31
HOJGAARD,NICOLAI,PGA,PGA Tour,PGA Championship,Major,T44,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T14,0.91,-0.18
SMALLEY,ALEX,PGA,PGA Tour,PGA Championship,Major,T2,Charles Schwab Challenge,PGA Tour,T3,the Memorial Tournament presented by Workday,PGA Tour,CUT,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T47,0.91,0.28
SNEDEKER,BRANDT,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,1,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T28,the Memorial Tournament presented by Workday,PGA Tour,T36,Travelers Championship,PGA Tour,T38,0.86,0.85
HOWELL III,CHARLES,LIV,LIV Golf,South Africa,LIV Golf,T8,Mexico City,LIV Golf,T9,Virginia,LIV Golf,T20,Korea,LIV Golf,T19,Andalucia,LIV Golf,T14,0.85,0.48
EICHHORN,HUNTER,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,5,UNC Health Championship,Korn Ferry Tour,2,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T48,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T7,Memorial Health Championship presented by LRS,Korn Ferry Tour,T17,0.85,0.82
GHIM,DOUG,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T28,ONEflight Myrtle Beach Classic,PGA Tour,T6,THE CJ CUP Byron Nelson,PGA Tour,T19,Charles Schwab Challenge,PGA Tour,T15,RBC Canadian Open,PGA Tour,T31,0.82,0.44
WALLACE,MATT,PGA,PGA Tour,Cadillac Championship,PGA Tour,CUT,Truist Championship,PGA Tour,T23,PGA Championship,Major,T37,RBC Canadian Open,PGA Tour,2,DS Automobiles 83° Open d’Italia,DP World Tour,T44,0.81,0.37
PEREZ,VICTOR,LIV,LIV Golf,Mexico City,LIV Golf,T23,Virginia,LIV Golf,T17,Soudal Open,DP World Tour,T2,Korea,LIV Golf,T16,Andalucia,LIV Golf,11,0.81,0.66
LEISHMAN,MARC,LIV,LIV Golf,South Africa,LIV Golf,T8,Mexico City,LIV Golf,T31,Virginia,LIV Golf,T10,Korea,LIV Golf,T11,Andalucia,LIV Golf,T14,0.8,0.51
KIM,MICHAEL,PGA,PGA Tour,PGA Championship,Major,T43,Charles Schwab Challenge,PGA Tour,T44,the Memorial Tournament presented by Workday,PGA Tour,T17,U.S. Open,Major,T30,Travelers Championship,PGA Tour,T49,0.79,0.24
BEZUIDENHOUT,CHRISTIAAN,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,T32,PGA Championship,Major,T6,THE CJ CUP Byron Nelson,PGA Tour,T35,Charles Schwab Challenge,PGA Tour,T54,RBC Canadian Open,PGA Tour,CUT,0.79,0.09
DECHAMBEAU,BRYSON,LIV,LIV Golf,Virginia,LIV Golf,T11,PGA Championship,Major,3,Korea,LIV Golf,CUT,Andalucia,LIV Golf,CUT,U.S. Open,Major,3,0.78,-0.36
KOHLES,BEN,PGA,PGA Tour,Charles Schwab Challenge,PGA Tour,T23,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,RBC Canadian Open,PGA Tour,1,U.S. Open,Major,T19,Memorial Health Championship presented by LRS,Korn Ferry Tour,T29,0.78,0.75
NOVAK,ANDREW,PGA,PGA Tour,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T26,the Memorial Tournament presented by Workday,PGA Tour,T54,U.S. Open,Major,T30,Travelers Championship,PGA Tour,CUT,0.76,0.46
SMITH,CAMERON,LIV,LIV Golf,Virginia,LIV Golf,T5,PGA Championship,Major,T26,Korea,LIV Golf,T7,Andalucia,LIV Golf,CUT,U.S. Open,Major,T16,0.76,0.55
PUIG,DAVID,LIV,LIV Golf,PGA Championship,Major,CUT,Korea,LIV Golf,T18,Andalucia,LIV Golf,T16,U.S. Open,Major,T48,DS Automobiles 83° Open d’Italia,DP World Tour,T5,0.75,0
THEEGALA,SAHITH,PGA,PGA Tour,Charles Schwab Challenge,PGA Tour,T60,the Memorial Tournament presented by Workday,PGA Tour,T32,RBC Canadian Open,PGA Tour,T45,U.S. Open,Major,T11,Travelers Championship,PGA Tour,T51,0.75,0.14
SCOTT,ADAM,PGA,PGA Tour,Truist Championship,PGA Tour,T24,PGA Championship,Major,CUT,the Memorial Tournament presented by Workday,PGA Tour,T12,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,65,0.74,-0.19
WOODLAND,GARY,PGA,PGA Tour,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T6,the Memorial Tournament presented by Workday,PGA Tour,T36,U.S. Open,Major,T7,Travelers Championship,PGA Tour,71,0.74,0.1
HILL,CALUM,DPT,DP World Tour,Hero Indian Open,DP World Tour,T19,Soudal Open,DP World Tour,T6,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T59,KLM Open,DP World Tour,T14,DS Automobiles 83° Open d’Italia,DP World Tour,T17,0.72,0.75
NOREN,ALEX,PGA,PGA Tour,PGA Championship,Major,T26,the Memorial Tournament presented by Workday,PGA Tour,9,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T55,0.71,-0.5
FINAU,TONY,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,T40,Charles Schwab Challenge,PGA Tour,T6,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T55,Travelers Championship,PGA Tour,T29,0.7,0.69
KNAPP,JAKE,PGA,PGA Tour,Texas Children's Houston Open,PGA Tour,T6,Masters Tournament,Major,11,RBC Heritage,PGA Tour,T74,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T55,0.7,-0.82
RYDER,SAM,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T17,THE CJ CUP Byron Nelson,PGA Tour,T31,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T45,0.69,0.84
KOEPKA,BROOKS,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,T11,PGA Championship,Major,T55,THE CJ CUP Byron Nelson,PGA Tour,T14,RBC Canadian Open,PGA Tour,WD,U.S. Open,Major,CUT,0.68,0.45
COODY,PIERCESON,PGA,PGA Tour,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T19,the Memorial Tournament presented by Workday,PGA Tour,T23,U.S. Open,Major,T22,0.67,0.24
MCCARTHY,DENNY,PGA,PGA Tour,Truist Championship,PGA Tour,T60,PGA Championship,Major,T48,the Memorial Tournament presented by Workday,PGA Tour,T44,RBC Canadian Open,PGA Tour,T14,Travelers Championship,PGA Tour,T34,0.67,0.16
LEE,MIN WOO,PGA,PGA Tour,Truist Championship,PGA Tour,T14,PGA Championship,Major,T18,the Memorial Tournament presented by Workday,PGA Tour,CUT,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T62,0.67,-0.42
GOUVEIA,RICARDO,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T38,Soudal Open,DP World Tour,T13,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T24,KLM Open,DP World Tour,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,T2,0.66,1.5
MEISSNER,MAC,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T31,the Memorial Tournament presented by Workday,PGA Tour,T3,RBC Canadian Open,PGA Tour,T44,Travelers Championship,PGA Tour,T46,0.66,-0.06
JENNINGS,WILLIAM,AM,Amateur,Mossy Oak Collegiate,Amateur,2,2026 SEC Men's Golf Championship Stroke Play,Amateur,T23,NCAA Marana Regional,Amateur,T3,NCAA DI Men's National Championship- Stroke Play,Amateur,T12,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T1,0.65,1.1
KEEFER,JOHNNY,PGA,PGA Tour,PGA Championship,Major,T51,THE CJ CUP Byron Nelson,PGA Tour,79,Charles Schwab Challenge,PGA Tour,T9,RBC Canadian Open,PGA Tour,T39,U.S. Open,Major,T35,0.62,0.5
NORRIS,SHAUN,JPN,Japan Golf Tour,The Crowns,Japan Golf Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T6,Japan PGA Championship Senko Group Cup,Japan Golf Tour,2,Gate Way To The Open Mizuno Open,Japan Golf Tour,1,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,CUT,0.61,1.62
TAYLOR,NICK,PGA,PGA Tour,PGA Championship,Major,T26,the Memorial Tournament presented by Workday,PGA Tour,T43,RBC Canadian Open,PGA Tour,T65,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T25,0.59,-0.23
