course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"TPC Deere Run",71,7144,457,187,-1.84,-0.03,-0.05,-0.4,292.4,18.2,0.6857,0.012,-0.012,0.025,0.045,37.7,0.39,0.4,0.37,0.026,0.7223,0.024,0.026,-0.021,-0.015,0.014,0.005,0.026,0.014,0.26,0.01
"TPC Four Seasons Resort",70,6978,446,183,-0.01,0.02,0.06,-0.4,284.9,17.9,0.5711,0,-0.006,0.016,-0.014,30.2,0.36,0.27,0.36,0.0608,0.6267,0.001,0.025,-0.026,0.026,0.035,-0.005,-0.001,0.011,0.41,0.07
"TPC Harding Park",70,7180,457,197,1.03,0.12,0.11,-0.38,288.2,19.5,0.5001,0.009,-0.014,-0.004,-0.009,28.7,0.34,0.34,0.22,0.0126,0.5909,-0.03,0.007,0.004,-0.048,-0.019,0.005,0.032,-0.002,0.11,0.06
"TPC Louisiana",72,7293,463,203,-1.62,0.06,-0.05,-0.35,275.4,16,0.69,0.009,0.015,0.054,0.002,34.7,0.29,0.2,0.28,0.0515,0.7041,0.043,0.06,0.007,0.082,0.015,0,0.021,0.015,0.43,0.05
"TPC Potomac at Avenel Farm",70,7069,451,190,0.93,0.07,0.08,-0.13,280.7,18.1,0.5972,0.003,-0.014,0,-0.038,31.4,0.47,0.31,0.57,0.0676,0.614,0.01,-0.003,0.024,-0.029,-0.061,0.003,0.005,0.004,0.52,0.06
"TPC River Highlands",70,6801,432,188,-0.61,0.02,-0.01,-0.3,284.5,18.8,0.648,0.003,-0.061,0.016,-0.006,36.8,0.43,0.32,0.36,0.0727,0.6923,0.004,0.024,-0.068,-0.06,-0.038,0.002,0.004,0.003,0.47,0.08
"TPC San Antonio - The Oaks Course",72,7337,470,190,0.28,0.07,0.08,-0.21,291,18.8,0.5446,-0.001,0.005,-0.03,-0.026,30.3,0.3,0.1,0.46,0.022,0.5913,-0.038,-0.025,0,0.056,-0.049,0.002,0.005,-0.013,0.26,0.05
"TPC Sawgrass - THE PLAYERS Stadium Course",72,7146,460,178,0.74,0.15,0.13,-0.29,282.7,18.4,0.5964,-0.005,-0.036,-0.045,-0.051,30.5,0.46,0.36,0.41,0.0575,0.6205,-0.068,-0.03,-0.025,-0.07,-0.048,0,-0.003,-0.013,0.73,0.09
"TPC Scottsdale (Stadium Course)",71,7277,467,184,-0.34,0.05,0.05,-0.36,300.7,17.8,0.5589,0.006,-0.01,-0.004,0.017,31.5,0.36,0.2,0.37,0.0773,0.6602,-0.009,-0.002,-0.019,0.025,-0.018,0.002,0.01,0.008,0.64,0.04
"TPC Southwind",70,7097,457,176,0.12,0.04,0.06,-0.4,290.7,17.3,0.5636,0.01,0.008,-0.013,-0.004,29.3,0.44,0.37,0.43,0.0421,0.5986,0.002,-0.021,0.007,-0.015,0.031,0.003,0.022,0.01,0.67,0.06
"TPC Summerlin",71,7073,450,191,-1.49,0.05,-0.03,-0.46,299.9,20,0.6094,0.005,-0.048,0.013,0.053,34.5,0.38,0.32,0.47,0.0215,0.7238,0.004,0.019,-0.056,-0.037,-0.037,0.002,0.01,0.005,0.38,0.04
"TPC Toronto at Osprey Valley - North Course",70,7172,463,175,-1.2,-0.05,0,-0.53,302.5,18.7,0.647,0.002,0.025,0.018,0.065,39.4,0.42,0.31,0.49,0.025,0.7088,0.022,0.015,0.053,0.012,-0.016,0,0.009,-0.002,0.25,0.06
"TPC Twin Cities",71,7220,463,191,-1.25,-0.01,-0.01,-0.38,293.1,16.6,0.638,0.014,0.012,0.023,0.007,35.2,0.4,0.25,0.42,0.0721,0.7207,0.032,0.018,0.024,0.01,-0.037,0.004,0.015,0.029,0.7,0.12
"The Concession Golf Club",72,7327,465,204,0.22,0.15,0.07,-0.28,285.8,18,0.6994,0.001,-0.03,-0.002,-0.029,50.3,0.45,0.13,0.3,0.1041,0.6333,-0.02,0.006,-0.072,0.067,0,0.007,0.006,-0.013,0.77,0.22
"The Country Club of Jackson",72,7218,462,186,-1.62,0.01,-0.04,-0.31,289.3,18,0.5439,0.003,0.021,0.014,0.003,28.9,0.29,0.26,0.36,0.0186,0.6998,0.025,0.007,0.009,0.029,0.044,0,0.001,0.009,0.24,0.01
"The Los Angeles Country Club (North Course)",70,7335,482,213,1.9,0.17,0.15,-0.17,294.8,19.7,0.6615,-0.015,-0.023,0.01,0.033,43,0.51,0.48,0.6,0.0097,0.6078,-0.04,0.035,-0.023,-0.05,-0.114,-0.001,-0.029,-0.026,0.08,0.02
