Last Name,First Name,main-tour-L20 Rds,Last 5 Starts-Tour-Start 1,Last 5 Starts-Event-Start 1,Last 5 Starts-Finish-Start 1,Last 5 Starts-Tour-Start 2,Last 5 Starts-Event-Start 2,Last 5 Starts-Finish-Start 2,Last 5 Starts-Tour-Start 3,Last 5 Starts-Event-Start 3,Last 5 Starts-Finish-Start 3,Last 5 Starts-Tour-Start 4,Last 5 Starts-Event-Start 4,Last 5 Starts-Finish-Start 4,Last 5 Starts-Tour-Start 5,Last 5 Starts-Event-Start 5,Last 5 Starts-Finish-Start 5,True SG,True SG vs Baseline
GREYSERMAN,MAX,PGA,PGA Tour,THE CJ CUP Byron Nelson,T9,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,T43,Major,John Deere Classic,CUT,0.54,0.36
MORRISON,TOMMY,AM,Amateur,2026 SEC Men's Golf Championship Stroke Play,T10,Amateur,NCAA Bryan Regional,T17,Amateur,NCAA DI Men's National Championship- Stroke Play,T5,Amateur,OccuNet Classic presented by Amarillo National Bank,T5,Korn Ferry Tour,Memorial Health Championship presented by LRS,T10,0.53,1.02
KEEFER,JOHNNY,PGA,PGA Tour,THE CJ CUP Byron Nelson,T9,PGA Tour,Charles Schwab Challenge,T35,PGA Tour,RBC Canadian Open,T51,PGA Tour,U.S. Open,T39,Major,John Deere Classic,CUT,0.53,0.41
VAN ROOYEN,ERIK,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T38,PGA Tour,THE CJ CUP Byron Nelson,T19,PGA Tour,Charles Schwab Challenge,70,PGA Tour,RBC Canadian Open,T20,PGA Tour,John Deere Classic,T26,0.47,0.92
CARR,BEN,KFT,Korn Ferry Tour,Visit Knoxville Open,2,Korn Ferry Tour,UNC Health Championship,T39,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T7,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T19,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,0.45,1.27
SIDES,WILLIAM,AM,Amateur,2026 ACC Men's Golf Championship - Stroke Play,T14,Amateur,NCAA Bryan Regional,4,Amateur,THE CJ CUP Byron Nelson,16,PGA Tour,OccuNet Classic presented by Amarillo National Bank,T10,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,0.43,0.75
JOHNSON,ZACH,CHAMP,PGA Tour Champions,Senior PGA Championship,T9,PGA Tour Champions,Mitsubishi Electric Classic,T8,PGA Tour Champions,Insperity Invitational,T5,PGA Tour Champions,Principal Charity Classic,1,PGA Tour Champions,John Deere Classic,3,0.4,0.27
GARNETT,BRICE,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T4,PGA Tour,THE CJ CUP Byron Nelson,T19,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,CUT,PGA Tour,John Deere Classic,T22,0.39,1.01
FINAU,TONY,PGA,PGA Tour,Charles Schwab Challenge,T55,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,RBC Canadian Open,T29,PGA Tour,Travelers Championship,T58,PGA Tour,John Deere Classic,T40,0.38,0.36
PONDER,THOMAS,PTA,PGA Tour Americas,Diners Club Peru Open,T17,PGA Tour Americas,KIA Open de Ecuador presentado por Diners Club,T10,PGA Tour Americas,Mexico Championship presented by Scotia Wealth Management,3,PGA Tour Americas,Inter Rapidisimo Golf Championship,4,PGA Tour Americas,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,T9,0.37,0.97
