Last Name,First Name,main-tour-L20 Rds,Last 5 Starts-Tour-Start 1,Last 5 Starts-Event-Start 1,Last 5 Starts-Finish-Start 1,Last 5 Starts-Tour-Start 2,Last 5 Starts-Event-Start 2,Last 5 Starts-Finish-Start 2,Last 5 Starts-Tour-Start 3,Last 5 Starts-Event-Start 3,Last 5 Starts-Finish-Start 3,Last 5 Starts-Tour-Start 4,Last 5 Starts-Event-Start 4,Last 5 Starts-Finish-Start 4,Last 5 Starts-Tour-Start 5,Last 5 Starts-Event-Start 5,Last 5 Starts-Finish-Start 5,True SG,True SG vs Baseline
DAFFUE,MJ,CHA,Challenge Tour,Challenge de Catalunya,T35,Challenge Tour,Soudal Open,T3,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T8,DP World Tour,English Open supported by HotelPlanner,1,Challenge Tour,Blot Play9,T7,-0.17,0.87
NOH,S.Y.,KFT,Korn Ferry Tour,UNC Health Championship,CUT,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T19,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T33,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,Korn Ferry Tour,John Deere Classic,T28,-0.17,0.25
LIPSKY,DAVID,PGA,PGA Tour,Truist Championship,T21,PGA Tour,PGA Championship,CUT,Major,Charles Schwab Challenge,1,PGA Tour,RBC Canadian Open,T24,PGA Tour,John Deere Classic,CUT,-0.17,-0.35
PEPPERELL,EDDIE,DPT,DP World Tour,Soudal Open,T11,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T24,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,T60,-0.17,0.26
DUNCAN,TYLER,KFT,Korn Ferry Tour,UNC Health Championship,T13,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,CUT,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,T12,Korn Ferry Tour,John Deere Classic,T28,-0.19,0.69
HARRIS,FRANKIE,AM,Amateur,Ford Collegiate,T59,Amateur,2026 SEC Men's Golf Championship Stroke Play,T3,Amateur,NCAA Columbus Regional,T7,Amateur,OccuNet Classic presented by Amarillo National Bank,T13,Korn Ferry Tour,Memorial Health Championship presented by LRS,T17,-0.19,0.77
KODAIRA,SATOSHI,JPN,Japan Golf Tour,The Crowns,T7,Japan Golf Tour,Kansai Open Golf Championship,T3,Japan Golf Tour,Japan PGA Championship Senko Group Cup,1,Japan Golf Tour,Gate Way To The Open Mizuno Open,T17,Japan Golf Tour,JAPAN PLAYERS CHAMPIONSHIP by Satosyokuhin,T4,-0.2,1.19
MCKIBBIN,TOM,LIV,LIV Golf,Virginia,T25,LIV Golf,PGA Championship,T21,Major,Korea,CUT,LIV Golf,Andalucia,T21,LIV Golf,DS Automobiles 83° Open d’Italia,T23,-0.2,-0.53
COWAN,RYDER,AM,Amateur,Ford Collegiate,1,Amateur,2026 SEC Men's Golf Championship Stroke Play,T24,Amateur,NCAA Corvallis Regional,T23,Amateur,NCAA DI Men's National Championship- Stroke Play,4,Amateur,U.S. Open,T28,-0.21,0.69
MCALLISTER,LOGAN,KFT,Korn Ferry Tour,Visit Knoxville Open,T5,Korn Ferry Tour,UNC Health Championship,CUT,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,2,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,1,-0.21,0.77
PAVON,MATTHIEU,PGA,PGA Tour,ONEflight Myrtle Beach Classic,CUT,PGA Tour,THE CJ CUP Byron Nelson,T40,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,T20,PGA Tour,John Deere Classic,CUT,-0.21,0.04
PARRY,JOHN,PGA,PGA Tour,PGA Championship,T70,Major,THE CJ CUP Byron Nelson,T47,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,T11,-0.22,-0.65
DOCHERTY,ALISTAIR,KFT,Korn Ferry Tour,Colonial Life Charity Classic,T17,Korn Ferry Tour,Visit Knoxville Open,T16,Korn Ferry Tour,UNC Health Championship,T56,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T40,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,-0.23,0.34
HUBBARD,MARK,PGA,PGA Tour,THE CJ CUP Byron Nelson,70,PGA Tour,Charles Schwab Challenge,T31,PGA Tour,the Memorial Tournament presented by Workday,T60,PGA Tour,Travelers Championship,T46,PGA Tour,John Deere Classic,CUT,-0.24,0.05
DUMONT DE CHASSART,ADRIEN,PGA,PGA Tour,THE CJ CUP Byron Nelson,T51,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,1,PGA Tour,U.S. Open,CUT,Major,John Deere Classic,T53,-0.24,-0.44
PETERSON,PAUL,PGA,PGA Tour,Colonial Life Charity Classic,T67,Korn Ferry Tour,THE CJ CUP Byron Nelson,T7,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,CUT,PGA Tour,John Deere Classic,CUT,-0.24,0.17
SUMMY,JASE,AM,Amateur,2026 SEC Men's Golf Championship Stroke Play,T3,Amateur,NCAA Corvallis Regional,2,Amateur,NCAA DI Men's National Championship- Stroke Play,T2,Amateur,OccuNet Classic presented by Amarillo National Bank,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,T70,-0.24,0.55
HOLLICK,MICHAEL,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,1,DP World Tour,BMW International Open,T28,-0.24,0.76
SHIPLEY,NEAL,PGA,PGA Tour,THE CJ CUP Byron Nelson,T65,PGA Tour,Charles Schwab Challenge,T40,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,CUT,Major,John Deere Classic,T51,-0.24,0.09
STANGER,JIMMY,PGA,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,CUT,Major,John Deere Classic,T4,-0.25,0.17
ELVIRA MIJARES,IGNACIO,DPT,DP World Tour,Soudal Open,T25,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,T16,DP World Tour,BMW International Open,T11,-0.25,0.3
JANG,YUBIN,KOR,KPGA Korean Tour,KPGA Gyeongbuk Open,T14,KPGA Korean Tour,Kolon The 68th KOREA Open,T18,ASA,The 69th KPGA Championship with A-ONE CC,1,KPGA Korean Tour,Hana Bank Invitational,T23,KPGA Korean Tour,KPGA Gunsan CC Open,1,-0.25,0.71
VAILLANT,TOM,DPT,DP World Tour,Soudal Open,T55,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T13,DP World Tour,KLM Open,T26,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,CUT,-0.25,0.02
JARVIS,CASEY,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T22,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,1,DP World Tour,BMW International Open,T38,-0.26,-0.29
CANTER,LAURIE,LIV,LIV Golf,Mexico City,T37,LIV Golf,Virginia,T25,LIV Golf,Korea,T46,LIV Golf,Andalucia,T43,LIV Golf,U.S. Open,T12,-0.26,0.13
BUCKLEY,HAYDEN,KFT,Korn Ferry Tour,Visit Knoxville Open,T8,Korn Ferry Tour,UNC Health Championship,T29,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,1,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T33,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,-0.26,0.35
CROWE,TRACE,PGA,PGA Tour,ONEflight Myrtle Beach Classic,CUT,PGA Tour,THE CJ CUP Byron Nelson,T67,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,T39,PGA Tour,John Deere Classic,CUT,-0.27,-0.02
KOBORI,KAZUMA,DPT,DP World Tour,Soudal Open,T19,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,T28,-0.27,0.2
KIRK,CHRIS,PGA,PGA Tour,PGA Championship,T44,Major,THE CJ CUP Byron Nelson,T31,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,CUT,-0.27,-0.43
CLANTON,LUKE,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T54,PGA Tour,THE CJ CUP Byron Nelson,T60,PGA Tour,Charles Schwab Challenge,T31,PGA Tour,RBC Canadian Open,CUT,PGA Tour,John Deere Classic,T54,-0.27,0.53
RITCHIE,JC,DPT,DP World Tour,Soudal Open,T48,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,T17,DP World Tour,DS Automobiles 83° Open d’Italia,T45,DP World Tour,BMW International Open,T45,-0.28,-0.16
APHIBARNRAT,KIRADECH,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,T9,DP World Tour,BMW International Open,T38,-0.29,0.56
SUH,JUSTIN,KFT,Korn Ferry Tour,Visit Knoxville Open,1,Korn Ferry Tour,UNC Health Championship,T23,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,1,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T33,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,-0.3,0.64
BERTAGNOLE,CARSON,AM,Amateur,Tar Heel Intercollegiate,T3,Amateur,2026 ACC Men's Golf Championship - Stroke Play,7,Amateur,NCAA Bryan Regional,1,Amateur,NCAA DI Men's National Championship- Stroke Play,T5,Amateur,Northeast Amateur Invitational,T19,-0.3,0.86
SVENSSON,JESPER,PGA,PGA Tour,Zurich Classic of New Orleans,CUT,PGA Tour,Turkish Airlines Open,T65,DP World Tour,ONEflight Myrtle Beach Classic,CUT,PGA Tour,THE CJ CUP Byron Nelson,T9,PGA Tour,RBC Canadian Open,T4,-0.31,-0.15
WANG,JEUNGHUN,KOR,KPGA Korean Tour,Kolon The 68th KOREA Open,1,ASA,The 69th KPGA Championship with A-ONE CC,T3,KPGA Korean Tour,International Series Morocco presented by Visit Morocco,T5,Asian Tour,Hana Bank Invitational,T37,KPGA Korean Tour,KPGA Gunsan CC Open,T15,-0.32,0.63
AKINA,KIHEI,AM,Amateur,Big 12 Men's Golf Championship,T5,Amateur,NCAA Athens Regional,2,Amateur,NCAA DI Men's National Championship- Stroke Play,T14,Amateur,The Amateur Championship,T19,Amateur,Northeast Amateur Invitational,T8,-0.32,0.59
POTTER,LUKE,AM,Amateur,2026 SEC Men's Golf Championship Stroke Play,CUT,Amateur,NCAA Bryan Regional,T41,Amateur,NCAA DI Men's National Championship- Stroke Play,1,Amateur,OccuNet Classic presented by Amarillo National Bank,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,T23,-0.33,0.8
GILLIGAN,IAN,KFT,Korn Ferry Tour,Visit Knoxville Open,1,Korn Ferry Tour,UNC Health Championship,CUT,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,1,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,-0.34,0.17
COUVRA,MARTIN,DPT,DP World Tour,Soudal Open,T55,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T24,DP World Tour,KLM Open,T35,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,CUT,-0.35,0.14
VAN DER MERWE,GRAHAM,AFR,Sunshine Tour,FBC ZIM Open,6,Sunshine Tour,Kit Kat Cash & Carry Pro-Am,T16,Sunshine Tour,SunBet Challenge hosted by Sun Boardwalk,2,Sunshine Tour,The Mopani Zambia Open,T18,Sunshine Tour,KCM Golf Challenge,T7,-0.35,1.24
BUTLER,JOHN MARSHALL,KFT,Korn Ferry Tour,Visit Knoxville Open,T13,Korn Ferry Tour,UNC Health Championship,T3,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,1,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,-0.36,0.91
VILIPS,KARL,PGA,PGA Tour,ONEflight Myrtle Beach Classic,CUT,PGA Tour,THE CJ CUP Byron Nelson,T24,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,T39,PGA Tour,John Deere Classic,CUT,-0.36,-0.06
FIORONI,CADEN,PTA,PGA Tour Americas,Colonial Life Charity Classic,T17,Korn Ferry Tour,KIA Open de Ecuador presentado por Diners Club,T51,PGA Tour Americas,Mexico Championship presented by Scotia Wealth Management,T5,PGA Tour Americas,Inter Rapidisimo Golf Championship,T18,PGA Tour Americas,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,T15,-0.36,0.8
SVENSSON,ADAM,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T60,PGA Tour,THE CJ CUP Byron Nelson,T45,PGA Tour,Charles Schwab Challenge,T54,PGA Tour,RBC Canadian Open,CUT,PGA Tour,John Deere Classic,CUT,-0.37,0.06
NYHOLM,PONTUS,PGA,PGA Tour,ONEflight Myrtle Beach Classic,CUT,PGA Tour,THE CJ CUP Byron Nelson,T31,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,T26,PGA Tour,John Deere Classic,CUT,-0.37,0.2
LANGASQUE,ROMAIN,DPT,DP World Tour,Estrella Damm Catalunya Championship,T11,DP World Tour,Soudal Open,T70,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T53,DP World Tour,DS Automobiles 83° Open d’Italia,T16,DP World Tour,BMW International Open,T54,-0.37,0.21
VANARRAGON,CALEB,KFT,Korn Ferry Tour,Visit Knoxville Open,T47,Korn Ferry Tour,UNC Health Championship,T23,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,CUT,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T27,Korn Ferry Tour,Memorial Health Championship presented by LRS,T26,-0.37,-0.2
OLESEN,THORBJORN,PGA,PGA Tour,Valero Texas Open,T49,PGA Tour,THE CJ CUP Byron Nelson,T62,PGA Tour,Charles Schwab Challenge,T67,PGA Tour,RBC Canadian Open,CUT,PGA Tour,John Deere Classic,CUT,-0.38,-0.68
SIMPSON,WEBB,PGA,PGA Tour,Valspar Championship,CUT,PGA Tour,Valero Texas Open,T18,PGA Tour,Truist Championship,WD,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,John Deere Classic,T48,-0.38,-0.18
DEL REY,ALEJANDRO,DPT,DP World Tour,Estrella Damm Catalunya Championship,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T3,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,T16,DP World Tour,BMW International Open,CUT,-0.39,0
HIGGO,GARRICK,PGA,PGA Tour,PGA Championship,CUT,Major,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T19,PGA Tour,RBC Canadian Open,CUT,PGA Tour,John Deere Classic,T32,-0.39,-0.44
PENGE,MARCO,PGA,PGA Tour,Masters Tournament,T49,Major,RBC Heritage,T77,PGA Tour,Zurich Classic of New Orleans,T30,PGA Tour,PGA Championship,CUT,Major,BMW International Open,T9,-0.39,-0.92
BARRON,HAYDN,CHA,Challenge Tour,Challenge de España,1,Challenge Tour,Swiss Challenge,T21,Challenge Tour,Interwetten Open,1,Challenge Tour,English Open supported by HotelPlanner,WD,Challenge Tour,Blot Play9,T23,-0.41,0.44
GUERRIER,JULIEN,DPT,DP World Tour,Estrella Damm Catalunya Championship,1,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T47,DP World Tour,KLM Open,T7,DP World Tour,BMW International Open,CUT,-0.41,-0.27
SMYLIE,ELVIS,LIV,LIV Golf,PGA Championship,T5,Major,Korea,T75,LIV Golf,Andalucia,T45,LIV Golf,International Series Morocco presented by Visit Morocco,T41,Asian Tour,DS Automobiles 83° Open d’Italia,41,-0.42,-0.34
MEISSNER,MITCHELL,KFT,Korn Ferry Tour,Visit Knoxville Open,1,Korn Ferry Tour,UNC Health Championship,T10,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,1,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,-0.43,0.31
WILLIAMS,MASON,PTA,PGA Tour Americas,Diners Club Peru Open,1,PGA Tour Americas,KIA Open de Ecuador presentado por Diners Club,T39,PGA Tour Americas,Mexico Championship presented by Scotia Wealth Management,1,PGA Tour Americas,Inter Rapidisimo Golf Championship,3,PGA Tour Americas,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,T15,-0.43,0.49
ECKROAT,AUSTIN,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T19,PGA Tour,THE CJ CUP Byron Nelson,T40,PGA Tour,Charles Schwab Challenge,T67,PGA Tour,RBC Canadian Open,73,PGA Tour,John Deere Classic,T58,-0.43,-0.51
VEGAS,JHONATTAN,PGA,PGA Tour,PGA Championship,CUT,Major,THE CJ CUP Byron Nelson,T44,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,RBC Canadian Open,T51,PGA Tour,Travelers Championship,CUT,-0.44,0
JOHANNESSEN,KRISTIAN K.,CHA,Challenge Tour,Danish Golf Challenge,T3,Challenge Tour,Swiss Challenge,T28,Challenge Tour,Interwetten Open,1,Challenge Tour,English Open supported by HotelPlanner,CUT,Challenge Tour,Le Vaudreuil Golf Challenge,2,-0.44,0.23
BROWN,HAMISH,CHA,Challenge Tour,Challenge de Catalunya,2,Challenge Tour,Danish Golf Challenge,2,Challenge Tour,Swiss Challenge,1,Challenge Tour,Interwetten Open,T2,Challenge Tour,Le Vaudreuil Golf Challenge,T13,-0.45,0.6
RAMSAY,RICHIE,DPT,DP World Tour,Soudal Open,T6,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,CUT,-0.45,0.34
KANG,JEFFREY,PGA,PGA Tour,Zurich Classic of New Orleans,T42,PGA Tour,ONEflight Myrtle Beach Classic,T6,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,John Deere Classic,T54,-0.46,0.34
MOLINARI,FRANCESCO,DPT,DP World Tour,Hero Indian Open,T32,DP World Tour,Turkish Airlines Open,T6,DP World Tour,Estrella Damm Catalunya Championship,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,-0.46,-0.11
SCHAPER,JAYDEN,DPT,DP World Tour,PGA Championship,CUT,Major,Soudal Open,CUT,DP World Tour,KLM Open,T24,DP World Tour,U.S. Open,T11,Major,BMW International Open,T59,-0.47,-1.02
CAMPILLO,JORGE,DPT,DP World Tour,Estrella Damm Catalunya Championship,T19,DP World Tour,Soudal Open,T25,DP World Tour,KLM Open,T2,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,CUT,-0.48,-0.39
EGE,MATS,PTA,PGA Tour Americas,Diners Club Peru Open,T7,PGA Tour Americas,KIA Open de Ecuador presentado por Diners Club,T39,PGA Tour Americas,Mexico Championship presented by Scotia Wealth Management,T8,PGA Tour Americas,Inter Rapidisimo Golf Championship,1,PGA Tour Americas,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,T9,-0.48,0.99
RODGERS,PATRICK,PGA,PGA Tour,PGA Championship,71,Major,THE CJ CUP Byron Nelson,T47,PGA Tour,Charles Schwab Challenge,T60,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,U.S. Open,T49,-0.48,-0.63
JORDAN,MATTHEW,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,T40,DP World Tour,U.S. Open,T38,Major,BMW International Open,CUT,-0.48,-0.04
JUNG,CHANMIN,KOR,KPGA Korean Tour,KPGA Founders Cup,CUT,KPGA Korean Tour,KPGA Gyeongbuk Open,2,KPGA Korean Tour,Kolon The 68th KOREA Open,1,ASA,The 69th KPGA Championship with A-ONE CC,T17,KPGA Korean Tour,KPGA Gunsan CC Open,T16,-0.49,0.98
PRINSLOO,JACO,AFR,Sunshine Tour,FBC ZIM Open,T9,Sunshine Tour,Kit Kat Cash & Carry Pro-Am,T5,Sunshine Tour,SunBet Challenge hosted by Sun Boardwalk,4,Sunshine Tour,The Mopani Zambia Open,T11,Sunshine Tour,KCM Golf Challenge,T17,-0.5,0.41
RAVETTO,DAVID,DPT,DP World Tour,Soudal Open,T60,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T30,DP World Tour,KLM Open,T35,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,T14,-0.5,0.33
LAGERGREN,JOAKIM,DPT,DP World Tour,Soudal Open,4,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,CUT,-0.5,-0.04
SHEILS DONEGAN,NIALL,AM,Amateur,Tar Heel Intercollegiate,1,Amateur,2026 ACC Men's Golf Championship - Stroke Play,1,Amateur,NCAA DI Men's National Championship- Stroke Play,1,Amateur,The Amateur Championship,T42,Amateur,European Amateur Championship,T33,-0.51,0.76
BOLTON,BEN,AM,Amateur,Spanish Amateur Copa S M El Rey,T13,Amateur,European Nations Cup - Copa Sotogrande,T9,Amateur,Lytham Trophy,3,Amateur,The Amateur Championship,T3,Amateur,European Amateur Championship,T33,-0.51,0.41
KATSUMATA,RYO,JPN,Japan Golf Tour,Kansai Open Golf Championship,CUT,Japan Golf Tour,Japan PGA Championship Senko Group Cup,CUT,Japan Golf Tour,Gate Way To The Open Mizuno Open,1,Japan Golf Tour,BMW Japan Golf Tour Championship Mori Building Cup,T11,Japan Golf Tour,JAPAN PLAYERS CHAMPIONSHIP by Satosyokuhin,T6,-0.51,0.53
YONEZAWA,REN,JPN,Japan Golf Tour,Kansai Open Golf Championship,T25,Japan Golf Tour,Japan PGA Championship Senko Group Cup,CUT,Japan Golf Tour,Gate Way To The Open Mizuno Open,1,Japan Golf Tour,BMW Japan Golf Tour Championship Mori Building Cup,T2,Japan Golf Tour,JAPAN PLAYERS CHAMPIONSHIP by Satosyokuhin,T8,-0.51,0.17
AN,BYEONG HUN,LIV,LIV Golf,Virginia,T22,LIV Golf,Korea,T35,LIV Golf,Andalucia,T37,LIV Golf,International Series Morocco presented by Visit Morocco,CUT,Asian Tour,BMW International Open,T11,-0.52,-0.19
CHANG,PAUL,AM,Amateur,Lewis Chitengwa Memorial,T17,Amateur,2026 ACC Men's Golf Championship - Stroke Play,T1,Amateur,NCAA Winston-Salem Regional,1,Amateur,NCAA DI Men's National Championship- Stroke Play,T5,Amateur,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,T61,-0.52,0.61
FRITTELLI,DYLAN,DPT,DP World Tour,Estrella Damm Catalunya Championship,T11,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,John Deere Classic,T48,-0.53,0.39
BAUTISTA,AUSTIN,AFR,Sunshine Tour,The Courier Guy Playoffs : DNi Tour Championship presented by RMB,1,Sunshine Tour,Mediclinic Invitational,T7,Sunshine Tour,FBC ZIM Open,T2,Sunshine Tour,Austrian Alpine Open presented by Kitzbühel Tirol,2,DP World Tour,Le Vaudreuil Golf Challenge,CUT,-0.53,0.62
HOJGAARD,RASMUS,PGA,PGA Tour,Masters Tournament,53,Major,ONEflight Myrtle Beach Classic,T24,PGA Tour,PGA Championship,T65,Major,THE CJ CUP Byron Nelson,T62,PGA Tour,Charles Schwab Challenge,CUT,-0.53,-1.17
YUAN,CARL,KFT,Korn Ferry Tour,Visit Knoxville Open,1,Korn Ferry Tour,UNC Health Championship,T15,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T12,Korn Ferry Tour,U.S. Open,T48,Major,Memorial Health Championship presented by LRS,1,-0.53,0.43
KINHULT,MARCUS,DPT,DP World Tour,Estrella Damm Catalunya Championship,T71,DP World Tour,Soudal Open,T54,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T2,DP World Tour,KLM Open,T48,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,-0.53,0.48
BROWN,DAN,PGA,PGA Tour,PGA Championship,CUT,Major,THE CJ CUP Byron Nelson,T75,PGA Tour,Charles Schwab Challenge,T47,PGA Tour,RBC Canadian Open,CUT,PGA Tour,BMW International Open,CUT,-0.54,-0.72
POWER,SEAMUS,PGA,PGA Tour,ONEflight Myrtle Beach Classic,CUT,PGA Tour,THE CJ CUP Byron Nelson,T60,PGA Tour,Charles Schwab Challenge,T19,PGA Tour,RBC Canadian Open,WD,PGA Tour,John Deere Classic,T54,-0.54,-0.57
DE LEO,GREGORIO,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T8,DP World Tour,KLM Open,T4,DP World Tour,DS Automobiles 83° Open d’Italia,T61,DP World Tour,BMW International Open,CUT,-0.55,0.01
CANTERO GUTIERREZ,IVAN,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T53,DP World Tour,KLM Open,T26,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,CUT,-0.55,0.94
LENG,JAY,AM,Amateur,79th Western Intercollegiate,2,Amateur,2026 ACC Men's Golf Championship - Stroke Play,T7,Amateur,NCAA Columbus Regional,1,Amateur,NCAA DI Men's National Championship- Stroke Play,T11,Amateur,Northeast Amateur Invitational,T49,-0.55,1
JUNG,HANMIL,KOR,KPGA Korean Tour,KPGA Gyeongbuk Open,1,KPGA Korean Tour,Kolon The 68th KOREA Open,T23,ASA,The 69th KPGA Championship with A-ONE CC,1,KPGA Korean Tour,Hana Bank Invitational,T49,KPGA Korean Tour,KPGA Gunsan CC Open,T31,-0.55,1.33
BERGSTROM,ALBIN,DPT,DP World Tour,Soudal Open,T11,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T13,DP World Tour,KLM Open,56,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,CUT,-0.55,0.89
GLOVER,LUCAS,PGA,PGA Tour,Charles Schwab Challenge,T3,PGA Tour,the Memorial Tournament presented by Workday,T46,PGA Tour,RBC Canadian Open,1,PGA Tour,Travelers Championship,T71,PGA Tour,John Deere Classic,T66,-0.55,-0.49
