Last Name,First Name,short game,approach,driving-distance,driving-accuracy,total sg adj,Putting 2-5ft,Putting 5-30ft,Putting 30+ ft,Course-Fairway,Course-Rough,Course-Bunker,Approach 50-100yds,Approach 100-150 yds,Approach 150-200 yds,Approach 200+ yds
LOWRY,SHANE,0,-0.06,-0.01,-0.09,-0.16,5.7,10.7,4.3,4.1,2.3,0.8,1.6,4.1,7.2,4.7
FERGUSON,EWEN,0.01,-0.02,-0.04,-0.13,-0.17,5.8,10.7,4.3,4.3,2.5,0.8,1.6,4,7.2,4.9
OTAEGUI,ADRIAN,0.01,0.02,-0.1,-0.11,-0.18,5.7,10.4,4.3,4.4,2.5,0.9,1.7,3.7,7.3,5.1
TAYLOR,NICK,-0.04,-0.02,-0.04,-0.08,-0.18,5.7,10.4,4.2,4.3,2.4,0.8,1.6,4,7.2,4.8
CONNERS,COREY,0.01,-0.04,-0.02,-0.13,-0.19,5.7,10.6,4.3,4.2,2.4,0.8,1.5,4.1,7.2,4.8
MCGREEVY,MAX,0.01,-0.03,-0.04,-0.12,-0.19,5.7,10.6,4.3,4.2,2.4,0.8,1.6,4,7.2,4.9
SPAUN,J.J.,-0.01,-0.07,0,-0.11,-0.19,5.7,10.6,4.2,4.1,2.3,0.8,1.5,4.2,7.2,4.7
SCHAPER,JAYDEN,-0.01,0,-0.04,-0.14,-0.19,5.7,10.5,4.3,4.3,2.6,0.8,1.6,4,7.2,4.9
HARMAN,BRIAN,-0.03,-0.03,-0.05,-0.09,-0.2,5.7,10.5,4.2,4.2,2.4,0.8,1.6,4,7.2,4.8
HOVLAND,VIKTOR,-0.04,-0.06,0.01,-0.11,-0.2,5.7,10.6,4.2,4.1,2.3,0.8,1.5,4.2,7.2,4.6
FITZPATRICK,ALEX,-0.02,-0.06,0,-0.14,-0.21,5.7,10.6,4.2,4.1,2.3,0.8,1.5,4.2,7.2,4.7
NOREN,ALEX,-0.06,0,-0.06,-0.11,-0.23,5.7,10.5,4.3,4.3,2.5,0.8,1.6,3.9,7.2,4.9
CAMPBELL,BRIAN,-0.01,0.03,-0.14,-0.11,-0.23,5.7,10.4,4.3,4.4,2.6,0.9,1.8,3.6,7.3,5.2
FITZPATRICK,MATT,-0.07,-0.07,0,-0.11,-0.25,5.7,10.4,4.1,4.1,2.2,0.8,1.5,4.2,7.2,4.7
SCHEFFLER,SCOTTIE,-0.09,-0.1,0.05,-0.13,-0.27,5.6,10.5,4.1,4,2.2,0.8,1.4,4.4,7.1,4.5
FLEETWOOD,TOMMY,-0.07,-0.05,0,-0.17,-0.29,5.7,10.5,4.2,4.2,2.4,0.8,1.5,4.1,7.1,4.8
KIM,SI WOO,-0.02,-0.06,-0.02,-0.19,-0.29,5.7,10.6,4.2,4.1,2.3,0.8,1.5,4.1,7.1,4.9
SNEDEKER,BRANDT,-0.03,0,-0.14,-0.15,-0.32,5.7,10.4,4.3,4.3,2.4,0.8,1.7,3.6,7.2,5.3
KANEKO,KOTA,-0.02,-0.02,-0.12,-0.17,-0.33,5.7,10.6,4.3,4.3,2.4,0.8,1.7,3.6,7.2,5.3
RAI,AARON,-0.02,-0.05,-0.07,-0.24,-0.38,5.7,10.6,4.2,4.2,2.3,0.8,1.5,3.8,7.1,5.2
PUTNAM,ANDREW,-0.07,-0.01,-0.15,-0.18,-0.41,5.7,10.3,4.2,4.3,2.4,0.8,1.7,3.5,7.2,5.4
