Last Name,First Name,Events,Rounds,shotlink-rounds,Wins,WIN%,SG-PUTT,SG-ARG,SG-APP,SG-OTT,SG-T2G,SG-OTT,ev-text 7,Driving-Distance,Driving-Accuracy
ELVIRA MIJARES,IGNACIO,30,99,85,1,3%,0.08,-0.05,-0.11,-0.39,-0.49,-0.54,-0.55,-9.7,0.60%
WARING,PAUL,16,50,48,0,0%,-0.41,-0.26,0.18,0.02,0.2,-0.06,-0.57,1.2,-0.80%
MANSELL,RICHARD,17,49,46,0,0%,-0.57,-0.11,-0.34,0.29,-0.04,-0.15,-0.59,6,-2.80%
MIGLIOZZI,GUIDO,26,81,70,0,0%,-0.01,0.15,-0.27,-0.56,-0.82,-0.67,-0.67,-6.6,-3.20%
DA COSTA RODRIGUES,DANIEL,23,80,28,0,0%,0.15,-0.11,-0.28,-0.46,-0.74,-0.85,-0.67,-6.1,2.60%
NORGAARD,NIKLAS,30,93,72,0,0%,0.1,-0.48,-0.4,0.32,-0.08,-0.56,-0.72,11.1,-4.20%
WU,ASHUN,16,49,37,0,0%,0.4,-0.04,-0.42,-0.72,-1.14,-1.18,-0.74,-10.6,2.40%
VAN DRIEL,DARIUS,31,104,76,0,0%,-0.22,-0.13,-0.29,-0.24,-0.54,-0.66,-0.75,-9.2,6.50%
KRUYSWIJK,JACQUES,26,93,70,1,4%,-0.07,-0.04,-0.37,-0.5,-0.86,-0.91,-0.79,-8.1,1.20%
MANASSERO,MATTEO,24,72,56,0,0%,-0.7,0.23,0.27,-0.69,-0.42,-0.19,-0.81,-15.9,1.10%
OTAEGUI,ADRIAN,30,89,64,0,0%,-0.49,0.08,-0.33,-0.62,-0.95,-0.87,-0.83,-15.3,7.50%
RAVETTO,DAVID,31,98,72,0,0%,-0.44,-0.18,-0.44,0.17,-0.27,-0.45,-0.84,3.6,1.00%
MERONK,ADRIAN,24,78,68,0,0%,0.03,-0.17,-0.44,-0.29,-0.73,-0.89,-0.86,4,-6.40%
SCHOTT,FREDDY,25,71,44,1,4%,-0.15,-0.15,-0.67,-0.15,-0.82,-0.97,-0.89,10.7,-4.60%
FRITTELLI,DYLAN,30,94,55,0,0%,-0.35,0.24,-0.61,-0.55,-1.16,-0.93,-0.92,6.5,-8.40%
CAMPBELL,BRIAN,27,78,72,1,4%,0.26,-0.07,-0.49,-0.69,-1.18,-1.26,-0.92,-21.8,5.60%
NORRIS,SHAUN,29,91,46,1,3%,0.62,0.06,-0.51,-0.55,-1.06,-1,-0.94,-9.1,3.00%
CHOI,SEUNGBIN,19,66,4,1,5%,1.1,-0.81,0.64,0.04,0.68,-0.12,-1.02,8.4,-6.90%
HOSHINO,RIKUYA,25,80,53,0,0%,0.35,-0.34,-0.65,-0.47,-1.12,-1.46,-1.03,-3.5,2.90%
KATSURAGAWA,YUTO,30,95,58,0,0%,-0.4,-0.09,-0.55,-0.14,-0.69,-0.78,-1.08,-3.7,2.90%
OK,TAEHOON,24,83,10,1,4%,-0.53,0.42,-0.46,-0.39,-0.84,-0.42,-1.18,-11.9,4.30%
VON DELLINGSHAUSEN,NICOLAI,27,85,78,0,0%,-0.28,-0.07,-0.76,-0.15,-0.9,-0.98,-1.19,2.1,-1.30%
VEERMAN,JOHANNES,25,74,68,0,0%,0.02,-0.25,-0.45,-0.52,-0.97,-1.22,-1.2,-0.8,-4.80%
LEE,JUNGHWAN,27,88,36,1,4%,0.35,-0.29,-0.83,-0.44,-1.26,-1.55,-1.25,-10.8,-0.80%
RILEY,DAVIS,26,74,60,0,0%,0.26,-0.08,-0.58,-0.88,-1.46,-1.54,-1.27,0.1,-9.50%
HIDALGO PORTILLO,ANGEL,32,97,72,0,0%,-0.26,-0.44,-0.36,0.11,-0.25,-0.7,-1.27,-4.3,3.80%
JAMIESON,SCOTT,29,81,58,0,0%,-0.41,-0.19,-0.9,-0.26,-1.17,-1.36,-1.3,-4.5,0.20%
WILLETT,DANNY,24,67,54,0,0%,0.19,-0.02,-0.73,-0.53,-1.25,-1.28,-1.32,-9.4,-3.80%
HARRINGTON,PADRAIG,27,83,30,2,7%,-0.57,0.16,0.17,-1.03,-0.86,-0.7,-1.35,-4.6,-8.20%
SIEM,MARCEL,25,74,56,0,0%,-0.34,-0.25,-0.75,-0.16,-0.91,-1.16,-1.49,-4.4,1.60%
GUMBERG,JORDAN,32,87,54,1,3%,-0.96,-0.36,-0.74,0.33,-0.41,-0.77,-1.58,-2.5,10.10%
HIGHSMITH,JOE,28,79,67,0,0%,-0.6,-0.14,-0.38,-0.36,-0.74,-0.87,-1.58,1,-3.40%
PREMLALL,YURAV,31,94,26,1,3%,-0.39,-0.14,0.24,-0.71,-0.47,-0.6,-1.62,-11.6,0.30%
SYME,CONNOR,26,74,62,0,0%,-0.7,-0.46,-0.18,-0.16,-0.33,-0.79,-1.64,-3.6,-1.10%
DAVIS,CAM,18,51,38,0,0%,-0.18,-0.2,-0.72,-0.55,-1.27,-1.47,-1.66,-0.1,-5.30%
LARRAZABAL,PABLO,26,68,54,0,0%,-0.29,0.01,-0.71,-0.56,-1.27,-1.26,-1.8,-9.5,-3.80%
KIM,BAEKJUN,22,74,4,0,0%,-0.09,-1.24,1.39,0.67,2.06,0.82,-1.96,3,3.80%
JOHNSTON,RYGGS,32,93,71,0,0%,-0.45,-0.19,-0.95,-0.42,-1.38,-1.57,-2.1,3.7,-6.90%
NAIDOO,DYLAN,32,89,66,0,0%,-0.44,-0.08,-1.18,-0.29,-1.47,-1.55,-2.1,-3.9,-1.70%
HOFFMAN,CHARLEY,14,31,24,0,0%,-0.63,-0.45,-0.67,-0.25,-0.91,-1.37,-2.14,-4.1,-7.70%
STRYDOM,OCKIE,21,61,29,0,0%,-0.78,-0.45,-1.56,-1.09,-2.65,-3.1,-2.66,-4.6,-6.60%
