POS,Last Name,First Name,TOTAL,SG OTT,D. DISTANCE,D. ACCURACY,SG APP,GIR,FAIRWAY PROX.,ROUGH PROX.,SG PUTT,SG ARG,SCRAMBLING,GREAT SHOTS,POOR SHOTS,SG TOTAL,SG T2G,SG BS
T11,HOVLAND,VIKTOR,-8,0.37,305.1,55.80%,1.71,69.40%,"28' 0""","63' 1""",0.49,-0.47,64.30%,4.5,3.25,2.09,1.6,2.07
T11,CLARK,WYNDHAM,-8,0.84,313.6,44.20%,-0.89,66.70%,"35' 0""","50' 0""",1.55,0.59,60.60%,4.75,2,2.09,0.54,-0.05
T13,PENDRITH,TAYLOR,-7,0.89,317.1,53.80%,0.17,69.40%,"36' 8""","57' 7""",0.17,0.62,64.30%,6,3.25,1.84,1.68,1.06
T13,BEZUIDENHOUT,CHRISTIAAN,-7,0.17,286.9,61.50%,1.02,65.30%,"32' 4""","61' 1""",0.62,0.04,60.00%,4.25,3,1.84,1.22,1.19
T13,NOVAK,ANDREW,-7,0.62,298.8,51.90%,-0.23,63.90%,"37' 10""","76' 11""",1.98,-0.53,58.80%,4.25,2.5,1.84,-0.14,0.39
T13,REITAN,KRISTOFFER,-7,0.84,309.7,57.70%,0.99,70.80%,"34' 2""","42' 1""",-0.02,0.02,41.70%,6.25,3.25,1.84,1.86,1.84
T17,SCOTT,ADAM,-6,0.26,305,34.60%,0.65,72.20%,"32' 2""","60' 3""",0.67,0.01,60.70%,3,2,1.59,0.92,0.91
T17,KIM,TOM,-6,-0.18,291.6,57.70%,1.8,75.00%,"33' 7""","47' 0""",-0.24,0.21,70.40%,4.25,4.25,1.59,1.83,1.62
T17,HALL,HARRY,-6,0.53,300.8,40.40%,-0.32,59.70%,"41' 1""","49' 6""",0.48,0.9,59.00%,3.75,4.25,1.59,1.11,0.21
T17,SCHMID,MATTI,-6,1.08,316.6,50.00%,-1.08,69.40%,"36' 9""","74' 7""",1.27,0.32,58.60%,4.5,4,1.59,0.32,0
T17,SULLIVAN,ANDY,-6,-0.35,289.3,51.90%,0.99,66.70%,"32' 4""","51' 6""",0.39,0.56,71.40%,3.75,3.25,1.59,1.2,0.64
T22,THOMAS,JUSTIN,-5,0.17,301.4,36.50%,0.57,70.80%,"36' 7""","54' 1""",0.32,0.28,61.30%,4,3.5,1.34,1.02,0.74
T22,MCNEALY,MAVERICK,-5,0.35,302.8,51.90%,0.23,66.70%,"37' 1""","64' 2""",1.03,-0.27,58.80%,3.5,3,1.34,0.32,0.58
T22,ENGLISH,HARRIS,-5,0.09,295.8,63.50%,0.81,63.90%,"33' 6""","71' 10""",-0.14,0.58,70.00%,3,4,1.34,1.49,0.9
T22,TAYLOR,NICK,-5,0.22,296.6,53.80%,0.98,73.60%,"37' 10""","68' 2""",0.39,-0.25,57.10%,4.25,2.75,1.34,0.95,1.2
T22,KNAPP,JAKE,-5,0.84,308.9,46.20%,-1.49,62.50%,"39' 6""","52' 3""",2.72,-0.72,67.60%,5,4,1.34,-1.38,-0.66
T22,ECHAVARRIA,NICO,-5,0.9,299.4,63.50%,0.98,79.20%,"35' 0""","55' 9""",-0.21,-0.33,62.50%,3,3.5,1.34,1.55,1.88
T22,SMITH,JORDAN,-5,0.6,302.3,51.90%,0.53,72.20%,"39' 0""","36' 0""",-1.18,1.39,57.10%,3.5,4.75,1.34,2.52,1.13
T22,CAMPILLO,JORGE,-5,-0.43,293.3,40.40%,0.2,70.80%,"36' 8""","67' 7""",0.21,1.36,63.00%,5,4,1.34,1.13,-0.23
T22,ROZNER,ANTOINE,-5,-0.06,305.7,53.80%,0.35,69.40%,"32' 3""","87' 10""",0.85,0.2,56.00%,5.5,3,1.34,0.49,0.28
T22,MCCARTY,MATT,-5,-0.09,300.8,46.20%,0.71,73.60%,"30' 11""","59' 9""",0.38,0.34,71.40%,3.5,3.75,1.34,0.96,0.62
T22,MANSELL,RICHARD,-5,0.47,309.5,46.20%,-0.59,75.00%,"39' 6""","55' 2""",0.64,0.83,65.50%,2.5,2.75,1.34,0.71,-0.13
T22,FORREST,GRANT,-5,0.2,303.2,32.70%,0.48,69.40%,"36' 5""","36' 6""",0.36,0.31,59.30%,4.75,2.75,1.34,0.98,0.68
T34,FLEETWOOD,TOMMY,-4,0.73,300.9,55.80%,0.72,68.10%,"30' 2""","65' 2""",-0.85,0.49,65.50%,3.25,3.5,1.09,1.94,1.45
