player_id,last_name,first_name,tier,rank,neutral_skill_index,venue_fit_score,venue_history_normalized,form_score,penalties_applied,vts_final,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,miss_cut_prob,best_betting_lane,anti_pattern_flags,conviction_level
P024,ELVIRA,NACHO,3,101,50.0,50.18147815376742,50.0,45.5,0.0,51.73139705384679,0.18,1.46,3.4,7.71,30.9,69.1,Pass / No Edge,renaissance-debut,LOW
P135,STERNE,RICHARD,3,102,46.629931385820775,61.564447065586805,40.451531522180794,38.0,0.0,51.017176251800045,0.28,2.22,4.54,9.09,33.0,67.0,Top 20,none,MEDIUM
P075,LAWRENCE,THRISTON,3,103,44.826437540277055,62.17256089941749,52.65361112821023,29.0,0.0,50.931757242908795,0.3,2.15,4.62,9.69,29.5,70.5,Top 20,none,MEDIUM
P012,CHACARRA,EUGENIO,3,104,46.83355165870475,39.88102799935399,40.451531522180794,79.7,0.0,50.77166257524222,0.38,2.17,4.44,8.89,58.8,41.2,Make Cut,weak-APP/no-CH,MEDIUM
P072,LACROIX,FREDERIC,3,105,44.331931163273126,62.11165434955026,38.352249009315514,43.5,0.0,50.660463794705734,0.27,2.29,4.6,9.03,33.8,66.2,Top 20,none,MEDIUM
P140,SVENSSON,JESPER,3,106,50.29509629773222,47.273296138144865,47.88649042191199,46.0,0.0,50.28019445291578,0.29,1.79,3.95,8.52,41.9,58.1,Pass / No Edge,acc-neg/app-neg,MEDIUM
P163,STANGER,JIMMY,3,107,50.0,45.07738238624748,50.0,48.333333333333336,0.0,50.12030361430231,0.18,1.34,3.18,7.31,31.7,68.3,Pass / No Edge,renaissance-debut,LOW
P110,PREMLALL,YURAV,4,108,35.3435505459665,49.741333164492474,50.0,75.05,0.0,49.45634624676735,0.35,2.27,4.65,9.34,36.0,64.0,Pass / No Edge,renaissance-debut,LOW
P058,JARVIS,CASEY,4,109,43.69198173420922,52.52146338864068,50.0,46.666666666666664,0.0,49.3338811918945,0.27,1.84,4.03,8.58,26.2,73.8,Miss Cut,renaissance-debut,LOW
P159,DAHMEN,JOEL,4,110,50.0,50.52344305354284,50.0,33.6,0.0,49.28116185973382,0.14,1.22,2.96,6.93,23.8,76.2,Miss Cut,renaissance-debut,SPECULATIVE
P162,RAMEY,CHAD,4,111,50.0,49.11942019045749,50.0,31.85,0.0,48.28542236675237,0.14,1.15,2.82,6.67,22.6,77.4,Miss Cut,renaissance-debut,SPECULATIVE
P147,VAN ROOYEN,ERIK,4,112,37.40884188521818,42.59697371695808,60.6571257085091,66.8,0.0,48.06386515128234,0.38,1.95,4.3,9.28,46.6,53.4,Make Cut,acc-neg/app-neg,MEDIUM
P126,SCHMID,MATTI,4,113,46.16451361922885,44.76724538839921,52.303730709399346,47.333333333333336,0.0,48.035234025189006,0.28,1.65,3.74,8.24,39.3,60.7,Pass / No Edge,acc-neg/app-neg,LOW
P084,MANASSERO,MATTEO,4,114,37.90334826222211,57.24404729518669,50.55432861534495,45.0,0.0,47.78206228410243,0.29,2.08,4.77,10.66,31.3,68.7,Pass / No Edge,none,LOW
P099,NORGAARD,NIKLAS,4,115,40.6085890305377,46.27785471375222,49.50468735891231,60.7,0.0,47.767196021393325,0.29,1.84,4.32,9.9,42.4,57.6,Make Cut,acc-neg/app-neg,LOW
P037,GREYSERMAN,MAX,4,116,45.437298358928956,44.20560452100368,48.19263578837151,53.2,0.0,47.74972078357008,0.28,1.69,3.74,8.06,41.2,58.8,Make Cut,acc-neg/app-neg,LOW
P156,YU,KEVIN,4,117,52.88398262439982,40.875359148098006,39.66430057985632,48.5,0.0,47.74294832729588,0.25,1.53,3.4,7.37,42.0,58.0,Make Cut,weak-APP/no-CH,LOW
P166,VENTURA,KRIS,4,118,50.0,47.8765459072292,50.0,31.1,0.0,47.57854866900082,0.13,1.1,2.72,6.5,22.0,78.0,Miss Cut,renaissance-debut,SPECULATIVE
P085,MANSELL,RICHARD,4,119,39.76501932858982,47.1784468755912,58.42663803858974,45.5,0.0,46.29776662179744,0.27,1.6,3.68,8.23,33.9,66.1,Pass / No Edge,acc-neg/app-neg,LOW
P008,CANTER,LAURIE,4,120,47.88074163353659,42.1666097274448,39.66430057985632,52.166666666666664,0.0,46.193470850398555,0.23,1.51,3.34,7.16,39.5,60.5,Pass / No Edge,weak-APP/no-CH,LOW
P013,CHOI,SEUNGBIN,4,121,61.78509741047046,25.780527261861053,50.0,51.833333333333336,3.0,44.950116051907074,0.23,1.11,2.8,6.82,24.4,75.6,Miss Cut,acc-neg/app-neg|renaissance-debut|weak-ARG|ANTI-PATTERN,SPECULATIVE
P141,SYME,CONNOR,4,122,29.962157619747323,63.0038401386211,62.319057697860785,26.3,0.0,44.15737235210885,0.23,1.74,3.91,8.55,18.5,81.5,Miss Cut,none,LOW
P082,LUITEN,JOOST,4,123,45.64091863181293,40.74942216738294,51.34155955766943,36.7,0.0,43.441638857118704,0.21,1.24,2.97,6.86,30.2,69.8,Pass / No Edge,weak-APP/no-CH,LOW
P129,SIEM,MARCEL,4,124,23.940815264464245,62.61127839142993,61.18194633672543,37.0,0.0,42.56718757159655,0.23,1.79,3.92,8.37,19.0,81.0,Miss Cut,none,LOW
P106,PAVON,MATTHIEU,4,125,40.20134848476976,38.830865846565004,52.25999565704799,49.166666666666664,0.0,42.3586289507322,0.22,1.31,3.06,6.93,32.9,67.1,Pass / No Edge,weak-APP/no-CH,LOW
P122,SADDIER,ADRIEN,4,126,47.648032750240624,39.058948186953245,38.089838695207355,42.0,0.0,42.13518309069983,0.17,1.17,2.71,6.05,30.9,69.1,Pass / No Edge,weak-APP/no-CH,SPECULATIVE
