player_id,last_name,first_name,approach_150_200_score,approach_overall_score,driving_accuracy_score,corridor_discipline,sg_putt_regressed,sg_arg_score,par3_performance,form_trend,form_class,anti_pattern_flags,debut_discount_applied,confidence_band,tvl_score,hew_score,brie_score,vfr_score
P055,HUBBARD,MARK,0.007,-0.02,-0.01,50.0,0.0,0.022,51.77,0.05,NEUTRAL,none,False,WIDE,-0.218,0.011,0.118,0.022
P135,STERNE,RICHARD,,0.03,-0.09,50.0,0.0,-0.108,50.855,-0.5,COOL,none,False,WIDE,-0.08,-0.363,0.057,-0.108
P017,COODY,PIERCESON,-0.006,-0.02,0.03,50.0,0.0,-0.308,49.91,0.13,NEUTRAL,weak-APP/no-CH|renaissance-debut|ANTI-PATTERN,True,VERY_WIDE,0.59,0.776,-0.006,-0.308
P072,LACROIX,FREDERIC,,0.0,-0.06,50.0,0.0,-0.183,50.015,-0.3,COOL,none,False,WIDE,0.066,0.109,0.001,-0.183
P133,SNEDEKER,BRANDT,0.008,0.0,-0.15,50.0,0.0,0.376,49.91,0.84,HOT,weak-APP/no-CH,False,WIDE,-0.417,-0.248,-0.006,0.376
P139,SULLIVAN,ANDY,,0.01,-0.07,50.0,0.0,-0.238,48.08,-0.93,COLD,none,False,WIDE,-0.172,-0.543,-0.128,-0.238
P082,LUITEN,JOOST,,0.03,-0.05,50.0,0.0,0.004,49.34,-0.64,COOL,weak-APP/no-CH,False,WIDE,0.078,-0.288,-0.044,0.004
P096,NAKAJIMA,KEITA,-0.008,0.0,0.0,50.0,0.0,-0.342,49.55,0.37,WARM,weak-APP/no-CH,False,WIDE,0.035,-0.049,-0.03,-0.342
P141,SYME,CONNOR,,0.04,0.02,50.0,0.0,-0.359,49.13,-1.18,COLD,none,False,WIDE,-0.159,-0.511,-0.058,-0.359
P010,CASTILLO,RICKY,-0.031,0.0,0.0,50.0,0.0,0.151,49.46,-0.33,COOL,weak-APP/no-CH|renaissance-debut|ANTI-PATTERN,True,VERY_WIDE,0.21,0.037,-0.036,0.151
P094,MOORE,TAYLOR,-0.047,0.0,0.07,50.0,0.0,0.242,45.47,0.36,WARM,weak-APP/no-CH,False,WIDE,0.24,0.051,-0.302,0.242
P129,SIEM,MARCEL,,0.06,-0.01,50.0,0.0,-0.049,42.545,-0.55,COOL,none,False,WIDE,-0.161,-1.155,-0.497,-0.049
