player_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P135,STERNE,RICHARD,DP World Tour,FULL,False,-0.021500000000000002,-0.08,0.15,-0.16,-0.12,-0.09,-1.0,-0.5,COOL,THIN,2.0,,-0.09,0.0,-0.09
P162,RAMEY,CHAD,PGA Tour,DEBUT,True,-0.12557236842105268,,,,,,-0.88,-0.81,COLD,NONE,,,0.0,-0.027,0.0
P072,LACROIX,FREDERIC,DP World Tour,FULL,False,-0.061,0.07,0.02,-0.13,-0.42,-0.04,-0.82,-0.3,COOL,THIN,2.0,,-0.02,0.0,-0.06
P166,VENTURA,KRIS,PGA Tour,DEBUT,True,-0.11757236842105268,,,,,,-0.79,-0.77,COOL,NONE,,,0.0,-0.057,0.0
P084,MANASSERO,MATTEO,DP World Tour,FULL,False,-0.17149999999999999,-0.69,0.27,0.23,-0.7,-0.19,-1.02,-0.21,NEUTRAL,THIN,6.0,15.0,-0.13,-0.027,-0.03
P139,SULLIVAN,ANDY,DP World Tour,FULL,False,-0.262,-0.17,-0.02,-0.06,-0.04,-0.25,-1.17,-0.93,COLD,STRONG,16.0,17.0,-0.11,0.0,-0.07
P141,SYME,CONNOR,DP World Tour,FULL,False,-0.544,-0.16,-0.18,-0.46,-0.7,-0.79,-2.82,-1.18,COLD,STRONG,24.0,75.0,0.12,0.0,0.02
P111,PUIG,DAVID,LIV Golf,FULL,True,0.1845,0.68,-0.27,-0.06,0.58,0.35,0.76,0.02,NEUTRAL,NONE,0.0,,0.17,-0.035,0.08
P148,VEERMAN,JOHANNES,DP World Tour,FULL,False,-0.5105,-0.52,-0.45,-0.25,0.02,-1.22,-1.94,-0.75,COOL,MODERATE,8.0,8.0,0.17,0.0,0.11
P010,CASTILLO,RICKY,PGA Tour,FULL,True,0.04300000000000001,0.21,-0.19,0.15,0.11,0.17,0.02,-0.33,COOL,NONE,0.0,,0.01,-0.031,0.0
P091,MERONK,ADRIAN,LIV Golf,FULL,False,-0.2705,-0.29,-0.44,-0.17,0.03,-0.89,-1.17,-0.31,COOL,MODERATE,8.0,59.0,0.19,0.0,0.12
P145,THORBJORNSEN,MICHAEL,PGA Tour,FULL,True,0.011499999999999982,0.46,0.06,0.1,-0.21,0.62,-0.06,-0.68,COOL,NONE,0.0,,0.03,-0.017,-0.01
P100,NORRIS,SHAUN,Japan Golf Tour,FULL,False,-0.0005000000000000282,-0.55,-0.51,0.06,0.62,-1.0,0.25,1.19,HOT,THIN,4.0,,-0.06,0.0,-0.02
P033,FRITTELLI,DYLAN,DP World Tour,FULL,False,-0.383,-0.55,-0.61,0.24,-0.35,-0.93,-0.53,0.39,WARM,MODERATE,10.0,47.0,0.23,0.0,0.16
P149,VON DELLINGSHAUSEN,NICOLAI,DP World Tour,FULL,False,-0.36699999999999994,-0.15,-0.76,-0.07,-0.28,-0.98,-0.9,0.28,NEUTRAL,THIN,4.0,,0.08,0.0,0.02
P079,LINDBERG,MIKAEL,DP World Tour,FULL,True,0.043000000000000024,0.64,-0.39,-0.07,0.01,0.17,0.19,0.01,NEUTRAL,NONE,0.0,,0.25,0.0,0.09
