player_name,player_display,vts_rank,vts_tier,vts_final_raw,neutralskill_sg,vfd,vhd,vhd_rounds,anti_pattern_flags,anti_pattern_penalty_total,debut_flag,debut_class,debut_penalty_applied,win_pct_projected,top10_pct_projected,makecut_pct_projected,actual_pos,actual_total,actual_r1,actual_r2,actual_r3,actual_r4,actual_total_strokes,made_cut,sg_ott,sg_ott_rank,sg_approach,sg_approach_rank,sg_atg,sg_atg_rank,sg_putting,sg_putting_rank,sg_total,sg_total_rank,miss_type,accountability_verdict,lb_match_score,sg_match_score
Chandler Phillips,"Phillips, Chandler",94,3,53.89,-0.44,-6.50,0.059,6,wedge_liability,-2.518,False,,0.0,0.37%,19.7%,54.1%,T15,-14,69,67,65,69,270,Y,-0.918,55th,-0.289,57th,4.56,1st,3.556,21st,6.91,T15,,N/A,100.0,100.0
Stephan Jaeger,"Jaeger, Stephan",95,3,53.75,-0.16,-10.84,-0.165,11,bomb_and_spray; wedge_liability,-3.174,False,,0.0,0.37%,19.5%,53.9%,T15,-14,64,72,68,66,270,Y,-2.971,76th,5.686,4th,2.413,9th,1.781,34th,6.91,T15,,N/A,100.0,100.0
Cameron Champ,"Champ, Cameron",96,3,53.54,-0.6175,5.08,0.439,18,wedge_liability,-2.188,False,,0.0,0.39%,21.4%,59.6%,CUT,2,72,72,-,-,144,N,,-,,-,,,,,,,,N/A,100.0,100.0
Joel Dahmen,"Dahmen, Joel",97,3,53.48,-0.34,0.86,-1.441,18,poor_birdie_conv; rough_approach_liab,-3.048,False,,0.0,0.36%,19.2%,53.5%,T46,-9,66,71,71,67,275,Y,-0.023,41st,-0.238,55th,0.418,36th,1.752,35th,1.91,T46,,N/A,100.0,100.0
Tom Hoge,"Hoge, Tom",98,3,52.84,-0.59,0.16,-6.920,8,poor_birdie_conv; rough_approach_liab,-3.006,False,,0.0,0.34%,18.3%,52.5%,T33,-11,73,64,67,69,273,Y,-2.532,72nd,7.404,2nd,-0.8,57th,-0.163,56th,3.91,T33,,N/A,100.0,100.0
Trace Crowe,"Crowe, Trace",99,3,52.39,-0.34,-11.91,0.391,6,bomb_and_spray; wedge_liability,-3.529,False,,0.0,0.36%,19.7%,57.6%,T39,-10,69,69,69,67,274,Y,4.084,2nd,1.499,40th,-3.154,76th,0.48,48th,2.91,T39,,N/A,100.0,100.0
Brian Campbell,"Campbell, Brian",100,3,52.07,-0.92,4.24,3.855,10,wedge_liability,-2.313,False,,0.0,0.32%,17.3%,51.4%,CUT,E,70,72,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Harry Higgs,"Higgs, Harry",101,3,51.97,-0.86,4.48,-2.378,12,bomb_and_spray; rough_approach_liab,-2.173,False,,0.0,0.32%,17.2%,51.2%,T21,-13,67,68,69,67,271,Y,1.205,29th,1.297,43rd,1.804,18th,1.603,40th,5.91,T21,,N/A,100.0,100.0
Dylan Wu,"Wu, Dylan",102,3,51.71,-0.49,-2.59,0.845,12,poor_birdie_conv; rough_approach_liab,-2.929,False,,0.0,0.31%,16.9%,50.8%,CUT,-1,72,69,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Peter Malnati,"Malnati, Peter",103,3,51.64,-0.5275000000000001,-8.96,-0.214,30,wedge_liability,-2.457,False,,0.0,0.33%,18.7%,56.3%,T58,-7,71,66,69,71,277,Y,-1.072,57th,-0.684,60th,3.422,5th,-1.757,65th,-0.09,T58,,N/A,100.0,100.0
Luke Clanton,"Clanton, Luke",104,3,51.56,-0.79,3.30,4.121,6,bomb_and_spray; poor_birdie_conv; rough_approach_liab,-4.100,False,,0.0,0.31%,16.7%,50.6%,CUT,-1,69,72,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Ben Silverman,"Silverman, Ben",105,3,51.23,-0.59,-0.33,-1.673,12,wedge_liability; rough_approach_liab,-3.430,False,,0.0,0.30%,16.3%,50.1%,CUT,2,73,71,-,-,144,N,,-,,-,,,,,,,,N/A,100.0,100.0
Luke Gutschewski,"Gutschewski, Luke",106,3,50.91,-0.7225,4.34,0.000,0,,0.000,True,A,-4.0,0.33%,19.5%,60.6%,T51,-8,67,68,72,69,276,Y,0.55,36th,-0.284,56th,3.804,3rd,-3.161,72nd,0.91,T51,,N/A,100.0,100.0
Augusto Nunez,"Nunez, Augusto",107,3,50.81,-1.4275000000000002,17.42,-0.032,2,bomb_and_spray,-1.030,False,,0.0,0.31%,17.6%,54.9%,CUT,2,73,71,-,-,144,N,,-,,-,,,,,,,,N/A,100.0,100.0
Martin Laird,"Laird, Martin",108,3,50.72,-1.05,7.68,0.614,22,poor_birdie_conv,-1.708,False,,0.0,0.28%,15.7%,49.3%,CUT,E,72,70,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Camilo Villegas,"Villegas, Camilo",109,3,50.22,-1.03,2.70,0.166,42,poor_birdie_conv,-1.609,False,,0.0,0.27%,15.1%,48.5%,T65,-5,71,67,73,68,279,Y,1.095,32nd,-4.472,77th,-1.838,70th,3.124,24th,-2.09,T65,,N/A,100.0,100.0
Adam Hadwin,"Hadwin, Adam",110,4,49.82,-0.64,-4.88,-0.835,14,wedge_liability; rough_approach_liab,-3.786,False,,0.0,0.26%,14.7%,47.9%,CUT,2,73,71,-,-,144,N,,-,,-,,,,,,,,N/A,100.0,100.0
Jonathan Byrd,"Byrd, Jonathan",111,4,49.63,-0.6175,-3.67,0.654,52,wedge_liability,-2.673,False,,0.0,0.28%,16.1%,52.9%,T71,-3,69,70,72,70,281,Y,-1.435,62nd,-4.711,78th,1.15,26th,0.905,46th,-4.09,T71,,N/A,100.0,100.0
Nick Hardy,"Hardy, Nick",112,4,48.86,-1.01,4.46,0.614,20,bomb_and_spray; poor_birdie_conv,-2.775,False,,0.0,0.24%,13.6%,46.4%,CUT,-2,74,66,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
Tyler Duncan,"Duncan, Tyler",113,4,48.01,-1.04,6.77,0.170,17,poor_birdie_conv; rough_approach_liab,-3.430,False,,0.0,0.22%,12.8%,45.0%,T12,-15,66,66,71,66,269,Y,1.307,26th,2.226,33rd,1.378,22nd,2.998,26th,7.91,T12,,N/A,100.0,100.0
Ryan Voois,"Voois, Ryan",114,4,48.00,-1.0899999999999999,13.08,0.000,0,,0.000,True,A,-4.0,0.26%,15.6%,55.0%,77,E,68,70,72,74,284,Y,-2.579,73rd,-4.085,76th,-0.585,55th,0.158,52nd,-7.09,77th,,N/A,100.0,100.0
Justin Lower,"Lower, Justin",115,4,47.91,-0.655,-0.28,-0.215,12,wedge_liability; poor_birdie_conv,-3.951,False,,0.0,0.24%,14.1%,49.8%,CUT,E,72,70,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Troy Merritt,"Merritt, Troy",116,4,46.88,-1.22,3.91,-0.106,34,wedge_liability,-2.486,False,,0.0,0.20%,11.7%,43.2%,T21,-13,66,66,70,69,271,Y,1.29,28th,-0.938,62nd,0.484,35th,5.073,7th,5.91,T21,,N/A,100.0,100.0
Luke List,"List, Luke",117,4,46.43,-1.29,10.99,-0.737,20,bomb_and_spray; poor_birdie_conv,-2.777,False,,0.0,0.19%,11.3%,42.5%,CUT,2,74,70,-,-,144,N,,-,,-,,,,,,,,N/A,100.0,100.0
Jeffrey Kang,"Kang, Jeffrey",118,4,45.72,-0.83,-0.95,0.000,0,poor_birdie_conv,-1.695,True,A,-4.0,0.21%,13.1%,50.6%,CUT,-2,71,69,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
Aaron Wise,"Wise, Aaron",119,4,44.63,-0.945,-5.45,-2.273,12,wedge_liability; poor_birdie_conv,-4.238,False,,0.0,0.18%,12.0%,48.5%,T39,-10,66,69,67,72,274,Y,-1.629,63rd,0.636,48th,1.903,16th,1.999,33rd,2.91,T39,,N/A,100.0,100.0
Davis Riley,"Riley, Davis",120,4,44.63,-1.27,0.73,-0.053,2,wedge_liability,-2.455,False,,0.0,0.16%,9.8%,39.7%,T65,-5,65,72,71,71,279,Y,-3.457,77th,1.494,41st,-3.765,77th,3.637,17th,-2.09,T65,,N/A,100.0,100.0
Kensei Hirata,"Hirata, Kensei",121,4,44.21,-0.95,6.96,0.000,0,wedge_liability,-2.380,True,A,-4.0,0.18%,11.6%,47.7%,CUT,-1,68,73,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Dylan Frittelli,"Frittelli, Dylan",122,4,44.04,-0.91,-5.82,2.031,18,bomb_and_spray; wedge_liability; poor_birdie_conv,-5.188,False,,0.0,0.15%,9.3%,38.8%,CUT,-1,70,71,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Patton Kizzire,"Kizzire, Patton",123,4,43.73,-0.8425,-1.49,2.122,24,wedge_liability; poor_birdie_conv,-3.910,False,,0.0,0.16%,10.1%,42.6%,CUT,1,71,72,-,-,143,N,,-,,-,,,,,,,,N/A,100.0,100.0
Ben Martin,"Martin, Ben",124,4,43.14,-1.16,6.87,1.374,22,wedge_liability; poor_birdie_conv,-3.987,False,,0.0,0.14%,8.7%,37.4%,CUT,E,72,70,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Gordon Sargent,"Sargent, Gordon",125,4,42.72,-0.9625,-6.99,0.293,8,bomb_and_spray; wedge_liability,-4.111,False,,0.0,0.14%,9.3%,40.9%,78,2,67,69,74,76,286,Y,-0.659,51st,-10.616,79th,-0.214,47th,2.398,29th,-9.09,78th,,N/A,100.0,100.0
Robert Streb,"Streb, Robert",126,4,42.72,-1.9,14.35,-1.214,29,wedge_liability,-2.403,False,,0.0,0.14%,9.3%,40.9%,CUT,E,71,71,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Adam Schenk,"Schenk, Adam",127,4,42.52,-1.15,4.30,1.850,19,wedge_liability; poor_birdie_conv; rough_approach_liab,-5.067,False,,0.0,0.13%,8.3%,36.5%,CUT,2,71,73,-,-,144,N,,-,,-,,,,,,,,N/A,100.0,100.0
Jeremy Paul,"Paul, Jeremy",128,4,42.47,-1.12,-3.03,0.000,4,wedge_liability; poor_birdie_conv,-4.220,False,,0.0,0.13%,8.2%,36.4%,CUT,7,72,77,-,-,149,N,,-,,-,,,,,,,,N/A,100.0,100.0
Davis Chatfield,"Chatfield, Davis",129,4,42.37,-0.61,-2.12,0.000,0,wedge_liability; poor_birdie_conv,-4.136,True,A,-4.0,0.15%,10.0%,44.3%,T33,-11,69,66,70,68,273,Y,0.69,34th,4.698,12th,-0.688,56th,-0.791,59th,3.91,T33,,N/A,100.0,100.0
Pontus Nyholm,"Nyholm, Pontus",130,4,42.13,-0.66,-7.92,0.000,0,bomb_and_spray; wedge_liability,-3.450,True,A,-4.0,0.14%,9.8%,43.9%,T26,-12,68,66,69,69,272,Y,-0.861,53rd,3.111,24th,-0.945,59th,3.604,18th,4.91,T26,,N/A,100.0,100.0
Brendon Todd,"Todd, Brendon",131,4,41.92,-1.205,-10.42,-0.568,28,wedge_liability,-3.490,False,,0.0,0.14%,9.6%,43.5%,CUT,-1,70,71,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Preston Stout,"Stout, Preston",132,4,41.21,-0.1375,-21.81,0.000,0,wedge_liability; poor_birdie_conv; rough_approach_liab,-6.384,True,A,-4.0,0.13%,9.1%,42.2%,T15,(a),-2,66,69,66,69,Y,69.0,1.31,,5.284,,0.187,,0.128,,6.91,,N/A,100.0,100.0
John Vanderlaan,"Vanderlaan, John",133,4,40.55,-0.55,-6.73,0.000,0,wedge_liability; poor_birdie_conv,-4.016,True,A,-4.0,0.12%,8.6%,41.0%,CUT,2,74,70,-,-,144,N,,-,,-,,,,,,,,N/A,100.0,100.0
Joe Highsmith,"Highsmith, Joe",134,4,40.27,-1.5,9.40,-0.060,4,wedge_liability; poor_birdie_conv,-4.054,False,,0.0,0.10%,6.9%,33.1%,CUT,-1,74,67,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Will Gordon,"Gordon, Will",135,4,40.04,-1.31,8.37,-2.571,10,bomb_and_spray; wedge_liability; poor_birdie_conv,-5.068,False,,0.0,0.10%,6.7%,32.8%,64,-6,70,69,71,68,278,Y,2.163,16th,-1.42,66th,-0.576,54th,-1.258,63rd,-1.09,64th,,N/A,100.0,100.0
Rafael Campos,"Campos, Rafael",136,4,39.78,-1.405,4.67,-2.788,6,poor_birdie_conv; rough_approach_liab,-3.338,False,,0.0,0.10%,7.3%,36.0%,T67,-4,66,71,72,71,280,Y,-0.41,49th,0.33,50th,0.305,39th,-3.316,73rd,-3.09,T67,,N/A,100.0,100.0
Alejandro Tosti,"Tosti, Alejandro",137,4,38.53,-1.225,-2.09,-0.068,4,bomb_and_spray; wedge_liability; poor_birdie_conv,-5.998,False,,0.0,0.09%,6.6%,34.0%,CUT,2,74,70,-,-,144,N,,-,,-,,,,,,,,N/A,100.0,100.0
Marcelo Rozo,"Rozo, Marcelo",138,4,38.41,-1.23,10.60,0.000,0,poor_birdie_conv; rough_approach_liab,-3.580,True,A,-4.0,0.09%,7.2%,37.2%,CUT,E,72,70,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Darin Fisher,"Fisher, Darin",139,5,33.56,-4.205,74.46,-0.032,4,,0.000,False,,0.0,0.05%,4.7%,29.3%,CUT,14,78,78,-,-,156,N,,-,,-,,,,,,,,N/A,100.0,100.0
Danny Walker,"Walker, Danny",140,5,33.38,-1.12,2.80,0.000,0,bomb_and_spray; wedge_liability; poor_birdie_conv,-4.883,True,A,-4.0,0.05%,4.7%,29.1%,CUT,11,81,72,-,-,153,N,,-,,-,,,,,,,,N/A,100.0,100.0
Christo Lamprecht,"Lamprecht, Christo",141,5,31.34,-0.8,-11.91,0.000,0,bomb_and_spray; wedge_liability; poor_birdie_conv,-5.840,True,A,-4.0,0.04%,3.9%,26.1%,CUT,7,77,72,-,-,149,N,,-,,-,,,,,,,,N/A,100.0,100.0
Mason Howell,"Howell, Mason",142,5,30.57,-1.2325000000000002,0.03,0.000,0,wedge_liability; poor_birdie_conv; rough_approach_liab,-6.047,True,A,-4.0,0.03%,3.7%,25.1%,CUT,(a),-,72,75,-,-,N,,-,,-,,-,,,,,,N/A,100.0,100.0
Ryan Brehm,"Brehm, Ryan",143,5,28.45,-1.5924999999999998,0.26,-2.680,12,bomb_and_spray; wedge_liability; poor_birdie_conv; rough_approach_liab,-7.247,False,,0.0,0.02%,2.8%,20.3%,79,4,68,69,77,74,288,Y,-0.903,54th,-1.773,68th,-1.294,66th,-7.121,79th,-11.09,79th,,N/A,100.0,100.0
Nicholas Lindheim,"Lindheim, Nicholas",144,5,14.87,-2.44,-12.44,-0.960,13,wedge_liability; poor_birdie_conv; rough_approach_liab,-9.000,False,,0.0,0.00%,0.9%,9.8%,T74,-2,69,68,76,69,282,Y,-0.58,50th,-3.5,73rd,-1.098,62nd,0.087,55th,-5.09,T74,,N/A,100.0,100.0
